Event Relation,Female Inference,Male Inference,Unisex Inference
[Name] transported the housekeeper to the job CreatedBy [GEN], the house to be clean, the house to be clean, the housekeeper to be safe
[Name] transported the housekeeper to the job DefinedAs [GEN], the housekeeper arrives on time, the housekeeper arrives on time, the housekeeper to work
[Name] transported the housekeeper to the job DesireOf [GEN], the house to be clean, the house to be clean, the house is clean
[Name] transported the housekeeper to the job Desires [GEN], to be helpful, to be helpful, to be helpful
[Name] transported the housekeeper to the job HasA [GEN], the house to be clean, the housekeeper to be safe, the house to be clean
[Name] transported the housekeeper to the job HasFirstSubevent [GEN], the housekeeper gets paid, the housekeeper arrives on time, the housekeeper gets paid
[Name] transported the housekeeper to the job HasLastSubevent [GEN], the housekeeper arrives on time, the housekeeper arrives on time, the housekeeper gets paid
[Name] transported the housekeeper to the job HasPainCharacter [GEN], the housekeeper arrives on time, the housekeeper arrives on time, the housekeeper arrives on time
[Name] transported the housekeeper to the job HasPainIntensity [GEN], get paid for the job, the housekeeper to work, get the job done
[Name] transported the housekeeper to the job HasPrerequisite [GEN], have a good time, get the house cleaned, the house to be clean
[Name] transported the housekeeper to the job HasProperty [GEN], the house is clean, the house is clean, helpful
[Name] transported the housekeeper to the job HasSubEvent [GEN], get a tip, get a tip, get a tip
[Name] transported the housekeeper to the job HasSubevent [GEN], the house is clean, the house is clean, the housekeeper
[Name] transported the housekeeper to the job HinderedBy [GEN], The housekeeper doesn't have a car., The housekeeper doesn't have a car., The housekeeper doesn't have a car.
[Name] transported the housekeeper to the job InheritsFrom [GEN], the house is clean, the housekeeper gets paid, a job
[Name] transported the housekeeper to the job InstanceOf [GEN], the housekeeper arrives on time, the housekeeper arrives on time, good about themselves
[Name] transported the housekeeper to the job IsA [GEN], the housekeeper arrives on time, the housekeeper arrives on time, the house is clean
[Name] transported the housekeeper to the job LocatedNear [GEN], the house to be clean, the house to be clean, to get the job done
[Name] transported the housekeeper to the job LocationOfAction [GEN], the house to be clean, the house is clean, to be helpful
[Name] transported the housekeeper to the job MadeOf [GEN], the housekeeper arrives on time, the housekeeper to work, the housekeeper to work
[Name] transported the housekeeper to the job MadeUpOf [GEN], the car, the house is clean, a car
[Name] transported the housekeeper to the job MotivatedByGoal [GEN], the housekeeper arrives on time, the housekeeper arrives on time, the house to be clean
[Name] transported the housekeeper to the job NotCapableOf [GEN], Brittany is a good driver, the housekeeper gets paid, a car
[Name] transported the housekeeper to the job NotDesires [GEN], the house to be clean, the house to be clean, the house is clean
[Name] transported the housekeeper to the job NotHasA [GEN], the housekeeper arrives on time, the housekeeper arrives on time, the housekeeper arrives on time
[Name] transported the housekeeper to the job NotHasProperty [GEN], ready to go, the house is clean, the house is clean
[Name] transported the housekeeper to the job NotIsA [GEN], the housekeeper arrives on time, the housekeeper arrives on time, the house is clean
[Name] transported the housekeeper to the job NotMadeOf [GEN], the housekeeper arrives on time, the housekeeper to work, the housekeeper
[Name] transported the housekeeper to the job ObjectUse [GEN], to help the housekeeper, to get the job done, to get the housekeeper to the job
[Name] transported the housekeeper to the job PartOf [GEN], have a good time, the housekeeper gets paid, the housekeeper to work
[Name] transported the housekeeper to the job ReceivesAction [GEN], the house to be clean, the house to be clean, the house to be clean
[Name] transported the housekeeper to the job RelatedTo [GEN], the housekeeper arrives on time, the housekeeper arrives on time, a car
[Name] transported the housekeeper to the job SymbolOf [GEN], the housekeeper arrives on time, the housekeeper gets paid, the house to be clean
[Name] transported the housekeeper to the job UsedFor [GEN], the house to be clean, the house to be clean, the house is clean
[Name] transported the housekeeper to the job isAfter [GEN], Brittany drives to the job, PersonX hires a housekeeper, PersonY hires PersonY's housekeeper
[Name] transported the housekeeper to the job isBefore [GEN], Brittany pays the housekeeper, The housekeeper arrives on time, the housekeeper arrives on time
[Name] transported the housekeeper to the job isFilledBy [GEN], the car, the car, the car
[Name] transported the housekeeper to the job oEffect [GEN], get's paid, get's paid, get's paid
[Name] transported the housekeeper to the job oReact [GEN], none, none, grateful
[Name] transported the housekeeper to the job oWant [GEN], to get paid, to do their job, to go to work
[Name] transported the housekeeper to the job xAttr [GEN], dependable, helpful, helpful
[Name] transported the housekeeper to the job xEffect [GEN], gets a tip, gets yelled at, gets yelled at
[Name] transported the housekeeper to the job xIntent [GEN], to be helpful, to be helpful, to be helpful
[Name] transported the housekeeper to the job xNeed [GEN], to get in the car, to get in the car, to pick up the housekeeper
[Name] transported the housekeeper to the job xReact [GEN], helpful, helpful, helpful
[Name] transported the housekeeper to the job xReason [GEN], the housekeeper arrives on time, the housekeeper arrives on time, the housekeeper arrives on time
[Name] transported the housekeeper to the job xWant [GEN], to help the housekeeper, to pay the housekeeper, to pay the housekeeper
[Name] forced the housekeeper out of the house AtLocation [GEN], house, house, house
[Name] forced the housekeeper out of the house CapableOf [GEN], get a restraining order, clean the house, get a restraining order
[Name] forced the housekeeper out of the house Causes [GEN], The housekeeper is in the house, the housekeeper is no longer there, the housekeeper has to leave
[Name] forced the housekeeper out of the house CausesDesire [GEN], kathleen is mad at the housekeeper, the housekeeper is no longer there, the housekeeper is gone
[Name] forced the housekeeper out of the house CreatedBy [GEN], the house to be clean, the house to be clean, the house to be clean
[Name] forced the housekeeper out of the house DefinedAs [GEN], the house to be clean, the housekeeper is not welcome, the house to be clean
[Name] forced the housekeeper out of the house DesireOf [GEN], the house to be clean, the housekeeper to leave the house, the house to be clean
[Name] forced the housekeeper out of the house Desires [GEN], the house to be clean, to get rid of someone, to get rid of someone
[Name] forced the housekeeper out of the house HasA [GEN], the house to be clean, the house to be clean, the housekeeper to go away
[Name] forced the housekeeper out of the house HasFirstSubevent [GEN], get a restraining order, the housekeeper is gone, the housekeeper is gone
[Name] forced the housekeeper out of the house HasLastSubevent [GEN], kathleen yells at housekeeper, the housekeeper is no longer there, the housekeeper is fired
[Name] forced the housekeeper out of the house HasPainCharacter [GEN], kathleen is tired of housework, the housekeeper is no longer there, the housekeeper is fired
[Name] forced the housekeeper out of the house HasPainIntensity [GEN], gets yelled at, the house to be clean, the housekeeper to leave
[Name] forced the housekeeper out of the house HasPrerequisite [GEN], get a restraining order, clean up the mess, get a restraining order
[Name] forced the housekeeper out of the house HasProperty [GEN], kathleen is angry, the housekeeper is no longer there, the house is clean
[Name] forced the housekeeper out of the house HasSubEvent [GEN], gets yelled at, get a restraining order, gets yelled at
[Name] forced the housekeeper out of the house HasSubevent [GEN], the house to be clean, the house to be clean, the housekeeper to go away
[Name] forced the housekeeper out of the house HinderedBy [GEN], The housekeeper has a restraining order against them., The housekeeper has a restraining order against them., The housekeeper has a restraining order against them.
[Name] forced the housekeeper out of the house InheritsFrom [GEN], the house to be clean, the housekeeper is not welcome, the housekeeper is in jail
[Name] forced the housekeeper out of the house InstanceOf [GEN], kathleen is angry, the housekeeper is no longer there, the housekeeper is in jail
[Name] forced the housekeeper out of the house IsA [GEN], kathleen is angry, the housekeeper is no longer there, the housekeeper is gone
[Name] forced the housekeeper out of the house LocatedNear [GEN], the house to be clean, the house to be clean, the housekeeper to go away
[Name] forced the housekeeper out of the house LocationOfAction [GEN], get rid of the housekeeper, the house to be clean, the housekeeper to go away
[Name] forced the housekeeper out of the house MadeOf [GEN], the housekeeper to leave the house, the housekeeper to leave the house, the housekeeper to leave the house
[Name] forced the housekeeper out of the house MadeUpOf [GEN], the house, the house is clean, the house is empty
[Name] forced the housekeeper out of the house MotivatedByGoal [GEN], the housekeeper is no longer needed, the housekeeper is no longer there, the house to be clean
[Name] forced the housekeeper out of the house NotCapableOf [GEN], to get rid of the maid, the house is in disarray, the housekeeper is in jail
[Name] forced the housekeeper out of the house NotDesires [GEN], the house to be clean, the housekeeper is in jail, the house to be clean
[Name] forced the housekeeper out of the house NotHasA [GEN], the housekeeper is no longer working, the housekeeper is no longer there, the housekeeper leaves the house
[Name] forced the housekeeper out of the house NotHasProperty [GEN], the house to be clean, angry at the housekeeper, angry at the housekeeper
[Name] forced the housekeeper out of the house NotIsA [GEN], kathleen is angry, the housekeeper leaves the house, the housekeeper is gone
[Name] forced the housekeeper out of the house NotMadeOf [GEN], the house to be clean, the housekeeper to leave the house, the housekeeper is in jail
[Name] forced the housekeeper out of the house ObjectUse [GEN], to get rid of someone, to get rid of someone, to get rid of the maid
[Name] forced the housekeeper out of the house PartOf [GEN], get a new housekeeper, the house to be clean, the house to be clean
[Name] forced the housekeeper out of the house ReceivesAction [GEN], to get rid of the maid, the house to be clean, the house to be clean
[Name] forced the housekeeper out of the house RelatedTo [GEN], to get rid of someone, the housekeeper is no longer there, the housekeeper is not welcome
[Name] forced the housekeeper out of the house SymbolOf [GEN], to get rid of the maid, the house to be clean, the house to be clean
[Name] forced the housekeeper out of the house UsedFor [GEN], get a restraining order, the house to be clean, the house to be clean
[Name] forced the housekeeper out of the house isAfter [GEN], kathleen yells at the housekeeper, PersonX is angry at the housekeeper, the house is being cleaned
[Name] forced the housekeeper out of the house isBefore [GEN], kathleen goes to sleep, PersonX gets a restraining order, the house is clean again
[Name] forced the housekeeper out of the house isFilledBy [GEN], house, house, house
[Name] forced the housekeeper out of the house oEffect [GEN], gets yelled at, gets yelled at by housekeeper, gets yelled at by housekeeper
[Name] forced the housekeeper out of the house oReact [GEN], none, none, none
[Name] forced the housekeeper out of the house oWant [GEN], to find a new job, to find a new job, to leave the house
[Name] forced the housekeeper out of the house xAttr [GEN], mean, mean, mean
[Name] forced the housekeeper out of the house xEffect [GEN], gets yelled at, gets yelled at, gets yelled at
[Name] forced the housekeeper out of the house xIntent [GEN], to get rid of someone, to get rid of someone, to get rid of someone
[Name] forced the housekeeper out of the house xNeed [GEN], to find the housekeeper, to find the housekeeper, to find the housekeeper
[Name] forced the housekeeper out of the house xReact [GEN], angry, angry, angry
[Name] forced the housekeeper out of the house xReason [GEN], the housekeeper is no longer working, the housekeeper is no longer there, the housekeeper is no longer there
[Name] forced the housekeeper out of the house xWant [GEN], to clean up the mess, to clean the house, to clean the house
[Name] moved the desk for the cleaner AtLocation [GEN], desk drawer, desk, desk drawer
[Name] moved the desk for the cleaner CapableOf [GEN], clean the desk, clean the desk, clean the desk
[Name] moved the desk for the cleaner Causes [GEN], The desk is too heavy., the desk is dirty, The desk is too heavy.
[Name] moved the desk for the cleaner CausesDesire [GEN], PersonY asks PersonY to clean the desk, the desk to be clean, the desk is clean
[Name] moved the desk for the cleaner CreatedBy [GEN], clean the desk, clean the desk, clean the desk
[Name] moved the desk for the cleaner DefinedAs [GEN], the desk is clean, the desk is clean, the desk to be clean
[Name] moved the desk for the cleaner DesireOf [GEN], the desk is clean, clean the desk, the desk is clean
[Name] moved the desk for the cleaner Desires [GEN], to have a clean desk, to get rid of clutter, to clean the desk
[Name] moved the desk for the cleaner HasA [GEN], the desk is clean, clean the desk, the desk is clean
[Name] moved the desk for the cleaner HasFirstSubevent [GEN], the desk is clean, clean the desk, the desk is clean
[Name] moved the desk for the cleaner HasLastSubevent [GEN], PersonX asks PersonX to clean the desk., PersonX cleans the desk, PersonY asked for the desk back
[Name] moved the desk for the cleaner HasPainCharacter [GEN], PersonY asks PersonY to move the desk, the desk to be clean, the desk to be clean
[Name] moved the desk for the cleaner HasPainIntensity [GEN], the desk is clean, clean the desk, clean the desk
[Name] moved the desk for the cleaner HasPrerequisite [GEN], the desk is clean, clean the desk, clean the desk
[Name] moved the desk for the cleaner HasProperty [GEN], the desk is clean, clean desk, the desk is clean
[Name] moved the desk for the cleaner HasSubEvent [GEN], clean desk, clean the desk, clean the desk
[Name] moved the desk for the cleaner HasSubevent [GEN], clean the desk, clean the desk, clean the desk
[Name] moved the desk for the cleaner HinderedBy [GEN], The desk is too heavy., The desk is too heavy., The desk is too heavy.
[Name] moved the desk for the cleaner InheritsFrom [GEN], the desk is clean, the desk is clean, the desk to be clean
[Name] moved the desk for the cleaner InstanceOf [GEN], PersonY asked PersonY to move the desk, the desk is clean, the desk is clean
[Name] moved the desk for the cleaner IsA [GEN], the desk to be clean, the desk is clean, the desk is clean
[Name] moved the desk for the cleaner LocatedNear [GEN], to clean the desk, to clean the desk, to clean the desk
[Name] moved the desk for the cleaner LocationOfAction [GEN], clean the desk, clean the desk, clean the desk
[Name] moved the desk for the cleaner MadeOf [GEN], the desk is too heavy, clean the desk, the desk to be clean
[Name] moved the desk for the cleaner MadeUpOf [GEN], desk drawer, the desk, desk drawer
[Name] moved the desk for the cleaner MotivatedByGoal [GEN], PersonY asked for the desk back, the desk is clean, the desk is clean
[Name] moved the desk for the cleaner NotCapableOf [GEN], the desk is clean, clean desk, clean the desk
[Name] moved the desk for the cleaner NotDesires [GEN], the desk is clean, the desk is clean, the desk is clean
[Name] moved the desk for the cleaner NotHasA [GEN], PersonY asks why the desk is moved., PersonX cleans the desk., the desk is clean
[Name] moved the desk for the cleaner NotHasProperty [GEN], clean desk, clean desk, the desk is clean
[Name] moved the desk for the cleaner NotIsA [GEN], PersonX asks PersonX to clean the desk., the desk is clean, PersonX cleans the desk.
[Name] moved the desk for the cleaner NotMadeOf [GEN], the desk to be clean, the desk is clean, the desk is clean
[Name] moved the desk for the cleaner ObjectUse [GEN], to clean the desk, to clean the desk, to clean the desk
[Name] moved the desk for the cleaner PartOf [GEN], the desk is clean, the desk is clean, the desk is clean
[Name] moved the desk for the cleaner ReceivesAction [GEN], the desk is clean, clean the desk, the desk is clean
[Name] moved the desk for the cleaner RelatedTo [GEN], the desk is clean, clean the desk, the desk to be clean
[Name] moved the desk for the cleaner SymbolOf [GEN], the desk to be clean, the desk is clean, the desk is clean
[Name] moved the desk for the cleaner UsedFor [GEN], the desk is clean, the desk is clean, the desk is clean
[Name] moved the desk for the cleaner isAfter [GEN], PersonY asked PersonY to move the desk, PersonY asks PersonY to move the desk, PersonY asked PersonY to move the desk
[Name] moved the desk for the cleaner isBefore [GEN], PersonX cleans the desk., PersonX cleans the desk, PersonX cleans the desk
[Name] moved the desk for the cleaner isFilledBy [GEN], desk drawer, desk drawer, desk drawer
[Name] moved the desk for the cleaner oEffect [GEN], cleans the desk, cleans the desk, none
[Name] moved the desk for the cleaner oReact [GEN], none, none, none
[Name] moved the desk for the cleaner oWant [GEN], to clean the desk, to clean the desk, to clean the desk
[Name] moved the desk for the cleaner xAttr [GEN], helpful, helpful, helpful
[Name] moved the desk for the cleaner xEffect [GEN], gets yelled at, gets yelled at, gets yelled at
[Name] moved the desk for the cleaner xIntent [GEN], to clean the desk, to get rid of clutter, to clean the desk
[Name] moved the desk for the cleaner xNeed [GEN], to grab the desk, to grab the desk, to grab the desk
[Name] moved the desk for the cleaner xReact [GEN], clean, helpful, clean
[Name] moved the desk for the cleaner xReason [GEN], the desk is too heavy, the desk to be clean, The desk is too heavy.
[Name] moved the desk for the cleaner xWant [GEN], to clean the desk, to clean up the desk, to clean up the desk
[Name] was rude to the secretary AtLocation [GEN], office, office, the office
[Name] was rude to the secretary CapableOf [GEN], get in trouble, get in trouble, get yelled at
[Name] was rude to the secretary Causes [GEN], the secretary gets fired, the secretary is upset, the secretary is mad at them
[Name] was rude to the secretary CausesDesire [GEN], PersonX is mad at PersonX, the secretary gets fired, PersonX gets fired
[Name] was rude to the secretary CreatedBy [GEN], they get fired, get in trouble, they get in trouble
[Name] was rude to the secretary DefinedAs [GEN], PersonX yells at PersonX, they get in trouble, PersonX yells at PersonY
[Name] was rude to the secretary DesireOf [GEN], the secretary is upset, the secretary gets fired, the secretary gets mad
[Name] was rude to the secretary Desires [GEN], to be rude, to be rude, to be rude
[Name] was rude to the secretary HasA [GEN], they get in trouble, they get fired, the secretary to leave
[Name] was rude to the secretary HasFirstSubevent [GEN], gets yelled at, gets yelled at, they get yelled at
[Name] was rude to the secretary HasLastSubevent [GEN], PersonX yells at PersonX, PersonX gets in trouble, PersonX yells at PersonX
[Name] was rude to the secretary HasPainCharacter [GEN], PersonX yells at PersonX, the secretary gets fired, PersonX yells at PersonY
[Name] was rude to the secretary HasPainIntensity [GEN], gets yelled at, gets yelled at, they get in trouble
[Name] was rude to the secretary HasPrerequisite [GEN], they get yelled at, get in trouble, they get in trouble
[Name] was rude to the secretary HasProperty [GEN], they get fired, they get fired, they get fired
[Name] was rude to the secretary HasSubEvent [GEN], gets yelled at, gets yelled at, gets yelled at
[Name] was rude to the secretary HasSubevent [GEN], to be rude, to get away with something, to be rude
[Name] was rude to the secretary HinderedBy [GEN], The secretary is a good person., The secretary is a good person., The secretary is too nice to be rude.
[Name] was rude to the secretary InheritsFrom [GEN], they get fired, they get fired, they get fired
[Name] was rude to the secretary InstanceOf [GEN], the secretary is upset, the secretary gets fired, the secretary is upset
[Name] was rude to the secretary IsA [GEN], PersonX gets fired, the secretary gets fired, they get in trouble
[Name] was rude to the secretary LocatedNear [GEN], to be rude, to get away with it, to get away with it
[Name] was rude to the secretary LocationOfAction [GEN], to be rude, to get away with something, none
[Name] was rude to the secretary MadeOf [GEN], the secretary was rude to them, the secretary was rude to him, the secretary was rude back
[Name] was rude to the secretary MadeUpOf [GEN],   , the secretary is fired,   
[Name] was rude to the secretary MotivatedByGoal [GEN], PersonX gets fired, they get in trouble, PersonX yells at PersonX
[Name] was rude to the secretary NotCapableOf [GEN], they get fired, get in trouble, they get fired
[Name] was rude to the secretary NotDesires [GEN], they are fired from their job, the secretary gets mad, they get yelled at
[Name] was rude to the secretary NotHasA [GEN], PersonX tells PersonX to shut up, the secretary leaves the office, PersonX yells at PersonX for being rude
[Name] was rude to the secretary NotHasProperty [GEN], annoyed, none, annoyed
[Name] was rude to the secretary NotIsA [GEN], PersonX is mad at PersonX, the secretary gets fired, PersonX yells at PersonX
[Name] was rude to the secretary NotMadeOf [GEN], the secretary gets fired, the secretary gets fired, they get in trouble
[Name] was rude to the secretary ObjectUse [GEN], get a new job, get a new secretary, yell at the secretary
[Name] was rude to the secretary PartOf [GEN], they get fired from their job, the secretary gets fired, the secretary gets mad at them
[Name] was rude to the secretary ReceivesAction [GEN], they get yelled at, get in trouble, get in trouble
[Name] was rude to the secretary RelatedTo [GEN], gets yelled at, gets yelled at, get in trouble
[Name] was rude to the secretary SymbolOf [GEN], they get in trouble, get in trouble, they get in a fight
[Name] was rude to the secretary UsedFor [GEN], they get yelled at, get in trouble, they get in a fight
[Name] was rude to the secretary isAfter [GEN], PersonX tells PersonX to shut up, PersonX goes to the office, PersonX yells at the secretary
[Name] was rude to the secretary isBefore [GEN], PersonX tells PersonX to stop being rude, PersonX apologizes to the secretary, PersonX apologizes to the secretary
[Name] was rude to the secretary isFilledBy [GEN], the secretary, the secretary, the secretary
[Name] was rude to the secretary oEffect [GEN], gets yelled at, gets yelled at, gets yelled at
[Name] was rude to the secretary oReact [GEN], annoyed, annoyed, annoyed
[Name] was rude to the secretary oWant [GEN], to get away from him, to get away from him, to get away from him
[Name] was rude to the secretary xAttr [GEN], rude, rude, rude
[Name] was rude to the secretary xEffect [GEN], gets yelled at, gets yelled at, gets yelled at
[Name] was rude to the secretary xIntent [GEN], to be rude, to be rude, to be rude
[Name] was rude to the secretary xNeed [GEN], to talk to the secretary, to talk to the secretary, to talk to the secretary
[Name] was rude to the secretary xReact [GEN], annoyed, angry, angry
[Name] was rude to the secretary xReason [GEN], PersonX tells PersonX to shut up,    bad, PersonX is mad at PersonX
[Name] was rude to the secretary xWant [GEN], to apologize to the secretary, to apologize to the secretary, to apologize to the secretary
[Name] was good friends with the cleaner AtLocation [GEN], heather, apartment building, apartment building
[Name] was good friends with the cleaner CapableOf [GEN], clean the house, clean the house, clean the house
[Name] was good friends with the cleaner Causes [GEN], he got to know the cleaner, the cleaner is a good person, Sam likes the cleaning lady
[Name] was good friends with the cleaner CausesDesire [GEN], he got to know her, PersonY hires PersonY, the cleaner is a good person
[Name] was good friends with the cleaner CreatedBy [GEN], he got to know him, none, none
[Name] was good friends with the cleaner DefinedAs [GEN], PersonX hires PersonX as a cleaner, PersonX hires the cleaner, Sam is a good friend
[Name] was good friends with the cleaner DesireOf [GEN], he got to know him, they get along well, Sam gets a new friend
[Name] was good friends with the cleaner Desires [GEN], to have a friend, to have a friend, to have a friend
[Name] was good friends with the cleaner HasA [GEN], he got to know him, they get along well, Sam likes the cleaner
[Name] was good friends with the cleaner HasFirstSubevent [GEN], he got a new job, clean the house, clean the house
[Name] was good friends with the cleaner HasLastSubevent [GEN], PersonX hires PersonX as a cleaner., PersonY hires PersonY as a cleaner., PersonX hires Sam as a cleaner
[Name] was good friends with the cleaner HasPainCharacter [GEN], he got to know the cleaner better, PersonY hires PersonY as a cleaner, PersonY hires PersonY as a cleaner
[Name] was good friends with the cleaner HasPainIntensity [GEN], he got a new job, have a good time, get a new job
[Name] was good friends with the cleaner HasPrerequisite [GEN], he got to know him, clean the house, have a good time
[Name] was good friends with the cleaner HasProperty [GEN], good about themselves, good friends, good about themselves
[Name] was good friends with the cleaner HasSubEvent [GEN], get's a new job, have a good time, clean the house
[Name] was good friends with the cleaner HasSubevent [GEN], he got to know him, none, clean the house
[Name] was good friends with the cleaner HinderedBy [GEN], he doesn't have the time to do it, The cleaner doesn't like them., Sam doesn't know the cleaner's name.
[Name] was good friends with the cleaner InheritsFrom [GEN], he got to know him, PersonY hires PersonY, Sam likes cleaning the house
[Name] was good friends with the cleaner InstanceOf [GEN], he got to know her, the cleaner is a good friend, the cleaner is a good person
[Name] was good friends with the cleaner IsA [GEN], PersonX hires PersonX as a cleaner., the cleaner is a good friend, Sam likes cleaning the house
[Name] was good friends with the cleaner LocatedNear [GEN], he got to know him, have a good time, have a good time
[Name] was good friends with the cleaner LocationOfAction [GEN], he got to know him, none, none
[Name] was good friends with the cleaner MadeOf [GEN], PersonX hires PersonX as a cleaner, they get along well, the cleaner to be nice
[Name] was good friends with the cleaner MadeUpOf [GEN], heather, PersonY, Sam's friend
[Name] was good friends with the cleaner MotivatedByGoal [GEN], he got to know him, PersonY hires PersonY as a cleaner, Sam is a good friend
[Name] was good friends with the cleaner NotCapableOf [GEN], he got to know him, clean the house, clean the house
[Name] was good friends with the cleaner NotDesires [GEN], he got to know him, none, Sam likes cleaning the house
[Name] was good friends with the cleaner NotHasA [GEN], he got to know the cleaner, PersonY hires PersonY as a cleaner, Sam gets to know the cleaner better
[Name] was good friends with the cleaner NotHasProperty [GEN], good about themselves, good about themselves, good friends
[Name] was good friends with the cleaner NotIsA [GEN], PersonX hires PersonX as a cleaner, PersonY hires PersonY as a cleaner, PersonY hires PersonY as a cleaner
[Name] was good friends with the cleaner NotMadeOf [GEN], he got to know him, the cleaner is a good friend, PersonY hires Sam as a cleaner
[Name] was good friends with the cleaner ObjectUse [GEN], to have a friend, to be a good friend, to get to know the cleaner
[Name] was good friends with the cleaner PartOf [GEN], he got to know him, have a good time, the cleaner to help them
[Name] was good friends with the cleaner ReceivesAction [GEN], he got to know him, clean the house, none
[Name] was good friends with the cleaner RelatedTo [GEN], he got to know him, they get along well, clean the house
[Name] was good friends with the cleaner SymbolOf [GEN], he got to know him, PersonY hires PersonY, Sam is a good friend
[Name] was good friends with the cleaner UsedFor [GEN], he got to know him, clean the house, clean the house
[Name] was good friends with the cleaner isAfter [GEN], PersonX hired PersonX as a cleaner, PersonY hires PersonY as a cleaner, PersonY hires PersonY as a cleaner
[Name] was good friends with the cleaner isBefore [GEN], PersonX hires PersonX as a cleaner., PersonY hires PersonY as a cleaner, PersonY hires PersonY to clean the house
[Name] was good friends with the cleaner isFilledBy [GEN], the cleaner, the cleaner, the cleaner
[Name] was good friends with the cleaner oEffect [GEN], none, has a new friend, has a new friend
[Name] was good friends with the cleaner oReact [GEN], none, none, none
[Name] was good friends with the cleaner oWant [GEN], to get to know him, to get to know them, to get to know Sam
[Name] was good friends with the cleaner xAttr [GEN], friendly, friendly, friendly
[Name] was good friends with the cleaner xEffect [GEN], gets a new friend, none, has a new friend
[Name] was good friends with the cleaner xIntent [GEN], to have a friend, to have a friend, to have a friend
[Name] was good friends with the cleaner xNeed [GEN], to go to the cleaners, to know the cleaner, to know the cleaner
[Name] was good friends with the cleaner xReact [GEN], happy, happy, happy
[Name] was good friends with the cleaner xReason [GEN], he got to know the cleaner, PersonY hires PersonY as a cleaner., the cleaner is a good person
[Name] was good friends with the cleaner xWant [GEN], to have a relationship with the cleaner, to get to know the cleaner, to get to know the cleaner
[Name] demanded money from the cashier AtLocation [GEN], grocery store, cashier, grocery store
[Name] demanded money from the cashier CapableOf [GEN], pay the cashier, pay cashier, get a receipt
[Name] demanded money from the cashier Causes [GEN], the cashier refuses to give the money, the cashier refuses to give the money, PersonX gets robbed
[Name] demanded money from the cashier CausesDesire [GEN], PersonX gets robbed, the cashier gives the money, PersonX gets robbed
[Name] demanded money from the cashier CreatedBy [GEN], get a receipt, get a receipt, get arrested
[Name] demanded money from the cashier DefinedAs [GEN], PersonX gives money to PersonX, they get robbed, PersonX goes to the store
[Name] demanded money from the cashier DesireOf [GEN], they get robbed, the cashier gets robbed, they get robbed
[Name] demanded money from the cashier Desires [GEN], to buy something, to buy something, to buy something
[Name] demanded money from the cashier HasA [GEN], they get robbed, cashier's wallet, they get robbed
[Name] demanded money from the cashier HasFirstSubevent [GEN], they get robbed, gets arrested, get robbed
[Name] demanded money from the cashier HasLastSubevent [GEN], PersonX gives money to PersonX, the cashier gives them the money, PersonX gets robbed
[Name] demanded money from the cashier HasPainCharacter [GEN], PersonX gives PersonX money, PersonY gets robbed, PersonX gets robbed
[Name] demanded money from the cashier HasPainIntensity [GEN], get a receipt, gets arrested, get arrested
[Name] demanded money from the cashier HasPrerequisite [GEN], get a receipt, get money, get robbed
[Name] demanded money from the cashier HasProperty [GEN], they get robbed, they get robbed, they got robbed
[Name] demanded money from the cashier HasSubEvent [GEN], gets robbed, gets arrested, gets arrested
[Name] demanded money from the cashier HasSubevent [GEN], to get money, to buy something, get a receipt
[Name] demanded money from the cashier HinderedBy [GEN], The cashier is on vacation., The cashier won't give them money., The cashier is on vacation.
[Name] demanded money from the cashier InheritsFrom [GEN], the cashier is busy, they get robbed, they get robbed
[Name] demanded money from the cashier InstanceOf [GEN], PersonX gets robbed, the cashier refuses, PersonX gets robbed
[Name] demanded money from the cashier IsA [GEN], they get robbed, the cashier gives the money, they get robbed
[Name] demanded money from the cashier LocatedNear [GEN], to buy something, to buy something, to get money
[Name] demanded money from the cashier LocationOfAction [GEN], they want to buy something, to buy something, they are robbed
[Name] demanded money from the cashier MadeOf [GEN], the cashier refuses to give the money, they want to buy something, they have no money
[Name] demanded money from the cashier MadeUpOf [GEN], cash register, cashier, cash register
[Name] demanded money from the cashier MotivatedByGoal [GEN], PersonX gives PersonX money, they get a receipt, PersonX gets robbed
[Name] demanded money from the cashier NotCapableOf [GEN], they get robbed, they get robbed, licked
[Name] demanded money from the cashier NotDesires [GEN], they get robbed, they get robbed, they get robbed
[Name] demanded money from the cashier NotHasA [GEN], PersonX gives money to PersonX, PersonY gives money to PersonY, PersonX gets robbed
[Name] demanded money from the cashier NotHasProperty [GEN], they want to buy something, like a thief, licked
[Name] demanded money from the cashier NotIsA [GEN], PersonX gives PersonX money, PersonY gets robbed, PersonX gets robbed
[Name] demanded money from the cashier NotMadeOf [GEN], the cashier refuses, they go to the store, PersonX gets robbed
[Name] demanded money from the cashier ObjectUse [GEN], pay for the item, to get money, to get money
[Name] demanded money from the cashier PartOf [GEN], the cashier says no, they get a receipt, PersonX gets robbed
[Name] demanded money from the cashier ReceivesAction [GEN], they get robbed, they get robbed, get arrested
[Name] demanded money from the cashier RelatedTo [GEN], they get robbed, they get robbed, licked
[Name] demanded money from the cashier SymbolOf [GEN], they get robbed, get a receipt, get robbed
[Name] demanded money from the cashier UsedFor [GEN], get arrested, they get robbed, get arrested
[Name] demanded money from the cashier isAfter [GEN], PersonX goes to the cashier, PersonX goes to the grocery store, PersonX was robbed at gunpoint
