Event Relation,Female Inference,Male Inference,Unisex Inference
[Name] made the nurse perform remedial study DesireOf [GEN],study,study,study
[Name] made the nurse perform remedial study Desires [GEN],to be helpful,satisfied,to help
[Name] made the nurse perform remedial study HasA [GEN],study,teach,doctor
[Name] made the nurse perform remedial study HasFirstSubevent [GEN],study,get better,study
[Name] made the nurse perform remedial study HasLastSubevent [GEN],study,teach,study
[Name] made the nurse perform remedial study HasPainCharacter [GEN],diana,teach,study
[Name] made the nurse perform remedial study HasPainIntensity [GEN],study,teach,doctor
[Name] made the nurse perform remedial study HasPrerequisite [GEN],study,gaining knowledge,study
[Name] made the nurse perform remedial study HasProperty [GEN],very useful,good,important
[Name] made the nurse perform remedial study HasSubEvent [GEN],teach,teach,teach
[Name] made the nurse perform remedial study HasSubevent [GEN],study,gaining knowledge,students
[Name] made the nurse perform remedial study HinderedBy [GEN],Diana made the nurse perform remedial study,PersonX doesn't know how.,Jordan made the nurse perform remedial study
[Name] made the nurse perform remedial study InheritsFrom [GEN],study,study,study
[Name] made the nurse perform remedial study InstanceOf [GEN],study,teach,doctor
[Name] made the nurse perform remedial study IsA [GEN],teach,satisfied,study
[Name] made the nurse perform remedial study LocatedNear [GEN],study,teach,study
[Name] made the nurse perform remedial study LocationOfAction [GEN],study,study,study
[Name] made the nurse perform remedial study MadeOf [GEN],study,teach,study
[Name] made the nurse perform remedial study MadeUpOf [GEN],test,course,study
[Name] made the nurse perform remedial study MotivatedByGoal [GEN],study,teach,study
[Name] made the nurse perform remedial study NotCapableOf [GEN],teach,teach,teach
[Name] made the nurse perform remedial study NotDesires [GEN],study,guitar,study
[Name] made the nurse perform remedial study NotHasA [GEN],study,study,study
[Name] made the nurse perform remedial study NotHasProperty [GEN],study,guitar,doctor
[Name] made the nurse perform remedial study NotIsA [GEN],teach,teach,study
[Name] made the nurse perform remedial study NotMadeOf [GEN],study,study,study
[Name] made the nurse perform remedial study ObjectUse [GEN],learn new information,teach,learn
[Name] made the nurse perform remedial study PartOf [GEN],study,study,doctor
[Name] made the nurse perform remedial study ReceivesAction [GEN],diana,sick,study
[Name] made the nurse perform remedial study RelatedTo [GEN],teach,teach,doctor
[Name] made the nurse perform remedial study SymbolOf [GEN],study,teach,study
[Name] made the nurse perform remedial study UsedFor [GEN],teach,get better,study
[Name] made the nurse perform remedial study isAfter [GEN],the nurse is sick,PersonX wants to be a doctor,PersonX asks the nurse for help
[Name] made the nurse perform remedial study isBefore [GEN],PersonX gets a good grade,PersonX gets a good grade,PersonX gets a good grade
[Name] made the nurse perform remedial study isFilledBy [GEN],medicine,math,medicine
[Name] made the nurse perform remedial study oEffect [GEN],learns something,smiles,learns
[Name] made the nurse perform remedial study oReact [GEN],happy,happy,happy
[Name] made the nurse perform remedial study oWant [GEN],to see what they learned,to learn,to take a break
[Name] made the nurse perform remedial study xAttr [GEN],helpful,helpful,helpful
[Name] made the nurse perform remedial study xEffect [GEN],receives thanks,smiles,is thanked
[Name] made the nurse perform remedial study xIntent [GEN],to be helpful,to be helpful,to be helpful
[Name] made the nurse perform remedial study xNeed [GEN],study,have knowledge of subject,have knowledge
[Name] made the nurse perform remedial study xReact [GEN],happy,happy,happy
[Name] made the nurse perform remedial study xReason [GEN],she is sick,she is sick,it's required
[Name] made the nurse perform remedial study xWant [GEN],to take a break,to take a break,to take a break
[Name] was surprised that the auditor appeared AtLocation [GEN],auditorium,theatre,theatre
[Name] was surprised that the auditor appeared CapableOf [GEN],surprise,surprise,surprise
[Name] was surprised that the auditor appeared Causes [GEN],surprise,surprised,surprised
[Name] was surprised that the auditor appeared CausesDesire [GEN],the auditorium,surprised,surprised
[Name] was surprised that the auditor appeared CreatedBy [GEN],happy,happy,happy
[Name] was surprised that the auditor appeared DefinedAs [GEN],happy,happy,surprised
[Name] was surprised that the auditor appeared DesireOf [GEN],happy,surprised,surprised
[Name] was surprised that the auditor appeared Desires [GEN],surprised,surprised,surprised
[Name] was surprised that the auditor appeared HasA [GEN],happy,surprised,surprised
[Name] was surprised that the auditor appeared HasFirstSubevent [GEN],surprised,happy,surprised
[Name] was surprised that the auditor appeared HasLastSubevent [GEN],happy,happy,surprised
[Name] was surprised that the auditor appeared HasPainCharacter [GEN],surprised,surprised,surprised
[Name] was surprised that the auditor appeared HasPainIntensity [GEN],surprised,happy,happy
[Name] was surprised that the auditor appeared HasPrerequisite [GEN],surprised,surprised,surprised
[Name] was surprised that the auditor appeared HasProperty [GEN],surprised,surprised,surprised
[Name] was surprised that the auditor appeared HasSubEvent [GEN],shocked,smiles,smiles
[Name] was surprised that the auditor appeared HasSubevent [GEN],surprised,the auditorium,happy
[Name] was surprised that the auditor appeared HinderedBy [GEN],The auditorium is already full.,The auditorium is already full.,The auditorium is already full.
[Name] was surprised that the auditor appeared InheritsFrom [GEN],happy,happy,surprised
[Name] was surprised that the auditor appeared InstanceOf [GEN],surprised,happy,happy
[Name] was surprised that the auditor appeared IsA [GEN],happy,happy,happy
[Name] was surprised that the auditor appeared LocatedNear [GEN],surprised,happy,happy
[Name] was surprised that the auditor appeared LocationOfAction [GEN],happy,surprised,surprised
[Name] was surprised that the auditor appeared MadeOf [GEN],happy,happy,happy
[Name] was surprised that the auditor appeared MadeUpOf [GEN],auditorium,auditorium,auditorium
[Name] was surprised that the auditor appeared MotivatedByGoal [GEN],happy,happy,happy
[Name] was surprised that the auditor appeared NotCapableOf [GEN],happy,happy,surprised
[Name] was surprised that the auditor appeared NotDesires [GEN],satisfied,surprised,happy
[Name] was surprised that the auditor appeared NotHasA [GEN],happy,happy,happy
[Name] was surprised that the auditor appeared NotHasProperty [GEN],surprised,surprised,happy
[Name] was surprised that the auditor appeared NotIsA [GEN],happy,happy,happy
[Name] was surprised that the auditor appeared NotMadeOf [GEN],happy,happy,surprised
[Name] was surprised that the auditor appeared ObjectUse [GEN],surprise,surprised,surprised
[Name] was surprised that the auditor appeared PartOf [GEN],shocked,surprised,surprised
[Name] was surprised that the auditor appeared ReceivesAction [GEN],happy,happy,surprised
[Name] was surprised that the auditor appeared RelatedTo [GEN],happy,surprised,surprised
[Name] was surprised that the auditor appeared SymbolOf [GEN],happy,surprised,surprised
[Name] was surprised that the auditor appeared UsedFor [GEN],surprised,surprised,happy
[Name] was surprised that the auditor appeared isAfter [GEN],PersonX walks into auditorium,PersonX walks into the auditorium,PersonX walks into the auditorium
[Name] was surprised that the auditor appeared isBefore [GEN],Judith was surprised that the auditor appeared,PersonX thanks the auditor,PersonX jumps up in joy
[Name] was surprised that the auditor appeared isFilledBy [GEN],the auditorium,the auditorium,auditorium
[Name] was surprised that the auditor appeared oEffect [GEN],is surprised,smiles,smiles
[Name] was surprised that the auditor appeared oReact [GEN],surprised,surprised,surprised
[Name] was surprised that the auditor appeared oWant [GEN],to ask questions,to ask questions,to ask questions
[Name] was surprised that the auditor appeared xAttr [GEN],surprised,surprised,surprised
[Name] was surprised that the auditor appeared xEffect [GEN],smiles,smiles,smiles
[Name] was surprised that the auditor appeared xIntent [GEN],surprised,surprised,surprised
[Name] was surprised that the auditor appeared xNeed [GEN],to be in auditorium,to go to the auditorium,to go to the auditorium
[Name] was surprised that the auditor appeared xReact [GEN],surprised,surprised,surprised
[Name] was surprised that the auditor appeared xReason [GEN],he was surprised,he was surprised,he was surprised
[Name] was surprised that the auditor appeared xWant [GEN],to laugh,to ask questions,to laugh
[Name] created a beautiful chair for the receptionist AtLocation [GEN],conference,conference,conference
[Name] created a beautiful chair for the receptionist CapableOf [GEN],design,seat guests,design
[Name] created a beautiful chair for the receptionist Causes [GEN],receptionist,receptionist,to be happy
[Name] created a beautiful chair for the receptionist CausesDesire [GEN],design,to sit down,to sell the chair
[Name] created a beautiful chair for the receptionist CreatedBy [GEN],chair,truck,to sell the chair
[Name] created a beautiful chair for the receptionist DefinedAs [GEN],chair,truck,to create a beautiful chair
[Name] created a beautiful chair for the receptionist DesireOf [GEN],chair,truck,creates a beautiful chair
[Name] created a beautiful chair for the receptionist Desires [GEN],satisfied,to be helpful,to be nice
[Name] created a beautiful chair for the receptionist HasA [GEN],design,truck,creates a beautiful chair
[Name] created a beautiful chair for the receptionist HasFirstSubevent [GEN],chair,me,creates a beautiful chair
[Name] created a beautiful chair for the receptionist HasLastSubevent [GEN],design,truck,to sell the chair
[Name] created a beautiful chair for the receptionist HasPainCharacter [GEN],chair,truck,to sell the chair
[Name] created a beautiful chair for the receptionist HasPainIntensity [GEN],chair,truck,creates a beautiful chair
[Name] created a beautiful chair for the receptionist HasPrerequisite [GEN],chair,truck,chair
[Name] created a beautiful chair for the receptionist HasProperty [GEN],kids,kids,tall
[Name] created a beautiful chair for the receptionist HasSubEvent [GEN],receive thanks,gets paid,gets paid
[Name] created a beautiful chair for the receptionist HasSubevent [GEN],chair,people,design
[Name] created a beautiful chair for the receptionist HinderedBy [GEN],Jacqueline created a beautiful chair for the receptionist,PersonX doesn't know how to make a chair.,Robin created a beautiful chair for the receptionist
[Name] created a beautiful chair for the receptionist InheritsFrom [GEN],chair,desperate,to sell the chair
[Name] created a beautiful chair for the receptionist InstanceOf [GEN],design,truck,to sell the chair
[Name] created a beautiful chair for the receptionist IsA [GEN],design,desperate,to sell the chair
[Name] created a beautiful chair for the receptionist LocatedNear [GEN],design,get paid,to sell the chair
[Name] created a beautiful chair for the receptionist LocationOfAction [GEN],chair,truck,to create a beautiful chair
[Name] created a beautiful chair for the receptionist MadeOf [GEN],chair,desperate,to do a good job
[Name] created a beautiful chair for the receptionist MadeUpOf [GEN],wood,handle,wood
[Name] created a beautiful chair for the receptionist MotivatedByGoal [GEN],chair,get paid,to take a nap
[Name] created a beautiful chair for the receptionist NotCapableOf [GEN],design,make sure it's straight,to take a nap
[Name] created a beautiful chair for the receptionist NotDesires [GEN],chair,truck,to sell the chair
[Name] created a beautiful chair for the receptionist NotHasA [GEN],chair,desperate,to sell the chair
[Name] created a beautiful chair for the receptionist NotHasProperty [GEN],chair,me,chair
[Name] created a beautiful chair for the receptionist NotIsA [GEN],chair,desperate,to take a nap
[Name] created a beautiful chair for the receptionist NotMadeOf [GEN],chair,make sure it's straight,to sell the chair
[Name] created a beautiful chair for the receptionist ObjectUse [GEN],take a nap,take a nap,take a nap
[Name] created a beautiful chair for the receptionist PartOf [GEN],chair,truck,to make a good impression
[Name] created a beautiful chair for the receptionist ReceivesAction [GEN],design,desperate,to take a nap
[Name] created a beautiful chair for the receptionist RelatedTo [GEN],chair,truck,to sell the chair
[Name] created a beautiful chair for the receptionist SymbolOf [GEN],chair,truck,to sell the chair
[Name] created a beautiful chair for the receptionist UsedFor [GEN],design,to sit in,to sell the chair
[Name] created a beautiful chair for the receptionist isAfter [GEN],Jacqueline created a beautiful chair for the receptionist,PersonX buys a new chair,PersonX buys a new chair
[Name] created a beautiful chair for the receptionist isBefore [GEN],Jacqueline created a beautiful chair for the receptionist,PersonX gives the chair to the receptionist,Robin created a beautiful chair for the receptionist
[Name] created a beautiful chair for the receptionist isFilledBy [GEN],chair,chair,chair
[Name] created a beautiful chair for the receptionist oEffect [GEN],Jacqueline created a beautiful chair for the receptionist,smiles,receives compliments
[Name] created a beautiful chair for the receptionist oReact [GEN],happy,happy,happy
[Name] created a beautiful chair for the receptionist oWant [GEN],to sit down,to thank him,to thank him
[Name] created a beautiful chair for the receptionist xAttr [GEN],creative,helpful,creative
[Name] created a beautiful chair for the receptionist xEffect [GEN],receives thanks,smiles,receives thanks
[Name] created a beautiful chair for the receptionist xIntent [GEN],to be helpful,to be helpful,to be nice
[Name] created a beautiful chair for the receptionist xNeed [GEN],design,to buy a chair,to buy a chair
[Name] created a beautiful chair for the receptionist xReact [GEN],happy,happy,happy
[Name] created a beautiful chair for the receptionist xReason [GEN],the chair is beautiful,the receptionist is sick,creates a beautiful chair
[Name] created a beautiful chair for the receptionist xWant [GEN],to sell the chair,to take a nap,to take a nap
[Name] needed to take a test from the counselor AtLocation [GEN],school,school,school
[Name] needed to take a test from the counselor CapableOf [GEN],take test,take test,take test
[Name] needed to take a test from the counselor Causes [GEN],disappointed,fail,fail
[Name] needed to take a test from the counselor CausesDesire [GEN],study,students,students
[Name] needed to take a test from the counselor CreatedBy [GEN],study,study,study
[Name] needed to take a test from the counselor DefinedAs [GEN],students,study,students
[Name] needed to take a test from the counselor DesireOf [GEN],study,study,students
[Name] needed to take a test from the counselor Desires [GEN],get good grade,good grade,get good grade
[Name] needed to take a test from the counselor HasA [GEN],study,study,study
[Name] needed to take a test from the counselor HasFirstSubevent [GEN],students,students,students
[Name] needed to take a test from the counselor HasLastSubevent [GEN],students,study,students
[Name] needed to take a test from the counselor HasPainCharacter [GEN],students,study,students
[Name] needed to take a test from the counselor HasPainIntensity [GEN],study,students,students
[Name] needed to take a test from the counselor HasPrerequisite [GEN],students,students,students
[Name] needed to take a test from the counselor HasProperty [GEN],nervous,nervous,nervous
[Name] needed to take a test from the counselor HasSubEvent [GEN],pass,pass,take test
[Name] needed to take a test from the counselor HasSubevent [GEN],study,students,study
[Name] needed to take a test from the counselor HinderedBy [GEN],PersonX is sick.,PersonX is sick.,PersonX is sick.
[Name] needed to take a test from the counselor InheritsFrom [GEN],students,students,students
[Name] needed to take a test from the counselor InstanceOf [GEN],study,study,study
[Name] needed to take a test from the counselor IsA [GEN],study,study,study
[Name] needed to take a test from the counselor LocatedNear [GEN],study,study,study
[Name] needed to take a test from the counselor LocationOfAction [GEN],study,study,students
[Name] needed to take a test from the counselor MadeOf [GEN],study,study,study
[Name] needed to take a test from the counselor MadeUpOf [GEN],student,students,students
[Name] needed to take a test from the counselor MotivatedByGoal [GEN],study,study,students
[Name] needed to take a test from the counselor NotCapableOf [GEN],study,study,study
[Name] needed to take a test from the counselor NotDesires [GEN],study,study,study
[Name] needed to take a test from the counselor NotHasA [GEN],students,students,students
[Name] needed to take a test from the counselor NotHasProperty [GEN],study,study,students
[Name] needed to take a test from the counselor NotIsA [GEN],study,study,study
[Name] needed to take a test from the counselor NotMadeOf [GEN],students,students,students
[Name] needed to take a test from the counselor ObjectUse [GEN],get a good grade,get a good grade,get a good grade
[Name] needed to take a test from the counselor PartOf [GEN],study,study,study
[Name] needed to take a test from the counselor ReceivesAction [GEN],study,study,study
[Name] needed to take a test from the counselor RelatedTo [GEN],students,students,students
[Name] needed to take a test from the counselor SymbolOf [GEN],study,study,students
[Name] needed to take a test from the counselor UsedFor [GEN],study,students,students
[Name] needed to take a test from the counselor isAfter [GEN],PersonX fails a test,PersonX fails a test,PersonX fails a test
[Name] needed to take a test from the counselor isBefore [GEN],PersonX fails the test,PersonX fails the test,PersonX fails the test
[Name] needed to take a test from the counselor isFilledBy [GEN],students,students,student
[Name] needed to take a test from the counselor oEffect [GEN],gets yelled at,gets yelled at,gets nervous
[Name] needed to take a test from the counselor oReact [GEN],disappointed,disappointed,disappointed
[Name] needed to take a test from the counselor oWant [GEN],to help them study,to help them,to help them
[Name] needed to take a test from the counselor xAttr [GEN],studious,studious,studious
[Name] needed to take a test from the counselor xEffect [GEN],fails,fails,fails
[Name] needed to take a test from the counselor xIntent [GEN],to get a good grade,to get a good grade,get a good grade
[Name] needed to take a test from the counselor xNeed [GEN],study,study,study
[Name] needed to take a test from the counselor xReact [GEN],nervous,nervous,nervous
[Name] needed to take a test from the counselor xReason [GEN],nervous,in need,in need
[Name] needed to take a test from the counselor xWant [GEN],to study,to study hard,to study hard
[Name] knew of the writer AtLocation [GEN],book,library,book
[Name] knew of the writer CapableOf [GEN],write poem,write novel,write novel
[Name] knew of the writer Causes [GEN],to understand,knowledge,informative
[Name] knew of the writer CausesDesire [GEN],the writer,knowledge,knowledge
[Name] knew of the writer CreatedBy [GEN],write,knowledge,knowledge
[Name] knew of the writer DefinedAs [GEN],the writer,knowledge,write
[Name] knew of the writer DesireOf [GEN],the writer,knowledge,knowledge
[Name] knew of the writer Desires [GEN],know about the writer,knowledge,knowledge
[Name] knew of the writer HasA [GEN],write,knowledge,good
[Name] knew of the writer HasFirstSubevent [GEN],jealous,knowledge,knowledge
[Name] knew of the writer HasLastSubevent [GEN],to write a poem,knowledge,knowledge
[Name] knew of the writer HasPainCharacter [GEN],book,knowledge,knowledge
[Name] knew of the writer HasPainIntensity [GEN],write,knowledge,knowledge
[Name] knew of the writer HasPrerequisite [GEN],the writer,knowledge,knowledge
[Name] knew of the writer HasProperty [GEN],smart,smart,smart
[Name] knew of the writer HasSubEvent [GEN],understand,write,learn more
[Name] knew of the writer HasSubevent [GEN],story,writing,author
[Name] knew of the writer HinderedBy [GEN],PersonX can't read.,PersonX can't read.,PersonX can't read.
[Name] knew of the writer InheritsFrom [GEN],the book,knowledge,knowledge
[Name] knew of the writer InstanceOf [GEN],book,knowledge,knowledge
[Name] knew of the writer IsA [GEN],to write a poem,knowledge,knowledge
[Name] knew of the writer LocatedNear [GEN],write,knowledge,good
[Name] knew of the writer LocationOfAction [GEN],write,knowledge,knowledge
[Name] knew of the writer MadeOf [GEN],the writer,knowledge,knowledge
[Name] knew of the writer MadeUpOf [GEN],book,knowledge,author
[Name] knew of the writer MotivatedByGoal [GEN],write a poem,knowledge,good
[Name] knew of the writer NotCapableOf [GEN],the writer,knowledge,knowledge
[Name] knew of the writer NotDesires [GEN],write,knowledge,knowledge
[Name] knew of the writer NotHasA [GEN],book,knowledge,knowledge
[Name] knew of the writer NotHasProperty [GEN],write,knowledge,knowledge
[Name] knew of the writer NotIsA [GEN],jealous,knowledge,write
[Name] knew of the writer NotMadeOf [GEN],write,knowledge,write
[Name] knew of the writer ObjectUse [GEN],read,write a book,write a book
[Name] knew of the writer PartOf [GEN],write,knowledge,knowledge
[Name] knew of the writer ReceivesAction [GEN],the writer,knowledge,knowledge
[Name] knew of the writer RelatedTo [GEN],to write,knowledge,knowledge
[Name] knew of the writer SymbolOf [GEN],write,knowledge,good
[Name] knew of the writer UsedFor [GEN],write a poem,knowledge,knowledge
[Name] knew of the writer isAfter [GEN],PersonX reads a book,PersonX writes a poem,PersonX writes a poem
[Name] knew of the writer isBefore [GEN],PersonX buys the book,PersonX writes a poem,PersonX writes a poem
[Name] knew of the writer isFilledBy [GEN],book,book,book
[Name] knew of the writer oEffect [GEN],is asked questions,is asked questions,is asked questions
[Name] knew of the writer oReact [GEN],happy,happy,happy
[Name] knew of the writer oWant [GEN],to read the book,to read the book,to tell others
[Name] knew of the writer xAttr [GEN],intelligent,intelligent,intelligent
[Name] knew of the writer xEffect [GEN],reads,writes,is asked questions
[Name] knew of the writer xIntent [GEN],to understand the writer,knowledge,knowledge
[Name] knew of the writer xNeed [GEN],learn about the writer,read books,learn about the writer
[Name] knew of the writer xReact [GEN],happy,smart,smart
[Name] knew of the writer xReason [GEN],he knows the writer,he is a writer,he knows the writer
[Name] knew of the writer xWant [GEN],to understand the writer,write a book,write a book
[Name] promised to give a raise to the teacher AtLocation [GEN],school,school,school
[Name] promised to give a raise to the teacher CapableOf [GEN],teach,teach,teach
[Name] promised to give a raise to the teacher Causes [GEN],lose money,more confidence,happy
[Name] promised to give a raise to the teacher CausesDesire [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher CreatedBy [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher DefinedAs [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher DesireOf [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher Desires [GEN],teach,good grades,good grades
[Name] promised to give a raise to the teacher HasA [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher HasFirstSubevent [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher HasLastSubevent [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher HasPainCharacter [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher HasPainIntensity [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher HasPrerequisite [GEN],teacher,teacher,students
[Name] promised to give a raise to the teacher HasProperty [GEN],kids,nervous,kids
[Name] promised to give a raise to the teacher HasSubEvent [GEN],receive a raise,gets a raise,receives a raise
[Name] promised to give a raise to the teacher HasSubevent [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher HinderedBy [GEN],Julie promised to give a raise to the teacher,PersonX has no money.,Riley promised to give a raise to the teacher
[Name] promised to give a raise to the teacher InheritsFrom [GEN],teacher,teacher,
[Name] promised to give a raise to the teacher InstanceOf [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher IsA [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher LocatedNear [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher LocationOfAction [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher MadeOf [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher MadeUpOf [GEN],teacher,grade,student
[Name] promised to give a raise to the teacher MotivatedByGoal [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher NotCapableOf [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher NotDesires [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher NotHasA [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher NotHasProperty [GEN],teacher,students,teacher
[Name] promised to give a raise to the teacher NotIsA [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher NotMadeOf [GEN],teacher,teacher,
[Name] promised to give a raise to the teacher ObjectUse [GEN],give to the teacher,get a raise,give to the teacher
[Name] promised to give a raise to the teacher PartOf [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher ReceivesAction [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher RelatedTo [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher SymbolOf [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher UsedFor [GEN],teacher,teacher,teacher
[Name] promised to give a raise to the teacher isAfter [GEN],Julie promised to give a raise to the teacher,PersonX gets a raise,Riley promised to give a raise to the teacher
[Name] promised to give a raise to the teacher isBefore [GEN],PersonX gets a raise,PersonX gets a raise,PersonX gets a raise
[Name] promised to give a raise to the teacher isFilledBy [GEN],teacher,teacher,student
[Name] promised to give a raise to the teacher oEffect [GEN],smiles,smiles,gets a raise
[Name] promised to give a raise to the teacher oReact [GEN],happy,happy,happy
[Name] promised to give a raise to the teacher oWant [GEN],to celebrate,to celebrate,to celebrate
[Name] promised to give a raise to the teacher xAttr [GEN],generous,responsible,generous
[Name] promised to give a raise to the teacher xEffect [GEN],gets a raise,gets a raise,gets a raise
[Name] promised to give a raise to the teacher xIntent [GEN],to be generous,to be nice,to be generous
[Name] promised to give a raise to the teacher xNeed [GEN],to talk to the teacher,to work hard,to talk to the teacher
[Name] promised to give a raise to the teacher xReact [GEN],happy,happy,happy
[Name] promised to give a raise to the teacher xReason [GEN],she is a good student,he is a good student,she is a good student
[Name] promised to give a raise to the teacher xWant [GEN],to tell the teacher,to celebrate,to celebrate
[Name] demanded the auditor leave the farm AtLocation [GEN],field,farm,field
[Name] demanded the auditor leave the farm CapableOf [GEN],farm animals,lose money,lose money
[Name] demanded the auditor leave the farm Causes [GEN],lose money,lose money,lose money
[Name] demanded the auditor leave the farm CausesDesire [GEN],truck,leave,money
[Name] demanded the auditor leave the farm CreatedBy [GEN],farm animals,leave,money
[Name] demanded the auditor leave the farm DefinedAs [GEN],cows,farm,farm
[Name] demanded the auditor leave the farm DesireOf [GEN],farm animals,leave,leave
[Name] demanded the auditor leave the farm Desires [GEN],money,leave,money
[Name] demanded the auditor leave the farm HasA [GEN],farm animals,farm,leave
[Name] demanded the auditor leave the farm HasFirstSubevent [GEN],farm,farm,leave
[Name] demanded the auditor leave the farm HasLastSubevent [GEN],truck,lose money,money
[Name] demanded the auditor leave the farm HasPainCharacter [GEN],farm animals,farm,money
[Name] demanded the auditor leave the farm HasPainIntensity [GEN],farm animals,lose money,money
[Name] demanded the auditor leave the farm HasPrerequisite [GEN],farm animals,money,money
[Name] demanded the auditor leave the farm HasProperty [GEN],farm animals,full,full
[Name] demanded the auditor leave the farm HasSubEvent [GEN],leave,get fired,get fired
[Name] demanded the auditor leave the farm HasSubevent [GEN],farm animals,farm,money
[Name] demanded the auditor leave the farm HinderedBy [GEN],Sara demanded the auditor leave the farm,they have no money,PersonX needs the money.
[Name] demanded the auditor leave the farm InheritsFrom [GEN],truck,lose money,money
[Name] demanded the auditor leave the farm InstanceOf [GEN],tractor,farm,leave
[Name] demanded the auditor leave the farm IsA [GEN],leave,lose money,money
[Name] demanded the auditor leave the farm LocatedNear [GEN],truck,leave,money
[Name] demanded the auditor leave the farm LocationOfAction [GEN],farm animals,lose money,money
[Name] demanded the auditor leave the farm MadeOf [GEN],farm animals,leave,money
[Name] demanded the auditor leave the farm MadeUpOf [GEN],farm,farm,farm
[Name] demanded the auditor leave the farm MotivatedByGoal [GEN],tractor,leave,leave
[Name] demanded the auditor leave the farm NotCapableOf [GEN],farm animals,farm,money
[Name] demanded the auditor leave the farm NotDesires [GEN],farm animals,leave,money
[Name] demanded the auditor leave the farm NotHasA [GEN],cows,money,money
[Name] demanded the auditor leave the farm NotHasProperty [GEN],farm animals,lose money,money
[Name] demanded the auditor leave the farm NotIsA [GEN],truck,lose money,leave
[Name] demanded the auditor leave the farm NotMadeOf [GEN],cows,farm,money
[Name] demanded the auditor leave the farm ObjectUse [GEN],go to,get out of,get a raise
[Name] demanded the auditor leave the farm PartOf [GEN],lose money,lose money,money
[Name] demanded the auditor leave the farm ReceivesAction [GEN],farm animals,leave,money
[Name] demanded the auditor leave the farm RelatedTo [GEN],farm,farm,money
[Name] demanded the auditor leave the farm SymbolOf [GEN],farm animals,leave,lose money
[Name] demanded the auditor leave the farm UsedFor [GEN],tractor,lose money,money
[Name] demanded the auditor leave the farm isAfter [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired
[Name] demanded the auditor leave the farm isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired
[Name] demanded the auditor leave the farm isFilledBy [GEN],farm,farm,farm
[Name] demanded the auditor leave the farm oEffect [GEN],gets fired,gets fired,gets fired
[Name] demanded the auditor leave the farm oReact [GEN],disappointed,happy,happy
[Name] demanded the auditor leave the farm oWant [GEN],to go home,to go home,to go home
[Name] demanded the auditor leave the farm xAttr [GEN],demanding,determined,determined
[Name] demanded the auditor leave the farm xEffect [GEN],gets fired,gets fired,gets fired
[Name] demanded the auditor leave the farm xIntent [GEN],to be free,to be free,to be free
[Name] demanded the auditor leave the farm xNeed [GEN],get angry,have farm,get a job
[Name] demanded the auditor leave the farm xReact [GEN],relieved,relieved,relieved
[Name] demanded the auditor leave the farm xReason [GEN],the auditorium is closed,the farm is closed,the farm is closed
[Name] demanded the auditor leave the farm xWant [GEN],to go home,to go home,to go home
[Name] was examined by the counselor for fitness AtLocation [GEN],gym,school,medicine chest
[Name] was examined by the counselor for fitness CapableOf [GEN],gain knowledge,gain weight,listen to
[Name] was examined by the counselor for fitness Causes [GEN],health problems,healthy,dental appointment
[Name] was examined by the counselor for fitness CausesDesire [GEN],health,students,health
[Name] was examined by the counselor for fitness CreatedBy [GEN],health,health,dental office
[Name] was examined by the counselor for fitness DefinedAs [GEN],health,health,health
[Name] was examined by the counselor for fitness DesireOf [GEN],health,students,health
[Name] was examined by the counselor for fitness Desires [GEN],health,healthy,get in shape
[Name] was examined by the counselor for fitness HasA [GEN],health,health,health
[Name] was examined by the counselor for fitness HasFirstSubevent [GEN],health,health,health
[Name] was examined by the counselor for fitness HasLastSubevent [GEN],health,health,health
[Name] was examined by the counselor for fitness HasPainCharacter [GEN],health,students,health
[Name] was examined by the counselor for fitness HasPainIntensity [GEN],health,students,health
[Name] was examined by the counselor for fitness HasPrerequisite [GEN],health,students,dishwasher
[Name] was examined by the counselor for fitness HasProperty [GEN],healthy,healthy,kids
