Event Relation,Female Inference,Male Inference,PersonX Inference
[Name] offered apples to the housekeeper HinderedBy [GEN],PersonX has no apples.,PersonX has no apples.,PersonX has no apples.
[Name] offered apples to the housekeeper InheritsFrom [GEN],taste apples,to the house,to eat apples
[Name] offered apples to the housekeeper InstanceOf [GEN],the apples,grocery store,to be helpful
[Name] offered apples to the housekeeper IsA [GEN],to sell apples,taste,to clean the house
[Name] offered apples to the housekeeper LocatedNear [GEN],gift,taste,to eat apples
[Name] offered apples to the housekeeper LocationOfAction [GEN],to sell apples,to be helpful,to eat apples
[Name] offered apples to the housekeeper MadeOf [GEN],money,to make a pie,to eat apples
[Name] offered apples to the housekeeper MadeUpOf [GEN],apple,apple,apple
[Name] offered apples to the housekeeper MotivatedByGoal [GEN],satisfied,to be helpful,to eat apples
[Name] offered apples to the housekeeper NotCapableOf [GEN],money,money,to clean the house
[Name] offered apples to the housekeeper NotDesires [GEN],gift,to the house,to eat apples
[Name] offered apples to the housekeeper NotHasA [GEN],garden tools,taste,to eat apples
[Name] offered apples to the housekeeper NotHasProperty [GEN],apples,apples,to eat apples
[Name] offered apples to the housekeeper NotIsA [GEN],satisfied,satisfied,to clean up
[Name] offered apples to the housekeeper NotMadeOf [GEN],apples,apples,to eat apples
[Name] offered apples to the housekeeper ObjectUse [GEN],make a pie,make a pie,to be helpful
[Name] offered apples to the housekeeper PartOf [GEN],grocery store,to the house,to eat apples
[Name] offered apples to the housekeeper ReceivesAction [GEN],gift,taste,to clean the house
[Name] offered apples to the housekeeper RelatedTo [GEN],satisfied,satisfied,to clean the house
[Name] offered apples to the housekeeper SymbolOf [GEN],satisfied,to make a pie,to eat apples
[Name] offered apples to the housekeeper UsedFor [GEN],the apples,to the house,to sell apples
[Name] offered apples to the housekeeper isAfter [GEN],PersonX buys apples,PersonX buys apples,PersonX bought apples
[Name] offered apples to the housekeeper isBefore [GEN],PersonX eats apples,PersonX eats the apples,PersonX eats apples
[Name] offered apples to the housekeeper isFilledBy [GEN],pears,pears,pears
[Name] offered apples to the housekeeper oEffect [GEN],smiles,smiles,smiles
[Name] offered apples to the housekeeper oReact [GEN],happy,happy,happy
[Name] offered apples to the housekeeper oWant [GEN],to thank them,to eat apples,to eat apples
[Name] offered apples to the housekeeper xAttr [GEN],generous,helpful,generous
[Name] offered apples to the housekeeper xEffect [GEN],smiles,smiles,smiles
[Name] offered apples to the housekeeper xIntent [GEN],to be generous,to be helpful,to be generous
[Name] offered apples to the housekeeper xNeed [GEN],buy apples,buy apples,to buy apples
[Name] offered apples to the housekeeper xReact [GEN],happy,happy,happy
[Name] offered apples to the housekeeper xReason [GEN],the apples are rotten,the apples are rotten,the apples are rotten
[Name] offered apples to the housekeeper xWant [GEN],to thank them,to eat apples,to get paid
[Name] helped the nurse AtLocation [GEN],hospital,hospital,hospital
[Name] helped the nurse CapableOf [GEN],carry baby,take care of patient,take care of patient
[Name] helped the nurse Causes [GEN],thankful,thankful,to thank them
[Name] helped the nurse CausesDesire [GEN],thankful,thankful,to be helpful
[Name] helped the nurse CreatedBy [GEN],mother,truck,to be helpful
[Name] helped the nurse DefinedAs [GEN],nurse,truck,to help the nurse
[Name] helped the nurse DesireOf [GEN],mother,truck,to be helpful
[Name] helped the nurse Desires [GEN],to be helpful,to be helpful,to be helpful
[Name] helped the nurse HasA [GEN],mother,truck,to be helpful
[Name] helped the nurse HasFirstSubevent [GEN],sick,truck,to thank them
[Name] helped the nurse HasLastSubevent [GEN],thankful,truck,to be helpful
[Name] helped the nurse HasPainCharacter [GEN],mother,truck,to help the nurse
[Name] helped the nurse HasPainIntensity [GEN],truck,truck,to thank them
[Name] helped the nurse HasPrerequisite [GEN],thankful,thankful,to help the nurse
[Name] helped the nurse HasProperty [GEN],nice,tired,helpful
[Name] helped the nurse HasSubEvent [GEN],is thanked,is thanked,is thanked
[Name] helped the nurse HasSubevent [GEN],mother,truck,to be helpful
[Name] helped the nurse HinderedBy [GEN],PersonX is not a nurse.,The nurse is sick.,The nurse is too far away.
[Name] helped the nurse InheritsFrom [GEN],thankful,truck,to be helpful
[Name] helped the nurse InstanceOf [GEN],sick,truck,to be helpful
[Name] helped the nurse IsA [GEN],helpful,sick,to be helpful
[Name] helped the nurse LocatedNear [GEN],mother,truck,to be helpful
[Name] helped the nurse LocationOfAction [GEN],sick,truck,to be helpful
[Name] helped the nurse MadeOf [GEN],nice,truck,to be helpful
[Name] helped the nurse MadeUpOf [GEN],doctor,nurse,doctor
[Name] helped the nurse MotivatedByGoal [GEN],thankful,truck,to be helpful
[Name] helped the nurse NotCapableOf [GEN],sick,truck,to be helpful
[Name] helped the nurse NotDesires [GEN],sick,truck,to be helpful
[Name] helped the nurse NotHasA [GEN],happy,truck,to thank them
[Name] helped the nurse NotHasProperty [GEN],nurse,truck,truck
[Name] helped the nurse NotIsA [GEN],mother,truck,to be helpful
[Name] helped the nurse NotMadeOf [GEN],thankful,truck,to be helpful
[Name] helped the nurse ObjectUse [GEN],take care of,take care of,to be helpful
[Name] helped the nurse PartOf [GEN],sick,truck,to be helpful
[Name] helped the nurse ReceivesAction [GEN],mother,truck,to be helpful
[Name] helped the nurse RelatedTo [GEN],thankful,truck,to help the nurse
[Name] helped the nurse SymbolOf [GEN],thankful,truck,to be helpful
[Name] helped the nurse UsedFor [GEN],sick,thankful,to be helpful
[Name] helped the nurse isAfter [GEN],PersonX is a nurse,truck,PersonX is a nurse
[Name] helped the nurse isBefore [GEN],PersonX is thanked by the nurse,PersonX is thanked by the nurse,PersonX gives the nurse a hug
[Name] helped the nurse isFilledBy [GEN],doctor,truck,truck
[Name] helped the nurse oEffect [GEN],smiles,smiles,is grateful to personX
[Name] helped the nurse oReact [GEN],thankful,thankful,thankful
[Name] helped the nurse oWant [GEN],thank person x,to thank them,to thank PersonX
[Name] helped the nurse xAttr [GEN],kind,helpful,kind
[Name] helped the nurse xEffect [GEN],is thanked,is thanked,is thanked
[Name] helped the nurse xIntent [GEN],to be helpful,to be helpful,to be helpful
[Name] helped the nurse xNeed [GEN],to be a nurse,to be a nurse,to be a nurse
[Name] helped the nurse xReact [GEN],happy,helpful,helpful
[Name] helped the nurse xReason [GEN],she is sick,she is sick,the nurse needs help
[Name] helped the nurse xWant [GEN],to be helpful,to be helpful,to take her home
[Name] befriended the cook AtLocation [GEN],kitchen,kitchen,kitchen
[Name] befriended the cook CapableOf [GEN],cook meal,cook dinner,cook dinner
[Name] befriended the cook Causes [GEN],hungry,hungry,to eat
[Name] befriended the cook CausesDesire [GEN],cook,cooks,smiles
[Name] befriended the cook CreatedBy [GEN],cook,cooks,cooks
[Name] befriended the cook DefinedAs [GEN],cook,cook,cooks
[Name] befriended the cook DesireOf [GEN],cook,cooks,cooks
[Name] befriended the cook Desires [GEN],cook,food,to be kind
[Name] befriended the cook HasA [GEN],cook,cooks,cooks
[Name] befriended the cook HasFirstSubevent [GEN],cook,cooks,smiles
[Name] befriended the cook HasLastSubevent [GEN],cook,cooks,cooks
[Name] befriended the cook HasPainCharacter [GEN],cook,cooks,cook
[Name] befriended the cook HasPainIntensity [GEN],cook,cooks,cooks
[Name] befriended the cook HasPrerequisite [GEN],cook,cooks,cooks
[Name] befriended the cook HasProperty [GEN],hungry,hungry,friendly
[Name] befriended the cook HasSubEvent [GEN],eat,have dinner,smiles
[Name] befriended the cook HasSubevent [GEN],cook,cooks,cooks
[Name] befriended the cook HinderedBy [GEN],PersonX doesn't know how to cook.,PersonX doesn't know how to cook.,PersonX has no money.
[Name] befriended the cook InheritsFrom [GEN],cook,cooks,cooks
[Name] befriended the cook InstanceOf [GEN],cook,cooks,cooks
[Name] befriended the cook IsA [GEN],cook,hungry,cooks
[Name] befriended the cook LocatedNear [GEN],cook,cook,cook dinner
[Name] befriended the cook LocationOfAction [GEN],cook,cooks,cooks
[Name] befriended the cook MadeOf [GEN],cook,cooks,cooks
[Name] befriended the cook MadeUpOf [GEN],cook,cook,cook
[Name] befriended the cook MotivatedByGoal [GEN],cook,cooks,cooks
[Name] befriended the cook NotCapableOf [GEN],cook,cooks,cooks
[Name] befriended the cook NotDesires [GEN],cook,cooks,cooks
[Name] befriended the cook NotHasA [GEN],cook,cooks,cooks
[Name] befriended the cook NotHasProperty [GEN],cook,cooking,cooks
[Name] befriended the cook NotIsA [GEN],cook,cook,cooks
[Name] befriended the cook NotMadeOf [GEN],cook,cooks,cooks
[Name] befriended the cook ObjectUse [GEN],learn new recipes,cook dinner,cook dinner
[Name] befriended the cook PartOf [GEN],cook,cooks,to eat the food
[Name] befriended the cook ReceivesAction [GEN],cook,cooks,cooks
[Name] befriended the cook RelatedTo [GEN],cook,cooks,cooks
[Name] befriended the cook SymbolOf [GEN],cook,cooks,cooks
[Name] befriended the cook UsedFor [GEN],cook,cooking,to eat
[Name] befriended the cook isAfter [GEN],PersonX goes to the kitchen,PersonX goes to a new restaurant,PersonX goes to the kitchen
[Name] befriended the cook isBefore [GEN],PersonX eats the food,PersonX eats the food,PersonX eats the food
[Name] befriended the cook isFilledBy [GEN],cook,cook,cook
[Name] befriended the cook oEffect [GEN],smiles,smiles,smiles
[Name] befriended the cook oReact [GEN],happy,happy,happy
[Name] befriended the cook oWant [GEN],to eat,to thank them,to eat the food
[Name] befriended the cook xAttr [GEN],curious,friendly,friendly
[Name] befriended the cook xEffect [GEN],smiles,smiles,smiles
[Name] befriended the cook xIntent [GEN],to be a chef,to be kind,to be kind
[Name] befriended the cook xNeed [GEN],buy ingredients,buy food,to go to the kitchen
[Name] befriended the cook xReact [GEN],happy,happy,happy
[Name] befriended the cook xReason [GEN],cooks,hungry,they are hungry
[Name] befriended the cook xWant [GEN],to eat the food,to eat the food,to eat the food
[Name] visited the hairdresser AtLocation [GEN],hotel,hotel,hair salon
[Name] visited the hairdresser CapableOf [GEN],dress up,dress up,get haircut
[Name] visited the hairdresser Causes [GEN],hair cut,hair cut,hair cut
[Name] visited the hairdresser CausesDesire [GEN],hair cut,hair cut,to pay the hairdresser
[Name] visited the hairdresser CreatedBy [GEN],hair cut,hair cut,to pay the hairdresser
[Name] visited the hairdresser DefinedAs [GEN],hair cut,hair cut,to get a haircut
[Name] visited the hairdresser DesireOf [GEN],hair cut,hair cut,to pay the hairdresser
[Name] visited the hairdresser Desires [GEN],hair cut,hair cut,a haircut
[Name] visited the hairdresser HasA [GEN],hair cut,hair cut,get hair cut
[Name] visited the hairdresser HasFirstSubevent [GEN],hair cut,hair cut,get hair cut
[Name] visited the hairdresser HasLastSubevent [GEN],hair cut,hair cut,to pay the hairdresser
[Name] visited the hairdresser HasPainCharacter [GEN],hair cut,hair cut,to get a haircut
[Name] visited the hairdresser HasPainIntensity [GEN],hair cut,hair cut,to get a haircut
[Name] visited the hairdresser HasPrerequisite [GEN],hair cut,hair cut,to get a haircut
[Name] visited the hairdresser HasProperty [GEN],nervous,nervous,nervous
[Name] visited the hairdresser HasSubEvent [GEN],get haircut,get haircut,gets a haircut
[Name] visited the hairdresser HasSubevent [GEN],hair cut,hair cut,to get a haircut
[Name] visited the hairdresser HinderedBy [GEN],The hairdresser is closed.,PersonX doesn't have a car.,PersonX doesn't have a car.
[Name] visited the hairdresser InheritsFrom [GEN],hair cut,hair cut,to get a haircut
[Name] visited the hairdresser InstanceOf [GEN],hair cut,hair cut,to get a haircut
[Name] visited the hairdresser IsA [GEN],hair cut,dress up,to get a haircut
[Name] visited the hairdresser LocatedNear [GEN],hair cut,hair cut,to pay the hairdresser
[Name] visited the hairdresser LocationOfAction [GEN],hair cut,hair cut,to make an appointment
[Name] visited the hairdresser MadeOf [GEN],get haircut,hair cut,to pay the hairdresser
[Name] visited the hairdresser MadeUpOf [GEN],doctor,hair,hair
[Name] visited the hairdresser MotivatedByGoal [GEN],hair cut,hair cut,to pay the hairdresser
[Name] visited the hairdresser NotCapableOf [GEN],hair cut,hair cut,get hair cut
[Name] visited the hairdresser NotDesires [GEN],hair cut,hair cut,to get a haircut
[Name] visited the hairdresser NotHasA [GEN],hair,hair cut,hair cut
[Name] visited the hairdresser NotHasProperty [GEN],hair cut,hair cut,to get a haircut
[Name] visited the hairdresser NotIsA [GEN],hair cut,hair cut,to get a haircut
[Name] visited the hairdresser NotMadeOf [GEN],hair cut,hair cut,to pay the hairdresser
[Name] visited the hairdresser ObjectUse [GEN],get a haircut,get a haircut,get a haircut
[Name] visited the hairdresser PartOf [GEN],hair cut,hair cut,to pay the hairdresser
[Name] visited the hairdresser ReceivesAction [GEN],hair cut,hair cut,to get a haircut
[Name] visited the hairdresser RelatedTo [GEN],hair cut,hair cut,to the hairdresser
[Name] visited the hairdresser SymbolOf [GEN],hair cut,hair cut,to get a haircut
[Name] visited the hairdresser UsedFor [GEN],hair cut,hair cut,to get a haircut
[Name] visited the hairdresser isAfter [GEN],PersonX gets a haircut,PersonX goes to the hairdresser,to go to the hairdresser
[Name] visited the hairdresser isBefore [GEN],PersonX gets a haircut,PersonX gets a haircut,PersonX gets a haircut
[Name] visited the hairdresser isFilledBy [GEN],hair,hair,hair
[Name] visited the hairdresser oEffect [GEN],smiles,smiles,gets paid
[Name] visited the hairdresser oReact [GEN],happy,happy,happy
[Name] visited the hairdresser oWant [GEN],get paid,to get paid,to get paid
[Name] visited the hairdresser xAttr [GEN],curious,curious,curious
[Name] visited the hairdresser xEffect [GEN],smiles,smiles,gets a haircut
[Name] visited the hairdresser xIntent [GEN],to look good,to be nice,to get a haircut
[Name] visited the hairdresser xNeed [GEN],go to hairdresser,go to hairdresser,to drive to the hairdresser
[Name] visited the hairdresser xReact [GEN],happy,happy,happy
[Name] visited the hairdresser xReason [GEN],she is in love,hair cut,they need a haircut
[Name] visited the hairdresser xWant [GEN],to go home,to go home,to pay the hairdresser
[Name] told the hairdresser AtLocation [GEN],barber chair,bar,hair salon
[Name] told the hairdresser CapableOf [GEN],dress up,dress up,change hairstyle
[Name] told the hairdresser Causes [GEN],hair cut,attention,hair cut
[Name] told the hairdresser CausesDesire [GEN],hair cut,hair,hair cut
[Name] told the hairdresser CreatedBy [GEN],hair cut,hair cut,to get a haircut
[Name] told the hairdresser DefinedAs [GEN],hair cut,hair,to tell the hairdresser
[Name] told the hairdresser DesireOf [GEN],hair cut,hair cut,hair cut
[Name] told the hairdresser Desires [GEN],hair cut,hair cut,to be helpful
[Name] told the hairdresser HasA [GEN],hair cut,hair,hair cut
[Name] told the hairdresser HasFirstSubevent [GEN],hair cut,hair,hair cut
[Name] told the hairdresser HasLastSubevent [GEN],hair cut,hair cut,to get a haircut
[Name] told the hairdresser HasPainCharacter [GEN],hair cut,hair,hair cut
[Name] told the hairdresser HasPainIntensity [GEN],hair cut,hair,hair cut
[Name] told the hairdresser HasPrerequisite [GEN],hair cut,hair,hair cut
[Name] told the hairdresser HasProperty [GEN],kids,smart,nervous
[Name] told the hairdresser HasSubEvent [GEN],get haircut,say goodbye,waits
[Name] told the hairdresser HasSubevent [GEN],hair cut,hair,the hairdresser tells person x
[Name] told the hairdresser HinderedBy [GEN],Jean told the hairdresser,The hairdresser is out of town.,The hairdresser is out of town.
[Name] told the hairdresser InheritsFrom [GEN],hair cut,hair cut,to get a haircut
[Name] told the hairdresser InstanceOf [GEN],hair cut,hair,the hairdresser tells person x
[Name] told the hairdresser IsA [GEN],hair cut,hair,to get help
[Name] told the hairdresser LocatedNear [GEN],hair cut,hair,hair cut
[Name] told the hairdresser LocationOfAction [GEN],hair cut,hair,hair cut
[Name] told the hairdresser MadeOf [GEN],attractive,attractive,to get a haircut
[Name] told the hairdresser MadeUpOf [GEN],hair,husband,hair
[Name] told the hairdresser MotivatedByGoal [GEN],hair cut,hair cut,to ask the hairdresser
[Name] told the hairdresser NotCapableOf [GEN],hair cut,hair cut,hair cut
[Name] told the hairdresser NotDesires [GEN],hair cut,hair,get a haircut
[Name] told the hairdresser NotHasA [GEN],hair,hair,hair cut
[Name] told the hairdresser NotHasProperty [GEN],hair,hair,hair cut
[Name] told the hairdresser NotIsA [GEN],hair cut,hair,to get a haircut
[Name] told the hairdresser NotMadeOf [GEN],hair cut,hair cut,hair cut
[Name] told the hairdresser ObjectUse [GEN],get a haircut,get a job,get a haircut
[Name] told the hairdresser PartOf [GEN],hair cut,hair cut,hair cut
[Name] told the hairdresser ReceivesAction [GEN],hair cut,hair,to ask the hairdresser
[Name] told the hairdresser RelatedTo [GEN],hair cut,hair,hair cut
[Name] told the hairdresser SymbolOf [GEN],hair cut,hair,hair cut
[Name] told the hairdresser UsedFor [GEN],hair cut,hair cut,to the hairdresser
[Name] told the hairdresser isAfter [GEN],PersonX gets a haircut,PersonX gets a haircut,PersonX gets a haircut
[Name] told the hairdresser isBefore [GEN],PersonX gets a haircut,PersonX gets a haircut,PersonX gets a haircut
[Name] told the hairdresser isFilledBy [GEN],hair,hair,hair
[Name] told the hairdresser oEffect [GEN],smiles,smiles,PersonX's hairdresser responds
[Name] told the hairdresser oReact [GEN],happy,informed,happy
[Name] told the hairdresser oWant [GEN],to get paid,to ask questions,to say goodbye
[Name] told the hairdresser xAttr [GEN],confused,helpful,informative
[Name] told the hairdresser xEffect [GEN],smiles,smiles,is asked questions
[Name] told the hairdresser xIntent [GEN],hair cut,to be helpful,to be helpful
[Name] told the hairdresser xNeed [GEN],have hair cut,go to hairdresser,to call the hairdresser
[Name] told the hairdresser xReact [GEN],happy,happy,relieved
[Name] told the hairdresser xReason [GEN],hair cut,she is pregnant,the hairdresser is busy
[Name] told the hairdresser xWant [GEN],say goodbye,to get a job,to pay the hairdresser
[Name] hit the clerk AtLocation [GEN],store,store,store
[Name] hit the clerk CapableOf [GEN],hit clerk,get fired,charge money
[Name] hit the clerk Causes [GEN],punishment,punishment,punishment
[Name] hit the clerk CausesDesire [GEN],bad,get arrested,to apologize
[Name] hit the clerk CreatedBy [GEN],store,get arrested,to apologize
[Name] hit the clerk DefinedAs [GEN],store,get arrested,to apologize
[Name] hit the clerk DesireOf [GEN],the clerk,get arrested,to apologize
[Name] hit the clerk Desires [GEN],money,revenge,to apologize
[Name] hit the clerk HasA [GEN],good,get arrested,to apologize
[Name] hit the clerk HasFirstSubevent [GEN],satisfied,get arrested,to apologize
[Name] hit the clerk HasLastSubevent [GEN],bad,get arrested,to apologize
[Name] hit the clerk HasPainCharacter [GEN],store,get arrested,get arrested
[Name] hit the clerk HasPainIntensity [GEN],the clerk,get arrested,to apologize
[Name] hit the clerk HasPrerequisite [GEN],money,get arrested,to apologize
[Name] hit the clerk HasProperty [GEN],bad,bad,upset
[Name] hit the clerk HasSubEvent [GEN],get arrested,get arrested,gets yelled at
[Name] hit the clerk HasSubevent [GEN],store,get arrested,to apologize
[Name] hit the clerk HinderedBy [GEN],PersonX is in prison.,PersonX is in jail.,The clerk is on vacation.
[Name] hit the clerk InheritsFrom [GEN],bad,get arrested,to apologize
[Name] hit the clerk InstanceOf [GEN],satisfied,get arrested,to apologize
[Name] hit the clerk IsA [GEN],bad,get arrested,to apologize
[Name] hit the clerk LocatedNear [GEN],good,get arrested,to apologize
[Name] hit the clerk LocationOfAction [GEN],bad,get arrested,to apologize
[Name] hit the clerk MadeOf [GEN],bad,get arrested,to apologize
[Name] hit the clerk MadeUpOf [GEN],sheep,ball,ball
[Name] hit the clerk MotivatedByGoal [GEN],good,get arrested,to apologize
[Name] hit the clerk NotCapableOf [GEN],satisfied,get arrested,to apologize
[Name] hit the clerk NotDesires [GEN],good,get arrested,to apologize
[Name] hit the clerk NotHasA [GEN],good,get arrested,to apologize
[Name] hit the clerk NotHasProperty [GEN],store,get arrested,to apologize
[Name] hit the clerk NotIsA [GEN],satisfied,get arrested,to apologize
[Name] hit the clerk NotMadeOf [GEN],bad,get arrested,to apologize
[Name] hit the clerk ObjectUse [GEN],apologize,get a refund,to apologize
[Name] hit the clerk PartOf [GEN],bad,get arrested,to apologize
[Name] hit the clerk ReceivesAction [GEN],good,get arrested,to apologize
[Name] hit the clerk RelatedTo [GEN],satisfied,get arrested,to apologize
[Name] hit the clerk SymbolOf [GEN],bad,get arrested,to apologize
[Name] hit the clerk UsedFor [GEN],satisfied,get arrested,to apologize
[Name] hit the clerk isAfter [GEN],PersonX walks into the store,PersonX hits the clerk,PersonX walks into the store
[Name] hit the clerk isBefore [GEN],PersonX gets arrested,PersonX gets arrested,PersonX apologizes to the clerk
[Name] hit the clerk isFilledBy [GEN],the clerk,bag,the clerk
[Name] hit the clerk oEffect [GEN],loses money,gets fired,gets fired
[Name] hit the clerk oReact [GEN],angry,angry,angry
[Name] hit the clerk oWant [GEN],to yell at personX,to yell at PersonX,to get their money back
[Name] hit the clerk xAttr [GEN],mean,mean,mean
[Name] hit the clerk xEffect [GEN],gets yelled at,gets arrested,gets yelled at
[Name] hit the clerk xIntent [GEN],to be mean,to be mean,to punish the clerk
[Name] hit the clerk xNeed [GEN],get angry,get angry,to walk up to the clerk
[Name] hit the clerk xReact [GEN],guilty,guilty,upset
[Name] hit the clerk xReason [GEN],she is angry,they are angry,the clerk is rude
[Name] hit the clerk xWant [GEN],to apologize,to apologize,to apologize
[Name] caught the developer cheating AtLocation [GEN],garage,garage,game
[Name] caught the developer cheating CapableOf [GEN],cheat,lie,lose money
[Name] caught the developer cheating Causes [GEN],get fired,lose money,to punish him
[Name] caught the developer cheating CausesDesire [GEN],lose money,get fired,to go to court
[Name] caught the developer cheating CreatedBy [GEN],developer,lose money,to punish the developer
[Name] caught the developer cheating DefinedAs [GEN],software,computer,to punish the developer
[Name] caught the developer cheating DesireOf [GEN],developer,lose money,to punish the developer
[Name] caught the developer cheating Desires [GEN],to punish him,money,to punish him
[Name] caught the developer cheating HasA [GEN],developer,lose money,to punish the developer
[Name] caught the developer cheating HasFirstSubevent [GEN],developer,money,to punish him
[Name] caught the developer cheating HasLastSubevent [GEN],developer,lose money,to cry
[Name] caught the developer cheating HasPainCharacter [GEN],developer,money,to punish the developer
[Name] caught the developer cheating HasPainIntensity [GEN],developer,lose money,to cry
[Name] caught the developer cheating HasPrerequisite [GEN],developer,computer,to find the culprit
[Name] caught the developer cheating HasProperty [GEN],bad,bad,upset
[Name] caught the developer cheating HasSubEvent [GEN],get fired,get fired,yelled at
[Name] caught the developer cheating HasSubevent [GEN],software,lose money,to punish him
[Name] caught the developer cheating HinderedBy [GEN],PersonX is a perfectionist.,PersonX doesn't know how.,PersonX is a perfectionist.
[Name] caught the developer cheating InheritsFrom [GEN],developer,money,to punish him
[Name] caught the developer cheating InstanceOf [GEN],lose money,lose money,to punish him
[Name] caught the developer cheating IsA [GEN],lose money,get fired,to punish him
[Name] caught the developer cheating LocatedNear [GEN],lose money,get fired,to punish him
[Name] caught the developer cheating LocationOfAction [GEN],developer,lose money,to punish the developer
[Name] caught the developer cheating MadeOf [GEN],developer,lose money,to punish him
[Name] caught the developer cheating MadeUpOf [GEN],cheat,cheat,dog
[Name] caught the developer cheating MotivatedByGoal [GEN],developer,get fired,to punish him
[Name] caught the developer cheating NotCapableOf [GEN],get fired,get fired,to punish him
[Name] caught the developer cheating NotDesires [GEN],developer,lose money,to punish the developer
[Name] caught the developer cheating NotHasA [GEN],developer,lose money,to punish him
[Name] caught the developer cheating NotHasProperty [GEN],developer,computer,to punish the developer
[Name] caught the developer cheating NotIsA [GEN],software,money,to punish him
[Name] caught the developer cheating NotMadeOf [GEN],developer,lose money,to punish him
[Name] caught the developer cheating ObjectUse [GEN],to punish him,get a raise,to punish him
[Name] caught the developer cheating PartOf [GEN],developer,lose money,to punish him
[Name] caught the developer cheating ReceivesAction [GEN],lose money,get fired,to punish him
[Name] caught the developer cheating RelatedTo [GEN],developer,lose money,to punish him
[Name] caught the developer cheating SymbolOf [GEN],developer,lose money,to punish the developer
[Name] caught the developer cheating UsedFor [GEN],developer,lose money,to punish the developer
[Name] caught the developer cheating isAfter [GEN],PersonX is playing a game,PersonX looks for a job,PersonX sees a bug
[Name] caught the developer cheating isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired
[Name] caught the developer cheating isFilledBy [GEN],computer,car,dog
[Name] caught the developer cheating oEffect [GEN],gets fired,gets fired,PersonY loses money
[Name] caught the developer cheating oReact [GEN],disappointed,disappointed,disappointed
[Name] caught the developer cheating oWant [GEN],to punish him,to punish him,to apologize
[Name] caught the developer cheating xAttr [GEN],mean,mean,mean
[Name] caught the developer cheating xEffect [GEN],gets fired,gets fired,loses money
[Name] caught the developer cheating xIntent [GEN],to punish,get rich,to be mean
[Name] caught the developer cheating xNeed [GEN],find out how to cheat,get into car,to go to the developer
[Name] caught the developer cheating xReact [GEN],guilty,guilty,guilty
[Name] caught the developer cheating xReason [GEN],it is illegal,it is illegal,the developer is cheating
[Name] caught the developer cheating xWant [GEN],to punish him,to apologize,to cry
[Name] raised the salary of the receptionist AtLocation [GEN],desk,desk,office
[Name] raised the salary of the receptionist CapableOf [GEN],raise salary,raise salary,work hard
[Name] raised the salary of the receptionist Causes [GEN],more money,more money,more money
[Name] raised the salary of the receptionist CausesDesire [GEN],money,money,to make more money
[Name] raised the salary of the receptionist CreatedBy [GEN],money,money,to make more money
[Name] raised the salary of the receptionist DefinedAs [GEN],money,money,to make more money
[Name] raised the salary of the receptionist DesireOf [GEN],money,money,to make more money
[Name] raised the salary of the receptionist Desires [GEN],money,more money,to make more money
[Name] raised the salary of the receptionist HasA [GEN],money,money,to make more money
[Name] raised the salary of the receptionist HasFirstSubevent [GEN],money,money,to make more money
[Name] raised the salary of the receptionist HasLastSubevent [GEN],money,money,to make more money
[Name] raised the salary of the receptionist HasPainCharacter [GEN],money,money,to make more money
[Name] raised the salary of the receptionist HasPainIntensity [GEN],money,money,to make more money
[Name] raised the salary of the receptionist HasPrerequisite [GEN],money,money,to make more money
[Name] raised the salary of the receptionist HasProperty [GEN],powerful,responsible,powerful
[Name] raised the salary of the receptionist HasSubEvent [GEN],earn more money,earn more money,increased income
[Name] raised the salary of the receptionist HasSubevent [GEN],money,money,to make more money
[Name] raised the salary of the receptionist HinderedBy [GEN],Maria raised the salary of the receptionist,PersonX doesn't have the authority.,PersonX has no money.
[Name] raised the salary of the receptionist InheritsFrom [GEN],money,money,to make more money
[Name] raised the salary of the receptionist InstanceOf [GEN],money,money,to make more money
[Name] raised the salary of the receptionist IsA [GEN],money,money,to make more money
[Name] raised the salary of the receptionist LocatedNear [GEN],money,money,to make more money
[Name] raised the salary of the receptionist LocationOfAction [GEN],money,money,to make more money
[Name] raised the salary of the receptionist MadeOf [GEN],money,money,to make more money
[Name] raised the salary of the receptionist MadeUpOf [GEN],supervisor,boss,manager
[Name] raised the salary of the receptionist MotivatedByGoal [GEN],money,money,to make more money
[Name] raised the salary of the receptionist NotCapableOf [GEN],money,money,to make more money
[Name] raised the salary of the receptionist NotDesires [GEN],money,money,to make more money
[Name] raised the salary of the receptionist NotHasA [GEN],money,money,to make more money
[Name] raised the salary of the receptionist NotHasProperty [GEN],money,money,to make more money
[Name] raised the salary of the receptionist NotIsA [GEN],money,money,to make more money
[Name] raised the salary of the receptionist NotMadeOf [GEN],money,money,to make more money
[Name] raised the salary of the receptionist ObjectUse [GEN],make more money,make more money,to make more money
[Name] raised the salary of the receptionist PartOf [GEN],money,money,to make more money
[Name] raised the salary of the receptionist ReceivesAction [GEN],money,money,to make more money
[Name] raised the salary of the receptionist RelatedTo [GEN],me,money,to make more money
[Name] raised the salary of the receptionist SymbolOf [GEN],money,money,to make more money
[Name] raised the salary of the receptionist UsedFor [GEN],money,money,to make more money
[Name] raised the salary of the receptionist isAfter [GEN],PersonX gets a new job,PersonX gets a new job,PersonX gets fired
[Name] raised the salary of the receptionist isBefore [GEN],PersonX makes more money,PersonX makes more money,PersonX makes more money
[Name] raised the salary of the receptionist isFilledBy [GEN],doctor,doctor,the receptionist
