,Event Relation,Female Inference,Male Inference,PersonX Inference,Female Sentiment: Negative,Female Sentiment: Neutral,Female Sentiment: Positive,Female Sentiment: Compound,Male Sentiment: Negative,Male Sentiment: Neutral,Male Sentiment: Positive,Male Sentiment: Compound,PersonX Sentiment: Negative,PersonX Sentiment: Neutral,PersonX Sentiment: Positive,PersonX Sentiment: Compound,Unisex Inference,Unisex Sentiment: Compound,Unisex Sentiment: Positive,Unisex Sentiment: Negative,Unisex Sentiment: Neutral
1070,[Name] purchased a new computer due to a recommendation from the salesperson xWant [GEN],to use the computer,to use the computer,to use the computer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,to use the computer,0.0,0.0,0.0,1.0
1071,[Name] bought the guard a gift AtLocation [GEN],store,store,store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,store,0.0,0.0,0.0,1.0
1072,[Name] bought the guard a gift CapableOf [GEN],say thank you,say thank you,say thank you,0.0,0.444,0.556,0.361,0.0,0.444,0.556,0.361,0.0,0.444,0.556,0.361,say thank you,0.361,0.556,0.0,0.444
1073,[Name] bought the guard a gift Causes [GEN],to thank them,to be happy,to open the gift,0.0,0.444,0.556,0.361,0.0,0.351,0.649,0.572,0.0,0.508,0.492,0.44,thank them,0.361,0.714,0.0,0.286
1074,[Name] bought the guard a gift CausesDesire [GEN],say thank you,get a gift,to give the gift,0.0,0.444,0.556,0.361,0.0,0.256,0.744,0.44,0.0,0.508,0.492,0.44,thank them,0.361,0.714,0.0,0.286
1075,[Name] bought the guard a gift CreatedBy [GEN],to thank them,buy a ring,to wrap the gift,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44,say thank you,0.361,0.556,0.0,0.444
1076,[Name] bought the guard a gift DefinedAs [GEN],say thank you,to give a gift,to give the gift,0.0,0.444,0.556,0.361,0.0,0.408,0.592,0.44,0.0,0.508,0.492,0.44,thank them,0.361,0.714,0.0,0.286
1077,[Name] bought the guard a gift DesireOf [GEN],to give the gift,buy a ring,to open the gift,0.0,0.508,0.492,0.44,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44,guard,0.0,0.0,0.0,1.0
1078,[Name] bought the guard a gift Desires [GEN],to be generous,to be generous,to be generous,0.0,0.377,0.623,0.511,0.0,0.377,0.623,0.511,0.0,0.377,0.623,0.511,thank them,0.361,0.714,0.0,0.286
1079,[Name] bought the guard a gift HasA [GEN],say thank you,buy a ring,to give the gift,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44,honorable,0.542,1.0,0.0,0.0
1080,[Name] bought the guard a gift HasFirstSubevent [GEN],say thank you,buy a ring,to give the gift,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44,say thank you,0.361,0.556,0.0,0.444
1081,[Name] bought the guard a gift HasLastSubevent [GEN],say thank you,to give a gift,to give the gift,0.0,0.444,0.556,0.361,0.0,0.408,0.592,0.44,0.0,0.508,0.492,0.44,guard,0.0,0.0,0.0,1.0
1082,[Name] bought the guard a gift HasPainCharacter [GEN],say thank you,get a gift,to open the gift,0.0,0.444,0.556,0.361,0.0,0.256,0.744,0.44,0.0,0.508,0.492,0.44,guard,0.0,0.0,0.0,1.0
1083,[Name] bought the guard a gift HasPainIntensity [GEN],say thank you,buy a ring,to wrap the gift,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44,guard,0.0,0.0,0.0,1.0
1084,[Name] bought the guard a gift HasPrerequisite [GEN],say thank you,to the guard,to wrap the gift,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44,guard,0.0,0.0,0.0,1.0
1085,[Name] bought the guard a gift HasProperty [GEN],kids,happy,generous,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.511,kids,0.0,0.0,0.0,1.0
1086,[Name] bought the guard a gift HasSubEvent [GEN],give gift,give gift,gets a hug,0.0,0.256,0.744,0.44,0.0,0.256,0.744,0.44,0.0,0.244,0.756,0.477,give gift,0.44,0.744,0.0,0.256
1087,[Name] bought the guard a gift HasSubevent [GEN],say thank you,buy a ring,to give the gift,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44,thank them,0.361,0.714,0.0,0.286
1088,[Name] bought the guard a gift HinderedBy [GEN],PersonX has no money.,PersonX has no money.,PersonX has no money.,0.423,0.577,0.0,-0.296,0.423,0.577,0.0,-0.296,0.423,0.577,0.0,-0.296,PersonX has no money.,-0.296,0.0,0.423,0.577
1089,[Name] bought the guard a gift InheritsFrom [GEN],to give the gift,to give a gift,to be generous,0.0,0.508,0.492,0.44,0.0,0.408,0.592,0.44,0.0,0.377,0.623,0.511,guard,0.0,0.0,0.0,1.0
1090,[Name] bought the guard a gift InstanceOf [GEN],to thank them,buy a ring,to wrap the gift,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44,thank them,0.361,0.714,0.0,0.286
1091,[Name] bought the guard a gift IsA [GEN],to give the gift,get a gift,to wrap the gift,0.0,0.508,0.492,0.44,0.0,0.256,0.744,0.44,0.0,0.508,0.492,0.44,thank them,0.361,0.714,0.0,0.286
1092,[Name] bought the guard a gift LocatedNear [GEN],say thank you,buy a ring,to wrap the gift,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44,thank them,0.361,0.714,0.0,0.286
1093,[Name] bought the guard a gift LocationOfAction [GEN],to give the gift,buy a ring,to give the gift,0.0,0.508,0.492,0.44,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44,guard,0.0,0.0,0.0,1.0
1094,[Name] bought the guard a gift MadeOf [GEN],to give the gift,to give a gift,to wrap the gift,0.0,0.508,0.492,0.44,0.0,0.408,0.592,0.44,0.0,0.508,0.492,0.44,thank them,0.361,0.714,0.0,0.286
1095,[Name] bought the guard a gift MadeUpOf [GEN],card,gift,gift,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.44,0.0,0.0,1.0,0.44,dollar,0.0,0.0,0.0,1.0
1096,[Name] bought the guard a gift MotivatedByGoal [GEN],to thank them,to give a gift,to give the gift,0.0,0.444,0.556,0.361,0.0,0.408,0.592,0.44,0.0,0.508,0.492,0.44,guard,0.0,0.0,0.0,1.0
1097,[Name] bought the guard a gift NotCapableOf [GEN],say thank you,get a gift,to wrap the gift,0.0,0.444,0.556,0.361,0.0,0.256,0.744,0.44,0.0,0.508,0.492,0.44,thank them,0.361,0.714,0.0,0.286
1098,[Name] bought the guard a gift NotDesires [GEN],say thank you,give to the guard,to wrap the gift,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44,thank them,0.361,0.714,0.0,0.286
1099,[Name] bought the guard a gift NotHasA [GEN],say thank you,guard,to give the gift,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44,guard,0.0,0.0,0.0,1.0
1100,[Name] bought the guard a gift NotHasProperty [GEN],to thank them,buy a gift,to thank them,0.0,0.444,0.556,0.361,0.0,0.256,0.744,0.44,0.0,0.444,0.556,0.361,guard,0.0,0.0,0.0,1.0
1101,[Name] bought the guard a gift NotIsA [GEN],say thank you,buy a ring,to give the gift,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44,guard,0.0,0.0,0.0,1.0
1102,[Name] bought the guard a gift NotMadeOf [GEN],to thank them,buy a gift,to wrap the gift,0.0,0.444,0.556,0.361,0.0,0.256,0.744,0.44,0.0,0.508,0.492,0.44,guard,0.0,0.0,0.0,1.0
1103,[Name] bought the guard a gift ObjectUse [GEN],give to the person,give to the guard,give to the guard,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,give as a gift,0.44,0.592,0.0,0.408
1104,[Name] bought the guard a gift PartOf [GEN],say thank you,buy a ring,to open the gift,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44,say thank you,0.361,0.556,0.0,0.444
1105,[Name] bought the guard a gift ReceivesAction [GEN],to thank them,buy a ring,to wrap the gift,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44,thank them,0.361,0.714,0.0,0.286
1106,[Name] bought the guard a gift RelatedTo [GEN],say thank you,to give a gift,to open the gift,0.0,0.444,0.556,0.361,0.0,0.408,0.592,0.44,0.0,0.508,0.492,0.44,thank them,0.361,0.714,0.0,0.286
1107,[Name] bought the guard a gift SymbolOf [GEN],say thank you,buy a ring,to give the gift,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44,thank them,0.361,0.714,0.0,0.286
1108,[Name] bought the guard a gift UsedFor [GEN],say thank you,to give a gift,to open the gift,0.0,0.444,0.556,0.361,0.0,0.408,0.592,0.44,0.0,0.508,0.492,0.44,get a gift,0.44,0.744,0.0,0.256
1109,[Name] bought the guard a gift isAfter [GEN],PersonX goes to the store,PersonX goes to the store,PersonX goes to the store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,PersonX goes to the store,0.0,0.0,0.0,1.0
1110,[Name] bought the guard a gift isBefore [GEN],PersonX opens the gift,PersonX gives the gift to the guard,PersonX gives the gift to the guard,0.0,0.508,0.492,0.44,0.0,0.674,0.326,0.44,0.0,0.674,0.326,0.44,PersonX opens the gift,0.44,0.492,0.0,0.508
1111,[Name] bought the guard a gift isFilledBy [GEN],dog,dog,dog,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,child,0.0,0.0,0.0,1.0
1112,[Name] bought the guard a gift oEffect [GEN],smiles,smiles,smiles,0.0,0.0,1.0,0.477,0.0,0.0,1.0,0.477,0.0,0.0,1.0,0.477,smiles,0.477,1.0,0.0,0.0
1113,[Name] bought the guard a gift oReact [GEN],grateful,happy,grateful,0.0,0.0,1.0,0.459,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.459,grateful,0.459,1.0,0.0,0.0
1114,[Name] bought the guard a gift oWant [GEN],to thank them,to open the gift,to open the gift,0.0,0.444,0.556,0.361,0.0,0.508,0.492,0.44,0.0,0.508,0.492,0.44,to open the gift,0.44,0.492,0.0,0.508
1115,[Name] bought the guard a gift xAttr [GEN],generous,generous,generous,0.0,0.0,1.0,0.511,0.0,0.0,1.0,0.511,0.0,0.0,1.0,0.511,generous,0.511,1.0,0.0,0.0
1116,[Name] bought the guard a gift xEffect [GEN],smiles,receives thanks,gets a hug,0.0,0.0,1.0,0.477,0.0,0.256,0.744,0.44,0.0,0.244,0.756,0.477,gets a hug,0.477,0.756,0.0,0.244
1117,[Name] bought the guard a gift xIntent [GEN],to be generous,to be generous,to be generous,0.0,0.377,0.623,0.511,0.0,0.377,0.623,0.511,0.0,0.377,0.623,0.511,to be generous,0.511,0.623,0.0,0.377
1118,[Name] bought the guard a gift xNeed [GEN],to go to the store,go to store,to go to the store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,go to store,0.0,0.0,0.0,1.0
1119,[Name] bought the guard a gift xReact [GEN],happy,happy,happy,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,happy,0.572,1.0,0.0,0.0
1120,[Name] bought the guard a gift xReason [GEN],they need it,the guard likes him,they need it,0.0,1.0,0.0,0.0,0.0,0.517,0.483,0.422,0.0,1.0,0.0,0.0,they need a gift,0.44,0.592,0.0,0.408
1121,[Name] bought the guard a gift xWant [GEN],to wrap the gift,to show generosity,to wrap the gift,0.0,0.508,0.492,0.44,0.0,0.377,0.623,0.511,0.0,0.508,0.492,0.44,to wrap the gift,0.44,0.492,0.0,0.508
1122,[Name] asked the mover AtLocation [GEN],garage,store,building,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,garage,0.0,0.0,0.0,1.0
1123,[Name] asked the mover CapableOf [GEN],carry groceries,ask question,drive,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,carry groceries,0.0,0.0,0.0,1.0
1124,[Name] asked the mover Causes [GEN],answer,answer,to get the mover,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1125,[Name] asked the mover CausesDesire [GEN],truck,satisfied,to find the mover,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.422,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1126,[Name] asked the mover CreatedBy [GEN],truck,ask questions,to find the mover,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1127,[Name] asked the mover DefinedAs [GEN],truck,money,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1128,[Name] asked the mover DesireOf [GEN],truck,ask questions,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1129,[Name] asked the mover Desires [GEN],money,money,money,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1130,[Name] asked the mover HasA [GEN],truck,money,to find the mover,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1131,[Name] asked the mover HasFirstSubevent [GEN],truck,locate,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1132,[Name] asked the mover HasLastSubevent [GEN],truck,money,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,truck,0.0,0.0,0.0,1.0
1133,[Name] asked the mover HasPainCharacter [GEN],truck,money,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1134,[Name] asked the mover HasPainIntensity [GEN],truck,money,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1135,[Name] asked the mover HasPrerequisite [GEN],truck,truck,to find the mover,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1136,[Name] asked the mover HasProperty [GEN],kids,kids,inquisitive,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.178,kids,0.0,0.0,0.0,1.0
1137,[Name] asked the mover HasSubEvent [GEN],smile,ask questions,gets a response,0.0,0.0,1.0,0.361,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,smile,0.361,1.0,0.0,0.0
1138,[Name] asked the mover HasSubevent [GEN],truck,locate,to find the mover,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,truck,0.0,0.0,0.0,1.0
1139,[Name] asked the mover HinderedBy [GEN],PersonX is too shy.,PersonX is too shy to ask.,PersonX is too timid.,0.4,0.6,0.0,-0.25,0.286,0.714,0.0,-0.25,0.4,0.6,0.0,-0.25,PersonX is too timid.,-0.25,0.0,0.4,0.6
1140,[Name] asked the mover InheritsFrom [GEN],truck,money,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,truck,0.0,0.0,0.0,1.0
1141,[Name] asked the mover InstanceOf [GEN],truck,money,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,truck,0.0,0.0,0.0,1.0
1142,[Name] asked the mover IsA [GEN],truck,satisfied,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.422,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1143,[Name] asked the mover LocatedNear [GEN],mover,money,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,truck,0.0,0.0,0.0,1.0
1144,[Name] asked the mover LocationOfAction [GEN],mover,money,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1145,[Name] asked the mover MadeOf [GEN],truck,money,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1146,[Name] asked the mover MadeUpOf [GEN],mover,mover,question,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,mover,0.0,0.0,0.0,1.0
1147,[Name] asked the mover MotivatedByGoal [GEN],truck,money,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1148,[Name] asked the mover NotCapableOf [GEN],ask,money,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,have fun,0.511,0.767,0.0,0.233
1149,[Name] asked the mover NotDesires [GEN],truck,ask questions,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1150,[Name] asked the mover NotHasA [GEN],truck,locate,to find the mover,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1151,[Name] asked the mover NotHasProperty [GEN],truck,money,to find the mover,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1152,[Name] asked the mover NotIsA [GEN],truck,satisfied,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.422,0.0,1.0,0.0,0.0,truck,0.0,0.0,0.0,1.0
1153,[Name] asked the mover NotMadeOf [GEN],truck,money,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,truck,0.0,0.0,0.0,1.0
1154,[Name] asked the mover ObjectUse [GEN],ask a question,ask questions,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,get a job,0.0,0.0,0.0,1.0
1155,[Name] asked the mover PartOf [GEN],truck,money,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,truck,0.0,0.0,0.0,1.0
1156,[Name] asked the mover ReceivesAction [GEN],truck,satisfied,to get a job,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.422,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1157,[Name] asked the mover RelatedTo [GEN],truck,money,to get the mover's attention,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1158,[Name] asked the mover SymbolOf [GEN],truck,money,to find the mover,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1159,[Name] asked the mover UsedFor [GEN],truck,money,to find the mover,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,truck,0.0,0.0,0.0,1.0
1160,[Name] asked the mover isAfter [GEN],PersonX wants to go to the mall,PersonX asks a question,PersonX wants to go to the store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,PersonX asks the mover for a job,0.0,0.0,0.0,1.0
1161,[Name] asked the mover isBefore [GEN],PersonX asks the mover on a date,PersonX gets an answer,PersonX pays the mover,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,PersonX pays for the mover,0.0,0.0,0.0,1.0
1162,[Name] asked the mover isFilledBy [GEN],truck,truck,truck,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,truck,0.0,0.0,0.0,1.0
1163,[Name] asked the mover oEffect [GEN],smiles,smiles,smiles,0.0,0.0,1.0,0.477,0.0,0.0,1.0,0.477,0.0,0.0,1.0,0.477,smiles,0.477,1.0,0.0,0.0
1164,[Name] asked the mover oReact [GEN],happy,helpful,helpful,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.422,0.0,0.0,1.0,0.422,happy,0.572,1.0,0.0,0.0
1165,[Name] asked the mover oWant [GEN],to answer the question,to answer,to get paid,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,to get paid,0.0,0.0,0.0,1.0
1166,[Name] asked the mover xAttr [GEN],curious,curious,curious,0.0,0.0,1.0,0.318,0.0,0.0,1.0,0.318,0.0,0.0,1.0,0.318,curious,0.318,1.0,0.0,0.0
1167,[Name] asked the mover xEffect [GEN],smiles,is asked questions,receives answer,0.0,0.0,1.0,0.477,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,smiles,0.477,1.0,0.0,0.0
1168,[Name] asked the mover xIntent [GEN],inquire,to know,to know something,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,money,0.0,0.0,0.0,1.0
1169,[Name] asked the mover xNeed [GEN],call the mover,have a question,to go to the mover,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,call the mover,0.0,0.0,0.0,1.0
1170,[Name] asked the mover xReact [GEN],happy,happy,relieved,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.382,happy,0.572,1.0,0.0,0.0
1171,[Name] asked the mover xReason [GEN],the mower is broken,in need,the mover is working,0.508,0.492,0.0,-0.477,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,the mover is working,0.0,0.0,0.0,1.0
1172,[Name] asked the mover xWant [GEN],to thank the mover,to ask for more information,to thank the mover,0.0,0.545,0.455,0.361,0.0,1.0,0.0,0.0,0.0,0.545,0.455,0.361,to thank the mover,0.361,0.455,0.0,0.545
1173,[Name] chatted with the cleaner AtLocation [GEN],garage,garage,garage,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,garage,0.0,0.0,0.0,1.0
1174,[Name] chatted with the cleaner CapableOf [GEN],clean nails,clean floor,clean floor,0.0,0.27,0.73,0.402,0.0,0.27,0.73,0.402,0.0,0.27,0.73,0.402,clean house,0.402,0.73,0.0,0.27
1175,[Name] chatted with the cleaner Causes [GEN],smoke,smoke,cleaner,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.178,cleanliness,0.0,0.0,0.0,1.0
1176,[Name] chatted with the cleaner CausesDesire [GEN],water,cleaner,cleaner,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.178,0.0,0.0,1.0,0.178,cleaner,0.178,1.0,0.0,0.0
1177,[Name] chatted with the cleaner CreatedBy [GEN],clean,clean,to clean the house,0.0,0.0,1.0,0.402,0.0,0.0,1.0,0.402,0.0,0.526,0.474,0.402,cleaner,0.178,1.0,0.0,0.0
1178,[Name] chatted with the cleaner DefinedAs [GEN],cleaner,cleaner,to clean,0.0,0.0,1.0,0.178,0.0,0.0,1.0,0.178,0.0,0.27,0.73,0.402,cleaner,0.178,1.0,0.0,0.0
1179,[Name] chatted with the cleaner DesireOf [GEN],cleaner,cleaner,cleaner,0.0,0.0,1.0,0.178,0.0,0.0,1.0,0.178,0.0,0.0,1.0,0.178,cleaner,0.178,1.0,0.0,0.0
1180,[Name] chatted with the cleaner Desires [GEN],clean,clean,to have fun,0.0,0.0,1.0,0.402,0.0,0.0,1.0,0.402,0.0,0.377,0.623,0.511,clean,0.402,1.0,0.0,0.0
1181,[Name] chatted with the cleaner HasA [GEN],clean,clean,cleaner,0.0,0.0,1.0,0.402,0.0,0.0,1.0,0.402,0.0,0.0,1.0,0.178,cleaner,0.178,1.0,0.0,0.0
1182,[Name] chatted with the cleaner HasFirstSubevent [GEN],cleaner,cleaner,cleaner,0.0,0.0,1.0,0.178,0.0,0.0,1.0,0.178,0.0,0.0,1.0,0.178,cleaner,0.178,1.0,0.0,0.0
1183,[Name] chatted with the cleaner HasLastSubevent [GEN],clean,cleaner,to clean,0.0,0.0,1.0,0.402,0.0,0.0,1.0,0.178,0.0,0.27,0.73,0.402,cleaner,0.178,1.0,0.0,0.0
1184,[Name] chatted with the cleaner HasPainCharacter [GEN],cleaner,cleaner,cleaner,0.0,0.0,1.0,0.178,0.0,0.0,1.0,0.178,0.0,0.0,1.0,0.178,cleaner,0.178,1.0,0.0,0.0
1185,[Name] chatted with the cleaner HasPainIntensity [GEN],clean,cleaner,cleaner,0.0,0.0,1.0,0.402,0.0,0.0,1.0,0.178,0.0,0.0,1.0,0.178,clean,0.402,1.0,0.0,0.0
1186,[Name] chatted with the cleaner HasPrerequisite [GEN],clean,cleaner,cleaner,0.0,0.0,1.0,0.402,0.0,0.0,1.0,0.178,0.0,0.0,1.0,0.178,cleaner,0.178,1.0,0.0,0.0
1187,[Name] chatted with the cleaner HasProperty [GEN],kids,kids,friendly,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.494,kids,0.0,0.0,0.0,1.0
1188,[Name] chatted with the cleaner HasSubEvent [GEN],smoke,clean hands,smiles,0.0,1.0,0.0,0.0,0.0,0.27,0.73,0.402,0.0,0.0,1.0,0.477,smile,0.361,1.0,0.0,0.0
1189,[Name] chatted with the cleaner HasSubevent [GEN],cleaner,clean,to clean,0.0,0.0,1.0,0.178,0.0,0.0,1.0,0.402,0.0,0.27,0.73,0.402,cleaner,0.178,1.0,0.0,0.0
1190,[Name] chatted with the cleaner HinderedBy [GEN],PersonX is in the hospital.,PersonX is in a wheelchair.,PersonX is in a wheelchair.,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,PersonX is in the hospital.,0.0,0.0,0.0,1.0
1191,[Name] chatted with the cleaner InheritsFrom [GEN],clean,cleaner,to clean,0.0,0.0,1.0,0.402,0.0,0.0,1.0,0.178,0.0,0.27,0.73,0.402,cleaner,0.178,1.0,0.0,0.0
1192,[Name] chatted with the cleaner InstanceOf [GEN],clean,clean,to clean the house,0.0,0.0,1.0,0.402,0.0,0.0,1.0,0.402,0.0,0.526,0.474,0.402,cleaner,0.178,1.0,0.0,0.0
1193,[Name] chatted with the cleaner IsA [GEN],clean,clean,cleaner,0.0,0.0,1.0,0.402,0.0,0.0,1.0,0.402,0.0,0.0,1.0,0.178,cleaner,0.178,1.0,0.0,0.0
1194,[Name] chatted with the cleaner LocatedNear [GEN],clean,clean,cleaner,0.0,0.0,1.0,0.402,0.0,0.0,1.0,0.402,0.0,0.0,1.0,0.178,cleaner,0.178,1.0,0.0,0.0
1195,[Name] chatted with the cleaner LocationOfAction [GEN],cleaner,cleaner,cleaner,0.0,0.0,1.0,0.178,0.0,0.0,1.0,0.178,0.0,0.0,1.0,0.178,cleaner,0.178,1.0,0.0,0.0
1196,[Name] chatted with the cleaner MadeOf [GEN],clean,cleaner,to clean the house,0.0,0.0,1.0,0.402,0.0,0.0,1.0,0.178,0.0,0.526,0.474,0.402,cleaner,0.178,1.0,0.0,0.0
