Event Relation,Female Inference,Male Inference,PersonX Inference,Female-Male Similarity,Female-PersonX Similarity,Male-PersonX Similarity
[Name] handed the clerk money xReact [GEN],happy,happy,generous,1.0,0.378,0.378
[Name] handed the clerk money xReason [GEN],the clerk needs money,money,the clerk needs money,0.367,1.0,0.367
[Name] handed the clerk money xWant [GEN],to pay the clerk,to pay the clerk,to pay the clerk,1.0,1.0,1.0
[Name] examined the teacher AtLocation [GEN],school,school,school,1.0,1.0,1.0
[Name] examined the teacher CapableOf [GEN],report to teacher,question teacher,ask questions,0.594,0.15,0.496
[Name] examined the teacher Causes [GEN],learn,to learn,to ask questions,0.771,0.382,0.619
[Name] examined the teacher CausesDesire [GEN],listen to teacher,good,to ask questions,0.156,0.204,0.206
[Name] examined the teacher CreatedBy [GEN],teach,teach,to ask questions,1.0,0.358,0.358
[Name] examined the teacher DefinedAs [GEN],teach,teach,to ask questions,1.0,0.358,0.358
[Name] examined the teacher DesireOf [GEN],students,teach,to ask questions,0.494,0.359,0.358
[Name] examined the teacher Desires [GEN],to learn,to learn,to learn,1.0,1.0,1.0
[Name] examined the teacher HasA [GEN],students,teach,to ask questions,0.494,0.359,0.358
[Name] examined the teacher HasFirstSubevent [GEN],students,teach,to ask questions,0.494,0.359,0.358
[Name] examined the teacher HasLastSubevent [GEN],students,teach,to ask questions,0.494,0.359,0.358
[Name] examined the teacher HasPainCharacter [GEN],students,teach,to ask questions,0.494,0.359,0.358
[Name] examined the teacher HasPainIntensity [GEN],students,teach,to ask questions,0.494,0.359,0.358
[Name] examined the teacher HasPrerequisite [GEN],students,good,to learn,0.189,0.381,0.265
[Name] examined the teacher HasProperty [GEN],nervous,nervous,curious,1.0,0.369,0.369
[Name] examined the teacher HasSubEvent [GEN],learn,learn,learn new information,1.0,0.615,0.615
[Name] examined the teacher HasSubevent [GEN],students,teach,to ask questions,0.494,0.359,0.358
[Name] examined the teacher HinderedBy [GEN],PersonX can't find the teacher.,PersonX doesn't have the authority.,PersonX is in a wheelchair.,0.615,0.509,0.51
[Name] examined the teacher InheritsFrom [GEN],students,teach,to ask questions,0.494,0.359,0.358
[Name] examined the teacher InstanceOf [GEN],teach,good,to ask questions,0.237,0.358,0.206
[Name] examined the teacher IsA [GEN],students,teach,to ask questions,0.494,0.359,0.358
[Name] examined the teacher LocatedNear [GEN],students,teach,to ask questions,0.494,0.359,0.358
[Name] examined the teacher LocationOfAction [GEN],teach,good,to learn,0.237,0.646,0.265
[Name] examined the teacher MadeOf [GEN],students,good,to ask questions,0.189,0.359,0.206
[Name] examined the teacher MadeUpOf [GEN],student,student,student,1.0,1.0,1.0
[Name] examined the teacher MotivatedByGoal [GEN],students,good,to ask questions,0.189,0.359,0.206
[Name] examined the teacher NotCapableOf [GEN],listen to teacher,teach,to ask questions,0.62,0.204,0.358
[Name] examined the teacher NotDesires [GEN],teach,teach,to ask questions,1.0,0.358,0.358
[Name] examined the teacher NotHasA [GEN],teach,teach,to ask questions,1.0,0.358,0.358
[Name] examined the teacher NotHasProperty [GEN],students,teach,to ask questions,0.494,0.359,0.358
[Name] examined the teacher NotIsA [GEN],teach,teach,to ask questions,1.0,0.358,0.358
[Name] examined the teacher NotMadeOf [GEN],students,teach,to ask questions,0.494,0.359,0.358
[Name] examined the teacher ObjectUse [GEN],learn,get answers,ask questions,0.387,0.402,0.571
[Name] examined the teacher PartOf [GEN],students,teach,to ask questions,0.494,0.359,0.358
[Name] examined the teacher ReceivesAction [GEN],students,teach,to ask questions,0.494,0.359,0.358
[Name] examined the teacher RelatedTo [GEN],students,teach,to ask questions,0.494,0.359,0.358
[Name] examined the teacher SymbolOf [GEN],listen to teacher,good,to ask questions,0.156,0.204,0.206
[Name] examined the teacher UsedFor [GEN],nervous,good,to ask questions,0.301,0.356,0.206
[Name] examined the teacher isAfter [GEN],PersonX asks a question,school,PersonX is in class,0.091,0.697,0.255
[Name] examined the teacher isBefore [GEN],PersonX gets a good grade,PersonX gets a good grade,PersonX writes down notes,1.0,0.569,0.569
[Name] examined the teacher isFilledBy [GEN],student,student,book,1.0,0.379,0.379
[Name] examined the teacher oEffect [GEN],is asked questions,gets yelled at,is asked questions,0.155,1.0,0.155
[Name] examined the teacher oReact [GEN],interested,confused,worried,0.329,0.291,0.463
[Name] examined the teacher oWant [GEN],to ask questions,to ask questions,to ask questions,1.0,1.0,1.0
[Name] examined the teacher xAttr [GEN],curious,curious,curious,1.0,1.0,1.0
[Name] examined the teacher xEffect [GEN],learns something,is asked questions,learns something,0.176,1.0,0.176
[Name] examined the teacher xIntent [GEN],to learn,to learn,to learn,1.0,1.0,1.0
[Name] examined the teacher xNeed [GEN],to walk up to the teacher,find teacher,to walk up to the teacher,0.504,1.0,0.504
[Name] examined the teacher xReact [GEN],informed,satisfied,inquisitive,0.333,0.278,0.357
[Name] examined the teacher xReason [GEN],nervous,the teacher is bad,they are curious,0.248,0.359,0.038
[Name] examined the teacher xWant [GEN],to ask questions,to ask questions,to ask questions,1.0,1.0,1.0
[Name] declared the baker was a liar AtLocation [GEN],kitchen,church,store,0.438,0.375,0.332
[Name] declared the baker was a liar CapableOf [GEN],lie,lie,lie,1.0,1.0,1.0
[Name] declared the baker was a liar Causes [GEN],disappointed,confused,to punish him,0.434,0.152,0.195
[Name] declared the baker was a liar CausesDesire [GEN],lie,lie,to tell others,1.0,0.34,0.34
[Name] declared the baker was a liar CreatedBy [GEN],lie,lie,to tell others,1.0,0.34,0.34
[Name] declared the baker was a liar DefinedAs [GEN],lie,lie,to tell others,1.0,0.34,0.34
[Name] declared the baker was a liar DesireOf [GEN],get fired,lie,to tell others,0.331,0.255,0.34
[Name] declared the baker was a liar Desires [GEN],to be mean,lie,to be mean,0.191,1.0,0.191
[Name] declared the baker was a liar HasA [GEN],lie,lie,to tell others,1.0,0.34,0.34
[Name] declared the baker was a liar HasFirstSubevent [GEN],get fired,lie,to be honest,0.331,0.194,0.367
[Name] declared the baker was a liar HasLastSubevent [GEN],lie,lie,to tell others,1.0,0.34,0.34
[Name] declared the baker was a liar HasPainCharacter [GEN],lie,lose faith,to tell others,0.449,0.34,0.241
[Name] declared the baker was a liar HasPainIntensity [GEN],lie,fool,to tell others,0.487,0.34,0.205
[Name] declared the baker was a liar HasPrerequisite [GEN],lie,people,to be honest,0.217,0.367,0.141
[Name] declared the baker was a liar HasProperty [GEN],mean,bad,mean,0.381,1.0,0.381
[Name] declared the baker was a liar HasSubEvent [GEN],yelled at,get fired,yelled at,0.343,1.0,0.343
[Name] declared the baker was a liar HasSubevent [GEN],lie,people,to be mean,0.217,0.191,0.249
[Name] declared the baker was a liar HinderedBy [GEN],PersonX has no proof.,PersonX has no proof.,PersonX has no proof.,1.0,1.0,1.0
[Name] declared the baker was a liar InheritsFrom [GEN],lie,money,to tell others,0.301,0.34,0.331
[Name] declared the baker was a liar InstanceOf [GEN],lie,lie,to be mean,1.0,0.191,0.191
[Name] declared the baker was a liar IsA [GEN],lie,lie,to be mean,1.0,0.191,0.191
[Name] declared the baker was a liar LocatedNear [GEN],lie,lie,to tell others,1.0,0.34,0.34
[Name] declared the baker was a liar LocationOfAction [GEN],lie,lie,to tell others,1.0,0.34,0.34
[Name] declared the baker was a liar MadeOf [GEN],lie,money,to tell others,0.301,0.34,0.331
[Name] declared the baker was a liar MadeUpOf [GEN],lie,doctor,lie,0.291,1.0,0.291
[Name] declared the baker was a liar MotivatedByGoal [GEN],get fired,bait,to get rid of him,0.289,0.22,0.238
[Name] declared the baker was a liar NotCapableOf [GEN],lie,lose money,to tell others,0.349,0.34,0.218
[Name] declared the baker was a liar NotDesires [GEN],lie,lie,to tell others,1.0,0.34,0.34
[Name] declared the baker was a liar NotHasA [GEN],lie,lie,to tell others,1.0,0.34,0.34
[Name] declared the baker was a liar NotHasProperty [GEN],lie,people,to tell others,0.217,0.34,0.301
[Name] declared the baker was a liar NotIsA [GEN],lie,lose faith,to be mean,0.449,0.191,0.157
[Name] declared the baker was a liar NotMadeOf [GEN],lie,lie,to tell others,1.0,0.34,0.34
[Name] declared the baker was a liar ObjectUse [GEN],lie,tell lies,to be mean,0.788,0.191,0.134
[Name] declared the baker was a liar PartOf [GEN],get fired,lie,to tell others,0.331,0.255,0.34
[Name] declared the baker was a liar ReceivesAction [GEN],lie,fool,to tell others,0.487,0.34,0.205
[Name] declared the baker was a liar RelatedTo [GEN],lie,loyal,to get rid of him,0.306,0.157,0.268
[Name] declared the baker was a liar SymbolOf [GEN],lie,lie,to tell others,1.0,0.34,0.34
[Name] declared the baker was a liar UsedFor [GEN],lie,lie,to get rid of him,1.0,0.157,0.157
[Name] declared the baker was a liar isAfter [GEN],PersonX tells a lie,PersonX tells a lie,PersonX hears a lie,1.0,0.941,0.941
[Name] declared the baker was a liar isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired,1.0,1.0,1.0
[Name] declared the baker was a liar isFilledBy [GEN],mom,doctor,cookies,0.427,0.263,0.175
[Name] declared the baker was a liar oEffect [GEN],PersonY yells at PersonX,PersonY yells at PersonX,PersonY yells at PersonX,1.0,1.0,1.0
[Name] declared the baker was a liar oReact [GEN],disappointed,disappointed,disappointed,1.0,1.0,1.0
[Name] declared the baker was a liar oWant [GEN],to yell at him,to punish him,to listen to PersonX,0.682,0.31,0.194
[Name] declared the baker was a liar xAttr [GEN],mean,mean,mean,1.0,1.0,1.0
[Name] declared the baker was a liar xEffect [GEN],gets yelled at,is asked questions,yelled at,0.155,0.807,0.065
[Name] declared the baker was a liar xIntent [GEN],to be mean,to be mean,to be mean,1.0,1.0,1.0
[Name] declared the baker was a liar xNeed [GEN],to talk to someone,to talk to someone,to talk to someone,1.0,1.0,1.0
[Name] declared the baker was a liar xReact [GEN],angry,superior,powerful,0.308,0.384,0.448
[Name] declared the baker was a liar xReason [GEN],he is a liar,he is a liar,he is a liar,1.0,1.0,1.0
[Name] declared the baker was a liar xWant [GEN],to punish him,to punish him,to apologize,1.0,0.55,0.55
[Name] asked the hairdresser to cut the sideburns AtLocation [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the sideburns CapableOf [GEN],burn,cut hair,smoke,0.307,0.57,0.311
[Name] asked the hairdresser to cut the sideburns Causes [GEN],pain,burns,to get a haircut,0.518,0.219,0.241
[Name] asked the hairdresser to cut the sideburns CausesDesire [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the sideburns CreatedBy [GEN],hair,hair,to get a haircut,1.0,0.621,0.621
[Name] asked the hairdresser to cut the sideburns DefinedAs [GEN],hair,hair,to cut,1.0,0.382,0.382
[Name] asked the hairdresser to cut the sideburns DesireOf [GEN],hair,hair,to ask the hairdresser,1.0,0.632,0.632
[Name] asked the hairdresser to cut the sideburns Desires [GEN],cut,hair cut,to look nice,0.726,0.252,0.297
[Name] asked the hairdresser to cut the sideburns HasA [GEN],hair,hair,to get a haircut,1.0,0.621,0.621
[Name] asked the hairdresser to cut the sideburns HasFirstSubevent [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the sideburns HasLastSubevent [GEN],hair,hair,to cut it,1.0,0.353,0.353
[Name] asked the hairdresser to cut the sideburns HasPainCharacter [GEN],hair,hair,to get a haircut,1.0,0.621,0.621
[Name] asked the hairdresser to cut the sideburns HasPainIntensity [GEN],hair,hair,to get a haircut,1.0,0.621,0.621
[Name] asked the hairdresser to cut the sideburns HasPrerequisite [GEN],hair,hair,to cut,1.0,0.382,0.382
[Name] asked the hairdresser to cut the sideburns HasProperty [GEN],very painful,hot,happy,0.35,0.215,0.464
[Name] asked the hairdresser to cut the sideburns HasSubEvent [GEN],get hair cut,get haircut,gets a haircut,0.894,0.811,0.932
[Name] asked the hairdresser to cut the sideburns HasSubevent [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the sideburns HinderedBy [GEN],The hairdresser is out of town.,the hairdresser is busy,The hairdresser is out of town.,0.816,1.0,0.816
[Name] asked the hairdresser to cut the sideburns InheritsFrom [GEN],hair,hair,to cut the hair,1.0,0.649,0.649
[Name] asked the hairdresser to cut the sideburns InstanceOf [GEN],hair,hair,to get a haircut,1.0,0.621,0.621
[Name] asked the hairdresser to cut the sideburns IsA [GEN],hair,hair,to get a haircut,1.0,0.621,0.621
[Name] asked the hairdresser to cut the sideburns LocatedNear [GEN],hair,hair,to get a haircut,1.0,0.621,0.621
[Name] asked the hairdresser to cut the sideburns LocationOfAction [GEN],hair,hair,to get a haircut,1.0,0.621,0.621
[Name] asked the hairdresser to cut the sideburns MadeOf [GEN],hair,hair,to get a haircut,1.0,0.621,0.621
[Name] asked the hairdresser to cut the sideburns MadeUpOf [GEN],sideburns,sideburns,burns,1.0,0.621,0.621
[Name] asked the hairdresser to cut the sideburns MotivatedByGoal [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the sideburns NotCapableOf [GEN],hair,hair,hair cut,1.0,0.756,0.756
[Name] asked the hairdresser to cut the sideburns NotDesires [GEN],hair,hair,to get a haircut,1.0,0.621,0.621
[Name] asked the hairdresser to cut the sideburns NotHasA [GEN],hair,hair,to ask the hairdresser,1.0,0.632,0.632
[Name] asked the hairdresser to cut the sideburns NotHasProperty [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the sideburns NotIsA [GEN],hair,hair,to get a haircut,1.0,0.621,0.621
[Name] asked the hairdresser to cut the sideburns NotMadeOf [GEN],hair,hair,to get a haircut,1.0,0.621,0.621
[Name] asked the hairdresser to cut the sideburns ObjectUse [GEN],get rid of,cut hair,get a haircut,0.338,0.236,0.851
[Name] asked the hairdresser to cut the sideburns PartOf [GEN],hair,hair,to pay the hairdresser,1.0,0.508,0.508
[Name] asked the hairdresser to cut the sideburns ReceivesAction [GEN],hair,hair,to cut,1.0,0.382,0.382
[Name] asked the hairdresser to cut the sideburns RelatedTo [GEN],hairdresser,hair,to cut,0.684,0.248,0.382
[Name] asked the hairdresser to cut the sideburns SymbolOf [GEN],hair,hair,to cut,1.0,0.382,0.382
[Name] asked the hairdresser to cut the sideburns UsedFor [GEN],hair,hair,to cut,1.0,0.382,0.382
[Name] asked the hairdresser to cut the sideburns isAfter [GEN],PersonX goes to the hairdresser,PersonX goes to the hairdresser,PersonX wants a haircut,1.0,0.773,0.773
[Name] asked the hairdresser to cut the sideburns isBefore [GEN],PersonX pays the hairdresser,PersonX gets a haircut,PersonX pays the hairdresser,0.746,1.0,0.746
[Name] asked the hairdresser to cut the sideburns isFilledBy [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the sideburns oEffect [GEN],smiles,smiles,PersonX gets a haircut,1.0,0.133,0.133
[Name] asked the hairdresser to cut the sideburns oReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] asked the hairdresser to cut the sideburns oWant [GEN],to get paid,to get paid,to get paid,1.0,1.0,1.0
[Name] asked the hairdresser to cut the sideburns xAttr [GEN],mean,curious,curious,0.302,0.302,1.0
[Name] asked the hairdresser to cut the sideburns xEffect [GEN],smiles,smiles,gets a haircut,1.0,0.226,0.226
[Name] asked the hairdresser to cut the sideburns xIntent [GEN],to look nice,to be nice,to be helpful,0.69,0.503,0.676
[Name] asked the hairdresser to cut the sideburns xNeed [GEN],call the hairdresser,call the hairdresser,to go to the hairdresser,1.0,0.744,0.744
[Name] asked the hairdresser to cut the sideburns xReact [GEN],relieved,relieved,relieved,1.0,1.0,1.0
[Name] asked the hairdresser to cut the sideburns xReason [GEN],you're mad,hot,they are hungry,0.279,0.072,0.171
[Name] asked the hairdresser to cut the sideburns xWant [GEN],to pay the hairdresser,to pay the hairdresser,to pay the hairdresser,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails AtLocation [GEN],hair,hair,hair salon,1.0,0.665,0.665
[Name] asked the hairdresser to cut the nails CapableOf [GEN],cut hair,cut nails,cut nails,0.605,0.605,1.0
[Name] asked the hairdresser to cut the nails Causes [GEN],hair,pain,hair cut,0.365,0.756,0.292
[Name] asked the hairdresser to cut the nails CausesDesire [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails CreatedBy [GEN],hair,hair,to go to the hairdresser,1.0,0.563,0.563
[Name] asked the hairdresser to cut the nails DefinedAs [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails DesireOf [GEN],hair,hairdresser,hair cut,0.684,0.756,0.665
[Name] asked the hairdresser to cut the nails Desires [GEN],look nice,look nice,to look nice,1.0,0.659,0.659
[Name] asked the hairdresser to cut the nails HasA [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails HasFirstSubevent [GEN],hair,hair,hair cut,1.0,0.756,0.756
[Name] asked the hairdresser to cut the nails HasLastSubevent [GEN],hair,hair,to cut the nails,1.0,0.38,0.38
[Name] asked the hairdresser to cut the nails HasPainCharacter [GEN],hair,,hair cut,0.294,0.756,0.219
[Name] asked the hairdresser to cut the nails HasPainIntensity [GEN],hair,hairdresser,hair cut,0.684,0.756,0.665
[Name] asked the hairdresser to cut the nails HasPrerequisite [GEN],hair,hairdresser,hair cut,0.684,0.756,0.665
[Name] asked the hairdresser to cut the nails HasProperty [GEN],nervous,nervous,nervous,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails HasSubEvent [GEN],smile,pay,gets a haircut,0.267,0.308,0.227
[Name] asked the hairdresser to cut the nails HasSubevent [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails HinderedBy [GEN],Teresa asked the hairdresser to cut the nails,The hairdresser is out of town.,The hairdresser is out of town.,0.425,0.425,1.0
[Name] asked the hairdresser to cut the nails InheritsFrom [GEN],hair,hairdresser,to cut the nails,0.684,0.38,0.263
[Name] asked the hairdresser to cut the nails InstanceOf [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails IsA [GEN],hair,hair,hair cut,1.0,0.756,0.756
[Name] asked the hairdresser to cut the nails LocatedNear [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails LocationOfAction [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails MadeOf [GEN],hair,,to cut the nails,0.294,0.38,0.132
[Name] asked the hairdresser to cut the nails MadeUpOf [GEN],nail polish,nail polish,nail polish,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails MotivatedByGoal [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails NotCapableOf [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails NotDesires [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails NotHasA [GEN],hair,hair,hair cut,1.0,0.756,0.756
[Name] asked the hairdresser to cut the nails NotHasProperty [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails NotIsA [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails NotMadeOf [GEN],hair,hairdresser,to cut the nails,0.684,0.38,0.263
[Name] asked the hairdresser to cut the nails ObjectUse [GEN],cut,cut,pay the hairdresser,1.0,0.255,0.255
[Name] asked the hairdresser to cut the nails PartOf [GEN],hair,hair,to get a haircut,1.0,0.621,0.621
[Name] asked the hairdresser to cut the nails ReceivesAction [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails RelatedTo [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails SymbolOf [GEN],hair,hair,hair cut,1.0,0.756,0.756
[Name] asked the hairdresser to cut the nails UsedFor [GEN],hair,nails,hair,0.55,1.0,0.55
[Name] asked the hairdresser to cut the nails isAfter [GEN],Teresa asked the hairdresser to cut the nails,PersonX needs a haircut,PersonX needs a haircut,0.336,0.336,1.0
[Name] asked the hairdresser to cut the nails isBefore [GEN],Teresa asked the hairdresser to cut the nails,PersonX pays the hairdresser,PersonX pays the hairdresser,0.339,0.339,1.0
[Name] asked the hairdresser to cut the nails isFilledBy [GEN],nails,nails,nails,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails oEffect [GEN],Teresa asked the hairdresser to cut the nails,gets paid,gets paid,0.063,0.063,1.0
[Name] asked the hairdresser to cut the nails oReact [GEN],happy,happy,helpful,1.0,0.338,0.338
[Name] asked the hairdresser to cut the nails oWant [GEN],to get paid,to get paid,to cut the nails,1.0,0.432,0.432
[Name] asked the hairdresser to cut the nails xAttr [GEN],needy,confused,curious,0.217,0.236,0.581
[Name] asked the hairdresser to cut the nails xEffect [GEN],smiles,gets a haircut,gets a haircut,0.226,0.226,1.0
[Name] asked the hairdresser to cut the nails xIntent [GEN],to look nice,to look nice,to look nice,1.0,1.0,1.0
[Name] asked the hairdresser to cut the nails xNeed [GEN],Teresa asked the hairdresser to cut the nails,call the hairdresser,to go to the hairdresser,0.442,0.47,0.744
[Name] asked the hairdresser to cut the nails xReact [GEN],relieved,happy,happy,0.538,0.538,1.0
[Name] asked the hairdresser to cut the nails xReason [GEN],she is pregnant,she needs a haircut,they have no nails,0.372,0.134,0.3
[Name] asked the hairdresser to cut the nails xWant [GEN],Teresa asked the hairdresser to cut the nails,to pay the hairdresser,to pay the hairdresser,0.478,0.478,1.0
[Name] refused to take a book from the librarian AtLocation [GEN],library,library,library,1.0,1.0,1.0
[Name] refused to take a book from the librarian CapableOf [GEN],tell story,read book,take book,0.348,0.265,0.706
[Name] refused to take a book from the librarian Causes [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] refused to take a book from the librarian CausesDesire [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian CreatedBy [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian DefinedAs [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian DesireOf [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian Desires [GEN],librarian,librarian,to be left alone,1.0,0.212,0.212
[Name] refused to take a book from the librarian HasA [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian HasFirstSubevent [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian HasLastSubevent [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian HasPainCharacter [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian HasPainIntensity [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian HasPrerequisite [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian HasProperty [GEN],nervous,bad,stubborn,0.335,0.293,0.22
[Name] refused to take a book from the librarian HasSubEvent [GEN],lose money,get yelled at,gets yelled at,0.237,0.219,0.891
[Name] refused to take a book from the librarian HasSubevent [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian HinderedBy [GEN],Nicole refused to take a book from the librarian,the librarian told person x not to,PersonX needs the book.,0.507,0.308,0.284
[Name] refused to take a book from the librarian InheritsFrom [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian InstanceOf [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian IsA [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian LocatedNear [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian LocationOfAction [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian MadeOf [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian MadeUpOf [GEN],librarian,page,librarian,0.225,1.0,0.225
[Name] refused to take a book from the librarian MotivatedByGoal [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian NotCapableOf [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian NotDesires [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian NotHasA [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian NotHasProperty [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian NotIsA [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian NotMadeOf [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian ObjectUse [GEN],read the book,read the book,to go home,1.0,0.218,0.218
[Name] refused to take a book from the librarian PartOf [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian ReceivesAction [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian RelatedTo [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian SymbolOf [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian UsedFor [GEN],librarian,librarian,to go home,1.0,0.176,0.176
[Name] refused to take a book from the librarian isAfter [GEN],librarian,book,PersonX sees a book,0.462,0.284,0.462
[Name] refused to take a book from the librarian isBefore [GEN],Nicole refused to take a book from the librarian,PersonX leaves the library,PersonX leaves the library,0.349,0.349,1.0
[Name] refused to take a book from the librarian isFilledBy [GEN],book,book,books,1.0,0.861,0.861
[Name] refused to take a book from the librarian oEffect [GEN],gets yelled at,gets yelled at,gets yelled at,1.0,1.0,1.0
[Name] refused to take a book from the librarian oReact [GEN],disappointed,disappointed,disappointed,1.0,1.0,1.0
[Name] refused to take a book from the librarian oWant [GEN],to take the book,to ask why,to get the book,0.395,0.85,0.453
[Name] refused to take a book from the librarian xAttr [GEN],stubborn,irresponsible,stubborn,0.237,1.0,0.237
[Name] refused to take a book from the librarian xEffect [GEN],gets yelled at,gets yelled at,gets yelled at,1.0,1.0,1.0
[Name] refused to take a book from the librarian xIntent [GEN],to save money,to be sneaky,to be left alone,0.393,0.386,0.505
[Name] refused to take a book from the librarian xNeed [GEN],librarian,find librarian,to go to the librarian,0.86,0.766,0.751
[Name] refused to take a book from the librarian xReact [GEN],guilty,guilty,guilty,1.0,1.0,1.0
[Name] refused to take a book from the librarian xReason [GEN],Nicole refused to take a book from the librarian,librarian told him not to,the librarian told him not to,0.444,0.484,0.984
[Name] refused to take a book from the librarian xWant [GEN],to go home,to go home,to go home,1.0,1.0,1.0
[Name] asked the secretary to close the window AtLocation [GEN],building,building,building,1.0,1.0,1.0
[Name] asked the secretary to close the window CapableOf [GEN],close window,close window,close the window,1.0,0.913,0.913
[Name] asked the secretary to close the window Causes [GEN],shut down,relieved,to close the window,0.254,0.412,0.119
[Name] asked the secretary to close the window CausesDesire [GEN],close the window,open,to close the window,0.423,0.884,0.369
[Name] asked the secretary to close the window CreatedBy [GEN],close the window,open,to close the window,0.423,0.884,0.369
[Name] asked the secretary to close the window DefinedAs [GEN],close the window,open,to close the window,0.423,0.884,0.369
[Name] asked the secretary to close the window DesireOf [GEN],locate,open,to close the window,0.297,0.19,0.369
[Name] asked the secretary to close the window Desires [GEN],close,close,to close the window,1.0,0.347,0.347
[Name] asked the secretary to close the window HasA [GEN],open,open,to close the window,1.0,0.369,0.369
[Name] asked the secretary to close the window HasFirstSubevent [GEN],locate,open,to close the window,0.297,0.19,0.369
[Name] asked the secretary to close the window HasLastSubevent [GEN],locate,open,to close the window,0.297,0.19,0.369
[Name] asked the secretary to close the window HasPainCharacter [GEN],locate,open,to close the window,0.297,0.19,0.369
[Name] asked the secretary to close the window HasPainIntensity [GEN],locate,locate,to close the window,1.0,0.19,0.19
