Event Relation,Female Inference,Male Inference,PersonX Inference,Female-Male Similarity,Female-PersonX Similarity,Male-PersonX Similarity
[Name] offered apples to the housekeeper xWant [GEN], to clean up the mess, to give them to the housekeeper, to give them to the housekeeper,0.594,0.594,1.0
[Name] helped the nurse AtLocation [GEN], PersonY asks PersonY for help, hospital, PersonX goes to the hospital,0.156,0.408,0.482
[Name] helped the nurse CapableOf [GEN], to help the nurse, to help the patient, to help the nurse,0.835,1.0,0.835
[Name] helped the nurse Causes [GEN], the nurse is in pain, the nurse is sick, PersonX is a nurse,0.782,0.419,0.415
[Name] helped the nurse CausesDesire [GEN], the nurse is grateful to the nurse,    the nurse is very sick, PersonX is a good person,0.67,0.108,0.058
[Name] helped the nurse CreatedBy [GEN], the nurse to feel better, to help the nurse, PersonX is a nurse,0.685,0.44,0.413
[Name] helped the nurse DefinedAs [GEN], the nurse to get better, PersonX is grateful to PersonX, PersonX is thanked by the nurse,0.098,0.555,0.7
[Name] helped the nurse DesireOf [GEN], the nurse to get better, the nurse to get better, PersonX sees a patient in need,1.0,0.328,0.328
[Name] helped the nurse Desires [GEN], to be helpful, to be helpful, to be helpful,1.0,1.0,1.0
[Name] helped the nurse HasA [GEN], the nurse to feel better, the nurse gets better, PersonX is a good person,0.841,0.128,0.126
[Name] helped the nurse HasFirstSubevent [GEN], the nurse is able to work, they get paid for it, PersonX is thanked by the nurse,0.211,0.575,0.109
[Name] helped the nurse HasLastSubevent [GEN], PersonY is grateful to PersonY, PersonX asks for PersonX's help, PersonX is asked to help the nurse,0.469,0.359,0.775
[Name] helped the nurse HasPainCharacter [GEN], the nurse to get better, PersonX asks PersonX for help, PersonX is asked to help the nurse,0.17,0.567,0.787
[Name] helped the nurse HasPainIntensity [GEN], the nurse to get better, help the nurse, PersonX was asked to help the nurse,0.783,0.571,0.578
[Name] helped the nurse HasPrerequisite [GEN], the nurse to get better, help the nurse, PersonX is a good person,0.783,0.127,0.08
[Name] helped the nurse HasProperty [GEN], good about themselves, cared for, helpful,0.318,0.358,0.401
[Name] helped the nurse HasSubEvent [GEN], the nurse smiles, get's paid, PersonX is thanked,0.068,0.222,0.188
[Name] helped the nurse HasSubevent [GEN], the nurse to feel better, to help the nurse, to be helpful,0.685,0.338,0.556
[Name] helped the nurse HinderedBy [GEN], The nurse is too far away., The nurse is too far away., PersonX doesn't know the nurse's name.,1.0,0.54,0.54
[Name] helped the nurse InheritsFrom [GEN], the nurse to feel better, the nurse to feel better, PersonX is a nurse,1.0,0.44,0.44
[Name] helped the nurse InstanceOf [GEN], the nurse is grateful to them, the nurse gets better, PersonX is a nurse,0.703,0.451,0.457
[Name] helped the nurse IsA [GEN], the nurse to get better, the nurse is better, helpful,0.843,0.193,0.195
[Name] helped the nurse LocatedNear [GEN], the nurse to feel better, to help the nurse, to be helpful,0.685,0.338,0.556
[Name] helped the nurse LocationOfAction [GEN], the nurse needs help, to be helpful, to help,0.305,0.333,0.776
[Name] helped the nurse MadeOf [GEN], the nurse to get better, the nurse is in pain, to be helpful,0.743,0.277,0.136
[Name] helped the nurse MadeUpOf [GEN], the nurse to get better, the nurse, PersonX is a nurse,0.858,0.485,0.57
[Name] helped the nurse MotivatedByGoal [GEN], the nurse to get better, PersonX asks PersonX for help, PersonX goes to the hospital,0.17,0.383,0.691
[Name] helped the nurse NotCapableOf [GEN], the nurse to feel better, help the nurse, PersonX is a nurse,0.771,0.44,0.448
[Name] helped the nurse NotDesires [GEN], the nurse gets better, they get paid, PersonX helps the nurse,0.208,0.565,0.1
[Name] helped the nurse NotHasA [GEN], the nurse is grateful to them, the nurse is in need of help, PersonX sees the nurse in need,0.765,0.552,0.625
[Name] helped the nurse NotHasProperty [GEN], the nurse to feel better, helpful, helpful,0.213,0.213,1.0
[Name] helped the nurse NotIsA [GEN], the nurse is grateful to them, PersonX asks PersonX for help, PersonX is thanked by the nurse,0.214,0.716,0.664
[Name] helped the nurse NotMadeOf [GEN], the nurse to get better, the nurse to get better, PersonX is a good person,1.0,0.127,0.127
[Name] helped the nurse ObjectUse [GEN], to be a good friend, to be a good friend, to be a good person,1.0,0.76,0.76
[Name] helped the nurse PartOf [GEN], the nurse gets better, the nurse gets better, PersonX is thanked by the nurse,1.0,0.548,0.548
[Name] helped the nurse ReceivesAction [GEN], the nurse to get better, help the nurse, PersonX sees the nurse in need,0.783,0.532,0.545
[Name] helped the nurse RelatedTo [GEN], the nurse to feel better, help the nurse, PersonX is a good person,0.771,0.128,0.08
[Name] helped the nurse SymbolOf [GEN], the nurse to feel better, to be helpful, PersonX is a nurse,0.338,0.44,0.142
[Name] helped the nurse UsedFor [GEN], the nurse to get better, PersonX asks for help, PersonX sees the nurse in need,0.18,0.532,0.695
[Name] helped the nurse isAfter [GEN], PersonX is in the hospital, PersonX is in the hospital, PersonX goes to the hospital,1.0,0.961,0.961
[Name] helped the nurse isBefore [GEN], PersonX is grateful to PersonX, PersonX is grateful to PersonX, PersonX is thanked by the nurse,1.0,0.7,0.7
[Name] helped the nurse isFilledBy [GEN], the nurse, hospital bed, PersonX is a nurse,0.496,0.57,0.262
[Name] helped the nurse oEffect [GEN], the nurse gets better, they get better, PersonX is thanked by the nurse,0.437,0.548,0.082
[Name] helped the nurse oReact [GEN], grateful, cared for, grateful,0.289,1.0,0.289
[Name] helped the nurse oWant [GEN], to thank the nurse, to thank him, to thank PersonX,0.54,0.468,0.631
[Name] helped the nurse xAttr [GEN], helpful, helpful, helpful,1.0,1.0,1.0
[Name] helped the nurse xEffect [GEN], gets a thank you, gets thanked, PersonX is thanked,0.726,0.406,0.57
[Name] helped the nurse xIntent [GEN], to be helpful, to be helpful, to be helpful,1.0,1.0,1.0
[Name] helped the nurse xNeed [GEN], to go to the hospital, to go to the hospital, to go to the hospital,1.0,1.0,1.0
[Name] helped the nurse xReact [GEN], helpful, helpful, helpful,1.0,1.0,1.0
[Name] helped the nurse xReason [GEN], the nurse is grateful to them, the nurse to get better, PersonX sees the nurse in need,0.707,0.552,0.532
[Name] helped the nurse xWant [GEN], to help the other person, to help the nurse, to be thanked by the nurse,0.643,0.454,0.755
[Name] befriended the cook AtLocation [GEN], the kitchen, the kitchen, PersonX goes to the cook's house,1.0,0.452,0.452
[Name] befriended the cook CapableOf [GEN], eat with the cook, eat with the cook, to eat with the cook,1.0,0.848,0.848
[Name] befriended the cook Causes [GEN], the cook is a good cook, the cook is very nice, PersonX is a good cook,0.894,0.499,0.501
[Name] befriended the cook CausesDesire [GEN], PersonX cooks for PersonX, they get to know the cook, PersonX goes to the cook's house,0.292,0.831,0.427
[Name] befriended the cook CreatedBy [GEN], have a conversation, have a good time, PersonX cooks for the cook,0.376,0.068,0.062
[Name] befriended the cook DefinedAs [GEN], PersonX cooks for PersonX, they have a good time, PersonX cooks for the cook,0.059,0.943,0.074
[Name] befriended the cook DesireOf [GEN], PersonX cooks for PersonX, they get to know the cook, PersonX cooks dinner for the cook,0.292,0.867,0.383
[Name] befriended the cook Desires [GEN], to have a friend, to get to know someone, to get to know someone,0.709,0.709,1.0
[Name] befriended the cook HasA [GEN], the cook to like them, they have a good time, good about themselves,0.298,0.253,0.443
[Name] befriended the cook HasFirstSubevent [GEN], gets a new friend, have a good time, PersonX cooks for the cook,0.313,0.068,0.062
[Name] befriended the cook HasLastSubevent [GEN], PersonX cooks dinner for PersonX, PersonX cooks dinner for PersonX, PersonX cooks dinner for the cook,1.0,0.952,0.952
[Name] befriended the cook HasPainCharacter [GEN], PersonX cooks for PersonX, PersonX cooks for PersonX, PersonX goes to the cook's house,1.0,0.831,0.831
[Name] befriended the cook HasPainIntensity [GEN], have a conversation with the cook, get to know them, PersonX cooks dinner for the cook,0.227,0.426,0.108
[Name] befriended the cook HasPrerequisite [GEN], have a good time, have a good time, PersonX cooks dinner for the cook,1.0,0.074,0.074
[Name] befriended the cook HasProperty [GEN], good about themselves, good about themselves, good about themselves,1.0,1.0,1.0
[Name] befriended the cook HasSubEvent [GEN], gets a new friend, gets a new friend, PersonX gets to know the cook,1.0,0.191,0.191
[Name] befriended the cook HasSubevent [GEN], the cook to like them, the cook to like them, they like the cook,1.0,0.872,0.872
[Name] befriended the cook HinderedBy [GEN], The cook has a restraining order against her., The cook has a restraining order against him., PersonX doesn't know how to cook.,0.918,0.373,0.371
[Name] befriended the cook InheritsFrom [GEN], the cook is a good cook, they have a good time, PersonX cooks a meal,0.269,0.421,0.063
[Name] befriended the cook InstanceOf [GEN], PersonY cooks for PersonX, they have a good time, PersonX meets the cook,0.095,0.842,0.116
[Name] befriended the cook IsA [GEN], PersonX asks PersonX out on a date, they have a good time, PersonX goes to the restaurant,0.127,0.642,0.122
[Name] befriended the cook LocatedNear [GEN], have a conversation, to get to know them, PersonX cooks for the cook,0.295,0.068,0.113
[Name] befriended the cook LocationOfAction [GEN], to have a friend, to get to know someone, none,0.709,0.22,0.145
[Name] befriended the cook MadeOf [GEN], the cook to be friendly, the cook to be friendly, PersonX goes to a cookout,1.0,0.504,0.504
[Name] befriended the cook MadeUpOf [GEN], PersonY cooks for PersonX, PersonY, PersonX cooks dinner for the cook,0.522,0.845,0.325
[Name] befriended the cook MotivatedByGoal [GEN], PersonX cooks for PersonX, they get to know the cook, PersonX cooks dinner for the cook,0.292,0.867,0.383
[Name] befriended the cook NotCapableOf [GEN], none, none, none,1.0,1.0,1.0
[Name] befriended the cook NotDesires [GEN], they have a good time, they have a good time, PersonX cooks for the cook,1.0,0.074,0.074
[Name] befriended the cook NotHasA [GEN], PersonX cooks for PersonX, the cook is a good cook, PersonX cooks dinner for the cook,0.33,0.867,0.458
[Name] befriended the cook NotHasProperty [GEN], good about themselves, good about themselves, happy,1.0,0.306,0.306
[Name] befriended the cook NotIsA [GEN], PersonX cooks for PersonX, they get to know the cook, PersonX cooks dinner for the cook,0.292,0.867,0.383
[Name] befriended the cook NotMadeOf [GEN], PersonX cooks for PersonX, they have a good time, PersonX cooks for the cook,0.059,0.943,0.074
[Name] befriended the cook ObjectUse [GEN], get to know the cook, get to know the cook, to eat with the cook,1.0,0.703,0.703
[Name] befriended the cook PartOf [GEN], PersonY gives PersonX a compliment, they have a good time, PersonX cooks dinner for the cook,0.149,0.519,0.075
[Name] befriended the cook ReceivesAction [GEN], have a good time, they have a conversation, PersonX cooks dinner for the cook,0.179,0.074,0.166
[Name] befriended the cook RelatedTo [GEN], none, they get to know them, PersonX cooks for the cook,0.084,0.137,0.097
[Name] befriended the cook SymbolOf [GEN], PersonX cooks for PersonX, they have a good time, PersonX goes to the cook's house,0.059,0.831,0.119
[Name] befriended the cook UsedFor [GEN], PersonX cooks for PersonX, they get to know them, PersonX cooks dinner for the cook,0.105,0.867,0.109
[Name] befriended the cook isAfter [GEN], PersonX goes to the cook's house, PersonX goes to the cook's house, PersonX goes to a cookout,1.0,0.91,0.91
[Name] befriended the cook isBefore [GEN], PersonX cooks for PersonX, PersonX cooks dinner for PersonX, PersonX cooks dinner for the cook,0.903,0.867,0.952
[Name] befriended the cook isFilledBy [GEN], the cook, the cook, PersonX cooks a meal,1.0,0.446,0.446
[Name] befriended the cook oEffect [GEN], learns new skills, none, PersonX cooks for the cook,0.109,0.074,0.137
[Name] befriended the cook oReact [GEN], none, none, none,1.0,1.0,1.0
[Name] befriended the cook oWant [GEN], to get to know them, to talk to the cook, to cook for PersonX,0.472,0.219,0.508
[Name] befriended the cook xAttr [GEN], friendly, friendly, friendly,1.0,1.0,1.0
[Name] befriended the cook xEffect [GEN], learns a new skill, has a new friend, PersonX makes a new friend,0.211,0.157,0.575
[Name] befriended the cook xIntent [GEN], to get to know someone, to get to know someone, to get to know someone,1.0,1.0,1.0
[Name] befriended the cook xNeed [GEN], to go to the kitchen, to go to the kitchen, to go to the kitchen,1.0,1.0,1.0
[Name] befriended the cook xReact [GEN], friendly, happy, happy,0.413,0.413,1.0
[Name] befriended the cook xReason [GEN], PersonX cooks for PersonX, they get to know the cook, PersonX goes to the cook's house,0.292,0.831,0.427
[Name] befriended the cook xWant [GEN], to get to know the cook, to eat with the cook, to get to know the cook,0.82,1.0,0.82
[Name] visited the hairdresser AtLocation [GEN], hair salon, hair salon, PersonX needs a new haircut,1.0,0.428,0.428
[Name] visited the hairdresser CapableOf [GEN], go to the hair salon, get hair cut, to get their hair cut,0.706,0.453,0.644
[Name] visited the hairdresser Causes [GEN], The hairdresser is closed., the hairdresser is closed, The hairdresser is closed,0.992,0.992,1.0
[Name] visited the hairdresser CausesDesire [GEN], they get a haircut, they get their hair cut, PersonX needs a new haircut,0.903,0.542,0.472
[Name] visited the hairdresser CreatedBy [GEN], they get their hair cut, to get a haircut, PersonX wants a new hairstyle,0.639,0.4,0.499
[Name] visited the hairdresser DefinedAs [GEN], they get a haircut, get a haircut, PersonX goes to the hairdresser,0.745,0.447,0.458
[Name] visited the hairdresser DesireOf [GEN], they get a haircut, they get their hair cut, PersonX needs a new haircut,0.903,0.542,0.472
[Name] visited the hairdresser Desires [GEN], to get a new haircut, to get a new haircut, to get their hair cut,1.0,0.779,0.779
[Name] visited the hairdresser HasA [GEN], they get their hair cut, the hairdresser, PersonX wants a new haircut,0.443,0.487,0.486
[Name] visited the hairdresser HasFirstSubevent [GEN], get hair cut, get hair cut, PersonX gets their hair cut,1.0,0.632,0.632
[Name] visited the hairdresser HasLastSubevent [GEN], they get their hair cut, the hairdresser cut the hair, PersonX needs a new haircut,0.591,0.472,0.528
[Name] visited the hairdresser HasPainCharacter [GEN], they get their hair cut, the hairdresser cut the hair, PersonX goes to the hair salon,0.591,0.434,0.531
[Name] visited the hairdresser HasPainIntensity [GEN], they get a haircut, get hair cut, PersonX gets their hair cut,0.638,0.619,0.632
[Name] visited the hairdresser HasPrerequisite [GEN], get hair cut, get hair cut, PersonX gets their hair cut,1.0,0.632,0.632
[Name] visited the hairdresser HasProperty [GEN], good hair, good hair, PersonX needs a new haircut,1.0,0.373,0.373
[Name] visited the hairdresser HasSubEvent [GEN], get hair cut, get a new haircut, PersonX gets their hair cut,0.811,0.632,0.531
[Name] visited the hairdresser HasSubevent [GEN], to get their hair cut, to get their hair cut, to get their hair cut,1.0,1.0,1.0
[Name] visited the hairdresser HinderedBy [GEN], The hairdresser is closed., The hairdresser is closed., The hairdresser is closed.,1.0,1.0,1.0
[Name] visited the hairdresser InheritsFrom [GEN], a new hairstyle, a new hairstyle, PersonX needs a new haircut,1.0,0.583,0.583
[Name] visited the hairdresser InstanceOf [GEN], the hairdresser, a new hairstyle, PersonX needs a new haircut,0.655,0.471,0.583
[Name] visited the hairdresser IsA [GEN], they get their hair cut, the hairdresser, PersonX needs a new haircut,0.443,0.472,0.471
[Name] visited the hairdresser LocatedNear [GEN], to get their hair cut, to get their hair cut, to get their hair cut,1.0,1.0,1.0
[Name] visited the hairdresser LocationOfAction [GEN], get a haircut, to get their hair cut, to get their hair cut,0.608,0.608,1.0
[Name] visited the hairdresser MadeOf [GEN], they want to get their hair cut, the hairdresser is closed, PersonX needs a new hairstyle,0.382,0.435,0.399
[Name] visited the hairdresser MadeUpOf [GEN], hair, hair, PersonX gets their hair cut,1.0,0.477,0.477
[Name] visited the hairdresser MotivatedByGoal [GEN], they get a haircut, they get their hair cut, PersonX needs a new haircut,0.903,0.542,0.472
[Name] visited the hairdresser NotCapableOf [GEN], they get a haircut, get a haircut, PersonX wants a new haircut,0.745,0.564,0.667
[Name] visited the hairdresser NotDesires [GEN], get a haircut, they get their hair cut, PersonX gets their hair cut,0.606,0.576,0.657
[Name] visited the hairdresser NotHasA [GEN], they get their hair cut, the hairdresser cut the hair, PersonX went to the hair salon,0.591,0.425,0.589
[Name] visited the hairdresser NotHasProperty [GEN], good hair, good hair, good about themselves,1.0,0.451,0.451
[Name] visited the hairdresser NotIsA [GEN], they get their hair cut, they get their hair cut, PersonX needs a new haircut,1.0,0.472,0.472
[Name] visited the hairdresser NotMadeOf [GEN], they get their hair cut, the hairdresser, PersonX needs a new haircut,0.443,0.472,0.471
[Name] visited the hairdresser ObjectUse [GEN], to get their hair cut, to get their hair cut, to get their hair cut,1.0,1.0,1.0
[Name] visited the hairdresser PartOf [GEN], get a haircut, get a haircut, PersonX gets their hair cut,1.0,0.576,0.576
[Name] visited the hairdresser ReceivesAction [GEN], they get a haircut, to get a haircut, PersonX goes to the hair salon,0.746,0.45,0.475
[Name] visited the hairdresser RelatedTo [GEN], get a haircut, they get a haircut, PersonX needs a new haircut,0.745,0.638,0.542
[Name] visited the hairdresser SymbolOf [GEN], they get a haircut, they get a haircut, PersonX wants a new haircut,1.0,0.564,0.564
[Name] visited the hairdresser UsedFor [GEN], get hair cut, they get a haircut, PersonX gets their hair cut,0.638,0.632,0.619
[Name] visited the hairdresser isAfter [GEN], PersonY asked PersonY if they needed a haircut, PersonX needs a new haircut, PersonX needs a new haircut,0.649,0.649,1.0
[Name] visited the hairdresser isBefore [GEN], PersonX cuts PersonX's hair, the hairdresser cuts the hair, PersonX gets a new hairstyle,0.523,0.798,0.444
[Name] visited the hairdresser isFilledBy [GEN], hair, hair, hair,1.0,1.0,1.0
[Name] visited the hairdresser oEffect [GEN], gets a new look, hair is styled, PersonX's hair is styled,0.357,0.312,0.694
[Name] visited the hairdresser oReact [GEN], none, none, none,1.0,1.0,1.0
[Name] visited the hairdresser oWant [GEN], to cut the hair, to get their hair cut, to cut PersonX's hair,0.85,0.691,0.641
[Name] visited the hairdresser xAttr [GEN], fashionable, fashionable, fashionable,1.0,1.0,1.0
[Name] visited the hairdresser xEffect [GEN], gets a haircut, gets a new haircut, gets a new look,0.894,0.423,0.562
[Name] visited the hairdresser xIntent [GEN], to get a new haircut, to get a new haircut, to get their hair cut,1.0,0.779,0.779
[Name] visited the hairdresser xNeed [GEN], to go to the hairdresser, to go to the hairdresser, to get ready for the appointment,1.0,0.435,0.435
[Name] visited the hairdresser xReact [GEN], satisfied, satisfied, satisfied,1.0,1.0,1.0
[Name] visited the hairdresser xReason [GEN], The hairdresser is closed, the hairdresser, PersonX needs a new hairstyle,0.764,0.399,0.498
[Name] visited the hairdresser xWant [GEN], to get their hair cut, to get their hair cut, to get their hair cut,1.0,1.0,1.0
[Name] told the hairdresser AtLocation [GEN], hair salon, hair, PersonX gets their hair cut,0.665,0.409,0.477
[Name] told the hairdresser CapableOf [GEN], get a new look, get a new haircut, get a new hairstyle,0.533,0.61,0.803
[Name] told the hairdresser Causes [GEN], The hairdresser is busy., the hairdresser cuts the hair, The hairdresser asked PersonX what they wanted,0.747,0.556,0.553
[Name] told the hairdresser CausesDesire [GEN], they get their hair cut, they get their hair cut, PersonX goes to the hair salon,1.0,0.434,0.434
[Name] told the hairdresser CreatedBy [GEN], they get their hair cut, the hairdresser to cut it, PersonX has a bad hair day,0.599,0.376,0.358
[Name] told the hairdresser DefinedAs [GEN], they get a haircut, they get a haircut, PersonX gets their hair cut,1.0,0.619,0.619
[Name] told the hairdresser DesireOf [GEN], they get their hair cut, they get their hair cut, PersonX has a bad hair day,1.0,0.376,0.376
[Name] told the hairdresser Desires [GEN], to get a haircut, to get a haircut, to get a haircut,1.0,1.0,1.0
[Name] told the hairdresser HasA [GEN], they get their hair cut, the hairdresser, PersonX gets their hair cut,0.443,0.657,0.456
[Name] told the hairdresser HasFirstSubevent [GEN], hair looks better, get hair cut, PersonX gets their hair cut,0.614,0.435,0.632
[Name] told the hairdresser HasLastSubevent [GEN], the hairdresser cuts the hair, the hairdresser cuts it, PersonX gets their hair cut,0.956,0.594,0.6
[Name] told the hairdresser HasPainCharacter [GEN], they get a new hairstyle, the hairdresser cuts it, PersonX gets their hair cut,0.524,0.519,0.6
[Name] told the hairdresser HasPainIntensity [GEN], get a new look, they get a haircut, PersonX gets their hair cut,0.261,0.24,0.619
[Name] told the hairdresser HasPrerequisite [GEN], get hair cut, they get a haircut, PersonX gets a new hairstyle,0.638,0.434,0.456
[Name] told the hairdresser HasProperty [GEN], good about themselves, they get a haircut, PersonX gets their hair cut,0.225,0.189,0.619
[Name] told the hairdresser HasSubEvent [GEN], get a new look, get a new look, PersonX gets their hair cut,1.0,0.24,0.24
[Name] told the hairdresser HasSubevent [GEN], the hairdresser to look good, the hairdresser, person x has a bad hair day,0.901,0.483,0.485
[Name] told the hairdresser HinderedBy [GEN], The hairdresser is on vacation., The hairdresser is closed., The hairdresser is on vacation.,0.702,1.0,0.702
[Name] told the hairdresser InheritsFrom [GEN], they get their hair cut, the hairdresser, PersonX gets their hair cut,0.443,0.657,0.456
[Name] told the hairdresser InstanceOf [GEN], they get their hair cut, the hairdresser, PersonX gets their hair cut,0.443,0.657,0.456
[Name] told the hairdresser IsA [GEN], they get their hair cut, they get their hair cut, PersonX gets their hair cut,1.0,0.657,0.657
[Name] told the hairdresser LocatedNear [GEN], to get their hair cut, to get their hair cut, to get their hair cut,1.0,1.0,1.0
[Name] told the hairdresser LocationOfAction [GEN], none, the hairdresser, the hairdresser to know,0.143,0.143,0.905
[Name] told the hairdresser MadeOf [GEN], the hairdresser to cut the hair, the hairdresser to cut the hair, the hairdresser to do their hair,1.0,0.885,0.885
[Name] told the hairdresser MadeUpOf [GEN], hair, hair, PersonX gets their hair cut,1.0,0.477,0.477
[Name] told the hairdresser MotivatedByGoal [GEN], they get their hair cut, they get their hair cut, PersonX gets their hair cut,1.0,0.657,0.657
[Name] told the hairdresser NotCapableOf [GEN], they get their hair cut, they get a haircut, PersonX gets their hair cut,0.903,0.657,0.619
[Name] told the hairdresser NotDesires [GEN], they get a new hairstyle, they get their hair cut, the hairdresser gets paid,0.678,0.508,0.473
[Name] told the hairdresser NotHasA [GEN], the hairdresser cuts the hair, the hairdresser gets paid, PersonX gets their hair cut,0.746,0.594,0.448
[Name] told the hairdresser NotHasProperty [GEN], good about themselves, good about themselves, satisfied,1.0,0.259,0.259
[Name] told the hairdresser NotIsA [GEN], they get a new hairstyle, they get their hair cut, PersonX gets their hair cut,0.678,0.519,0.657
[Name] told the hairdresser NotMadeOf [GEN], they get their hair cut, the hairdresser, PersonX gets their hair cut,0.443,0.657,0.456
[Name] told the hairdresser ObjectUse [GEN], get a new hairstyle, to get their hair cut, to get their hair cut,0.413,0.413,1.0
[Name] told the hairdresser PartOf [GEN], they get their hair cut, they get a haircut, PersonX gets their hair cut,0.903,0.657,0.619
[Name] told the hairdresser ReceivesAction [GEN], get hair cut, they get a haircut, PersonX goes to the hair salon,0.638,0.475,0.45
[Name] told the hairdresser RelatedTo [GEN], they get their hair cut, they get a haircut, PersonX gets their hair cut,0.903,0.657,0.619
[Name] told the hairdresser SymbolOf [GEN], they get their hair cut, they get a haircut, PersonX goes to the hair salon,0.903,0.434,0.45
[Name] told the hairdresser UsedFor [GEN], get hair cut, they get a haircut, PersonX gets their hair cut,0.638,0.632,0.619
[Name] told the hairdresser isAfter [GEN], the hairdresser cuts the hair, the hairdresser cuts the hair, PersonX gets their hair cut,1.0,0.594,0.594
[Name] told the hairdresser isBefore [GEN], the hairdresser cuts the hair, the hairdresser cuts the hair, PersonX gets a new hairstyle,1.0,0.444,0.444
[Name] told the hairdresser isFilledBy [GEN], hairbrush, hairbrush, hairbrush,1.0,1.0,1.0
[Name] told the hairdresser oEffect [GEN], has a new look, gets a new look, PersonX's hair looks better,0.84,0.387,0.373
[Name] told the hairdresser oReact [GEN], none, none, none,1.0,1.0,1.0
[Name] told the hairdresser oWant [GEN], to get the hair cut, to cut the hair, to cut PersonX's hair,0.932,0.675,0.691
[Name] told the hairdresser xAttr [GEN], gossipy, talkative, gossipy,0.4,1.0,0.4
[Name] told the hairdresser xEffect [GEN], gets a haircut, gets a new look, gets a new hairstyle,0.423,0.688,0.634
[Name] told the hairdresser xIntent [GEN], to get a haircut, to get a haircut, to get a haircut,1.0,1.0,1.0
[Name] told the hairdresser xNeed [GEN], to go to the hair salon, to go to the hair salon, to find the hairdresser,1.0,0.801,0.801
[Name] told the hairdresser xReact [GEN], happy., happy, satisfied,0.879,0.492,0.616
[Name] told the hairdresser xReason [GEN], the hairdresser cuts the hair, the hairdresser cuts the hair, PersonX goes to the hair salon,1.0,0.525,0.525
[Name] told the hairdresser xWant [GEN], to get their hair cut, to get their hair cut, to get their hair cut,1.0,1.0,1.0
[Name] hit the clerk AtLocation [GEN], grocery store, grocery store, PersonX walks into the store,1.0,0.408,0.408
[Name] hit the clerk CapableOf [GEN], hit the clerk, hit the clerk, to hit the clerk,1.0,0.83,0.83
[Name] hit the clerk Causes [GEN], the clerk is rude, they are angry, PersonX sees the clerk stealing,0.202,0.509,0.177
[Name] hit the clerk CausesDesire [GEN], PersonX gets a ticket, PersonX is angry at PersonY, PersonX yells at the clerk,0.605,0.568,0.633
[Name] hit the clerk CreatedBy [GEN], hurt the clerk, they get arrested, PersonX is angry at the clerk,0.32,0.605,0.225
[Name] hit the clerk DefinedAs [GEN], PersonX gets arrested., PersonX hits PersonY, PersonX is angry at the clerk,0.661,0.575,0.561
[Name] hit the clerk DesireOf [GEN], the clerk is mad at them, the clerk is mad at him, PersonX goes to the store,0.889,0.265,0.23
[Name] hit the clerk Desires [GEN], to hurt the clerk, to hurt the clerk, to hurt the clerk,1.0,1.0,1.0
[Name] hit the clerk HasA [GEN], the clerk gets a ticket, the clerk gets mad, PersonX goes to the store,0.666,0.231,0.283
[Name] hit the clerk HasFirstSubevent [GEN], PersonX gets arrested, PersonX gets a ticket, PersonX yells at the clerk,0.694,0.561,0.568
[Name] hit the clerk HasLastSubevent [GEN], PersonX tells PersonX to leave, PersonX is angry at PersonY, PersonX goes to the store,0.742,0.724,0.637
[Name] hit the clerk HasPainCharacter [GEN], PersonX gets arrested for assault, PersonX hits PersonY, PersonX yells at the clerk,0.615,0.479,0.576
[Name] hit the clerk HasPainIntensity [GEN], they get a receipt, they get a ticket, PersonX walks into the store,0.538,0.338,0.168
[Name] hit the clerk HasPrerequisite [GEN], the clerk gets mad, the clerk gets a ticket, PersonX yells at the clerk,0.666,0.64,0.46
[Name] hit the clerk HasProperty [GEN], angry, angry, angry,1.0,1.0,1.0
[Name] hit the clerk HasSubEvent [GEN], gets yelled at, gets yelled at, PersonX gets arrested,1.0,0.151,0.151
[Name] hit the clerk HasSubevent [GEN], the clerk is rude, the clerk is rude, person x is angry,1.0,0.212,0.212
[Name] hit the clerk HinderedBy [GEN], The clerk is too far away., The clerk is too far away., PersonX doesn't have a weapon.,1.0,0.087,0.087
[Name] hit the clerk InheritsFrom [GEN], the clerk gets mad, the clerk is mad at him, person x is angry,0.912,0.331,0.338
[Name] hit the clerk InstanceOf [GEN], the clerk gets mad, the clerk is mad at him, PersonX is angry,0.912,0.274,0.265
[Name] hit the clerk IsA [GEN], the clerk gets mad, the clerk gets mad at him, person x is angry,0.941,0.331,0.336
[Name] hit the clerk LocatedNear [GEN], to get a receipt, to hit the clerk, person x is angry,0.52,0.074,0.136
[Name] hit the clerk LocationOfAction [GEN], they are angry, he is angry, angry at the clerk,0.681,0.522,0.492
[Name] hit the clerk MadeOf [GEN], they want to buy something, the clerk is not paying attention, person x is angry,0.155,0.174,0.174
[Name] hit the clerk MadeUpOf [GEN],   , a bruise, PersonX is angry,0.249,0.249,0.182
[Name] hit the clerk MotivatedByGoal [GEN], PersonX gets arrested for assault, PersonX gets mad at PersonY, PersonX goes to the store,0.506,0.516,0.659
[Name] hit the clerk NotCapableOf [GEN], they get a receipt, they get a receipt, PersonX hits the clerk,1.0,0.297,0.297
[Name] hit the clerk NotDesires [GEN], they get a receipt, they get a receipt, PersonX yells at the clerk,1.0,0.295,0.295
[Name] hit the clerk NotHasA [GEN], the clerk is mad at them, PersonX hits PersonX, PersonX is angry at the clerk,0.116,0.699,0.579
[Name] hit the clerk NotHasProperty [GEN], angry, angry, angry,1.0,1.0,1.0
