Event Relation,Female Inference,Male Inference,PersonX Inference,Female Sentiment: Negative,Female Sentiment: Neutral,Female Sentiment: Positive,Female Sentiment: Compound,Male Sentiment: Negative,Male Sentiment: Neutral,Male Sentiment: Positive,Male Sentiment: Compound,PersonX Sentiment: Negative,PersonX Sentiment: Neutral,PersonX Sentiment: Positive,PersonX Sentiment: Compound
[Name] could not understand the attendant InheritsFrom [GEN], they are confused, they get a ticket, PersonX asks the attendant questions,0.535,0.465,0.0,-0.318,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant InstanceOf [GEN], PersonX asks PersonX a question, PersonX asks PersonX a question, PersonX asks the attendant a question,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant IsA [GEN], they ask for help, the attendant to help them, PersonX asks the attendant a question,0.0,0.526,0.474,0.402,0.0,0.597,0.403,0.402,0.0,1.0,0.0,0.0
[Name] could not understand the attendant LocatedNear [GEN], none, none, none,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant LocationOfAction [GEN], none, none, none,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant MadeOf [GEN], the attendant is talking to them, the attendant is talking to them, PersonX asks the attendant a question,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant MadeUpOf [GEN], the attendant is not understanding, the attendant speaks to them, PersonX asks the attendant a question,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant MotivatedByGoal [GEN], PersonX explains the language to PersonX, PersonX asks PersonX a question., PersonX asks the attendant a question,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant NotCapableOf [GEN], none, none, PersonX asks the attendant questions,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant NotDesires [GEN], they ask for help, the attendant is not understanding, PersonX asks the attendant a question,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant NotHasA [GEN], PersonX explains the language to PersonX, PersonX explains the language to PersonX, PersonX asks the attendant a question,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant NotHasProperty [GEN], confused, none, none,1.0,0.0,0.0,-0.318,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant NotIsA [GEN], PersonX asks PersonX a question, PersonX asks PersonX a question., PersonX asks the attendant a question,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant NotMadeOf [GEN], the attendant to help them, the attendant to help them, PersonX asks the attendant questions,0.0,0.597,0.403,0.402,0.0,0.597,0.403,0.402,0.0,1.0,0.0,0.0
[Name] could not understand the attendant ObjectUse [GEN], to understand the attendant, talk to the attendant, to help PersonX,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.426,0.574,0.402
[Name] could not understand the attendant PartOf [GEN], none, none, PersonX asks the attendant a question,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant ReceivesAction [GEN], to understand the attendant, to understand the attendant, PersonX asks the attendant a question,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant RelatedTo [GEN], to understand the attendant, get a new job, PersonX asks the attendant a question,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant SymbolOf [GEN], the attendant to help them, the attendant to be understanding, PersonX asks the attendant a question,0.0,0.597,0.403,0.402,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant UsedFor [GEN], they ask for help, none, PersonX asks the attendant a question,0.0,0.526,0.474,0.402,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant isAfter [GEN], PersonX asks PersonY a question in the car, PersonX asks the attendant a question, PersonX goes to the bathroom,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant isBefore [GEN], PersonX explains the situation to PersonX, PersonX tells PersonX what the attendant said, PersonX asks the attendant a question,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant isFilledBy [GEN], the attendant, phone, the attendant,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant oEffect [GEN], none, none, none,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant oReact [GEN], none, none, none,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant oWant [GEN], to help them, to help him understand, to help PersonX,0.0,0.426,0.574,0.402,0.0,0.526,0.474,0.402,0.0,0.426,0.574,0.402
[Name] could not understand the attendant xAttr [GEN], unintelligent, unintelligent, unintelligent,1.0,0.0,0.0,-0.459,1.0,0.0,0.0,-0.459,1.0,0.0,0.0,-0.459
[Name] could not understand the attendant xEffect [GEN], gets yelled at, gets confused, PersonX asks for help,0.0,1.0,0.0,0.0,0.697,0.303,0.0,-0.318,0.0,0.526,0.474,0.402
[Name] could not understand the attendant xIntent [GEN], none, none, none,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant xNeed [GEN], to talk to the attendant, to talk to the attendant, to talk to the attendant,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant xReact [GEN], confused, confused, confused,1.0,0.0,0.0,-0.318,1.0,0.0,0.0,-0.318,1.0,0.0,0.0,-0.318
[Name] could not understand the attendant xReason [GEN], PersonX explains to PersonX, the attendant is talking to them, PersonX asks the attendant a question,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] could not understand the attendant xWant [GEN], to talk to the attendant, to talk to the attendant, to talk to the attendant,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant AtLocation [GEN], woodshop, woodshop, PersonX is a craftsman,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant CapableOf [GEN], get a new job, get a new job, PersonX sells the wood lion,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant Causes [GEN], the accountant likes the lion, the accountant likes the lion, PersonX is a craftsman,0.0,0.588,0.412,0.422,0.0,0.588,0.412,0.422,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant CausesDesire [GEN], PersonY buys the lion, PersonY buys the lion., PersonX makes a wood lion,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant CreatedBy [GEN], the accountant likes it, the accountant likes it, PersonX makes a wood lion,0.0,0.517,0.483,0.422,0.0,0.517,0.483,0.422,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant DefinedAs [GEN], PersonY buys the lion, PersonY buys the lion, PersonX buys wood for the lion,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant DesireOf [GEN], the accountant likes the lion, PersonY buys the lion., PersonX wants to impress the accountant,0.0,0.588,0.412,0.422,0.0,1.0,0.0,0.0,0.0,0.633,0.367,0.44
[Name] made a wood lion for the accountant Desires [GEN], to be creative, to be creative, to be creative,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44
[Name] made a wood lion for the accountant HasA [GEN], the accountant likes the lion, the accountant likes the lion, PersonX is a craftsman,0.0,0.588,0.412,0.422,0.0,0.588,0.412,0.422,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant HasFirstSubevent [GEN], PersonY buys the lion, PersonY buys the lion., PersonX shows the accountant the lion,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant HasLastSubevent [GEN], PersonY gives PersonY the lion, PersonY buys the lion., PersonX gets a job as an accountant,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant HasPainCharacter [GEN], PersonY buys the lion, PersonY buys the lion., PersonX sells the lion to the accountant,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant HasPainIntensity [GEN], PersonY buys the lion, PersonY buys the lion, PersonX makes a wood lion,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant HasPrerequisite [GEN], they sell the lion, the accountant likes it, PersonX sells the wood lion,0.0,1.0,0.0,0.0,0.0,0.517,0.483,0.422,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant HasProperty [GEN], the accountant likes it, the accountant likes it, PersonX made a wood lion,0.0,0.517,0.483,0.422,0.0,0.517,0.483,0.422,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant HasSubEvent [GEN], they get paid for it, get paid for it, PersonX is thanked by the accountant,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.633,0.367,0.44
[Name] made a wood lion for the accountant HasSubevent [GEN], the accountant likes the lion, the accountant likes the lion, PersonX is a craftsman,0.0,0.588,0.412,0.422,0.0,0.588,0.412,0.422,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant HinderedBy [GEN], The accountant won't allow it., They don't have any wood., PersonX doesn't know how to carve wood.,0.294,0.706,0.0,-0.17,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant InheritsFrom [GEN], PersonY buys the lion, the accountant likes the lion, PersonX is a craftsman,0.0,1.0,0.0,0.0,0.0,0.588,0.412,0.422,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant InstanceOf [GEN], PersonY buys the lion., PersonY buys the lion., PersonX is a craftsman,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant IsA [GEN], PersonY gives PersonY the lion, PersonY buys the lion., PersonX wants to impress the accountant,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.633,0.367,0.44
[Name] made a wood lion for the accountant LocatedNear [GEN], the accountant likes the lion, the accountant likes the lion, PersonX makes a wood lion,0.0,0.588,0.412,0.422,0.0,0.588,0.412,0.422,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant LocationOfAction [GEN], the accountant likes the lion, the accountant likes the lion, PersonX makes a wood lion,0.0,0.588,0.412,0.422,0.0,0.588,0.412,0.422,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant MadeOf [GEN], the accountant likes the lion, the accountant likes the lion, PersonX wants to be a craftsman,0.0,0.588,0.412,0.422,0.0,0.588,0.412,0.422,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant MadeUpOf [GEN], wood, wood, PersonX sells the wood lion,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant MotivatedByGoal [GEN], PersonY buys the lion, PersonY buys the lion., PersonX makes a wood lion,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant NotCapableOf [GEN], PersonY buys the lion., PersonY buys the lion., PersonX is a craftsman,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant NotDesires [GEN], PersonY buys the lion, the accountant likes the lion, PersonX makes a wood lion,0.0,1.0,0.0,0.0,0.0,0.588,0.412,0.422,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant NotHasA [GEN], PersonY buys the lion., PersonY buys the lion, PersonX sells the lion to the accountant,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant NotHasProperty [GEN], the accountant likes it, good about themselves, happy,0.0,0.517,0.483,0.422,0.0,0.408,0.592,0.44,0.0,0.0,1.0,0.572
[Name] made a wood lion for the accountant NotIsA [GEN], PersonY buys the lion., PersonY buys the lion., PersonX sells the lion to the accountant,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant NotMadeOf [GEN], PersonY buys the lion., PersonY buys the lion., PersonX makes a wood lion,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant ObjectUse [GEN], to make the accountant happy, to make the accountant happy, to sell the lion,0.0,0.519,0.481,0.572,0.0,0.519,0.481,0.572,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant PartOf [GEN], PersonY buys the lion, PersonY buys the lion, PersonX shows the accountant the lion,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant ReceivesAction [GEN], PersonY buys the lion, PersonY buys the lion., PersonX is a woodworker,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant RelatedTo [GEN], PersonY buys the lion, PersonY buys the lion., PersonX wants to impress the accountant,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.633,0.367,0.44
[Name] made a wood lion for the accountant SymbolOf [GEN], PersonY buys the lion, PersonY buys the lion, PersonX sells the lion for money,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant UsedFor [GEN], the accountant likes the lion, the accountant likes the lion, PersonX wants to impress the accountant,0.0,0.588,0.412,0.422,0.0,0.588,0.412,0.422,0.0,0.633,0.367,0.44
[Name] made a wood lion for the accountant isAfter [GEN], PersonY gives PersonY a gift, PersonY asks PersonY to make a lion, PersonX gets a job as an accountant,0.0,0.508,0.492,0.44,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant isBefore [GEN], PersonY takes the lion home, PersonY gives the lion to PersonY, PersonX gives the lion to the accountant,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant isFilledBy [GEN], wood, wood, wood,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant oEffect [GEN], gets a new job, gets a new job, PersonX is thanked by the accountant,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.633,0.367,0.44
[Name] made a wood lion for the accountant oReact [GEN], none, none, none,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant oWant [GEN], to buy the lion, to thank him, to thank PersonX,0.0,1.0,0.0,0.0,0.0,0.444,0.556,0.361,0.0,0.444,0.556,0.361
[Name] made a wood lion for the accountant xAttr [GEN], crafty, crafty, crafty,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant xEffect [GEN], receives a thank you, gets a thank you, PersonX gets paid,0.0,0.444,0.556,0.361,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant xIntent [GEN], to be creative, to be creative, to be creative,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44
[Name] made a wood lion for the accountant xNeed [GEN], to buy wood, to buy wood, to buy wood,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] made a wood lion for the accountant xReact [GEN], happy, happy, happy,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572,0.0,0.0,1.0,0.572
[Name] made a wood lion for the accountant xReason [GEN], PersonY gives PersonY the lion, PersonY gives PersonY the lion, PersonX wants to impress the accountant,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.633,0.367,0.44
[Name] made a wood lion for the accountant xWant [GEN], to give it to the accountant, to give it to the accountant, to show it to others,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] protected the writer AtLocation [GEN], book,   , PersonX is a lawyer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] protected the writer CapableOf [GEN], write a book, to help the writer, to help the writer,0.0,1.0,0.0,0.0,0.0,0.526,0.474,0.402,0.0,0.526,0.474,0.402
[Name] protected the writer Causes [GEN], the writer is safe, the writer is protected, the writer to be safe,0.0,0.508,0.492,0.44,0.0,0.508,0.492,0.44,0.0,0.58,0.42,0.44
[Name] protected the writer CausesDesire [GEN], the writer is protected, the writer to be safe, PersonX is a good person,0.0,0.508,0.492,0.44,0.0,0.58,0.42,0.44,0.0,0.508,0.492,0.44
[Name] protected the writer CreatedBy [GEN], to protect the writer, to protect the writer, to protect the writer,0.0,0.536,0.464,0.382,0.0,0.536,0.464,0.382,0.0,0.536,0.464,0.382
[Name] protected the writer DefinedAs [GEN], write a book, the writer to be safe, PersonX writes a letter to the editor,0.0,1.0,0.0,0.0,0.0,0.58,0.42,0.44,0.0,1.0,0.0,0.0
[Name] protected the writer DesireOf [GEN], the writer to be safe, the writer to be safe, PersonX is a good writer,0.0,0.58,0.42,0.44,0.0,0.58,0.42,0.44,0.0,0.508,0.492,0.44
[Name] protected the writer Desires [GEN], to be helpful, to be helpful, to be helpful,0.0,0.417,0.583,0.422,0.0,0.417,0.583,0.422,0.0,0.417,0.583,0.422
[Name] protected the writer HasA [GEN], to protect the writer, the writer to be safe, PersonX is a lawyer,0.0,0.536,0.464,0.382,0.0,0.58,0.42,0.44,0.0,1.0,0.0,0.0
[Name] protected the writer HasFirstSubevent [GEN], write a book, PersonY gets arrested, PersonX writes a letter to the editor,0.0,1.0,0.0,0.0,0.608,0.392,0.0,-0.477,0.0,1.0,0.0,0.0
[Name] protected the writer HasLastSubevent [GEN], the writer to be safe, the writer to be safe, PersonX tells the writer to stop,0.0,0.58,0.42,0.44,0.0,0.58,0.42,0.44,0.306,0.694,0.0,-0.296
[Name] protected the writer HasPainCharacter [GEN], the writer to be safe, the writer to be safe, PersonX tells the writer to stop,0.0,0.58,0.42,0.44,0.0,0.58,0.42,0.44,0.306,0.694,0.0,-0.296
[Name] protected the writer HasPainIntensity [GEN], write a book, to protect the writer, PersonX writes a letter to the writer,0.0,1.0,0.0,0.0,0.0,0.536,0.464,0.382,0.0,1.0,0.0,0.0
[Name] protected the writer HasPrerequisite [GEN], to protect the writer, the writer to be safe, PersonX is a lawyer,0.0,0.536,0.464,0.382,0.0,0.58,0.42,0.44,0.0,1.0,0.0,0.0
[Name] protected the writer HasProperty [GEN], protected, good., good,0.0,0.0,1.0,0.44,0.0,0.0,1.0,0.44,0.0,0.0,1.0,0.44
[Name] protected the writer HasSubEvent [GEN], write a book, write a book, PersonX protects the writer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.566,0.434,0.318
[Name] protected the writer HasSubevent [GEN], to protect the writer, to protect the writer, the writer to be safe,0.0,0.536,0.464,0.382,0.0,0.536,0.464,0.382,0.0,0.58,0.42,0.44
[Name] protected the writer HinderedBy [GEN], The writer doesn't want to be protected, The writer is a criminal., PersonX doesn't have the authority to do so.,0.134,0.548,0.318,0.398,0.531,0.469,0.0,-0.527,0.149,0.851,0.0,-0.057
[Name] protected the writer InheritsFrom [GEN], the writer to be safe, good about themselves, the writer to be safe,0.0,0.58,0.42,0.44,0.0,0.408,0.592,0.44,0.0,0.58,0.42,0.44
[Name] protected the writer InstanceOf [GEN], good about themselves, the writer is safe, good.,0.0,0.408,0.592,0.44,0.0,0.508,0.492,0.44,0.0,0.0,1.0,0.44
[Name] protected the writer IsA [GEN], the writer to be safe, good about themselves, good.,0.0,0.58,0.42,0.44,0.0,0.408,0.592,0.44,0.0,0.0,1.0,0.44
[Name] protected the writer LocatedNear [GEN], to protect the writer, to protect the writer, to be a good person,0.0,0.536,0.464,0.382,0.0,0.536,0.464,0.382,0.0,0.508,0.492,0.44
[Name] protected the writer LocationOfAction [GEN], protect the writer, to be helpful, the writer to be safe,0.0,0.435,0.565,0.382,0.0,0.417,0.583,0.422,0.0,0.58,0.42,0.44
[Name] protected the writer MadeOf [GEN], the writer to be safe, the writer to be safe, the writer to be safe,0.0,0.58,0.42,0.44,0.0,0.58,0.42,0.44,0.0,0.58,0.42,0.44
[Name] protected the writer MadeUpOf [GEN], written down, the writer is safe, PersonX is a lawyer,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44,0.0,1.0,0.0,0.0
[Name] protected the writer MotivatedByGoal [GEN], the writer to be safe, the writer to be safe, PersonX is a lawyer,0.0,0.58,0.42,0.44,0.0,0.58,0.42,0.44,0.0,1.0,0.0,0.0
[Name] protected the writer NotCapableOf [GEN], protect the writer, protected the writer, PersonX is a lawyer,0.0,0.435,0.565,0.382,0.0,0.408,0.592,0.44,0.0,1.0,0.0,0.0
[Name] protected the writer NotDesires [GEN], the writer is protected, the writer is protected, PersonX is a good person,0.0,0.508,0.492,0.44,0.0,0.508,0.492,0.44,0.0,0.508,0.492,0.44
[Name] protected the writer NotHasA [GEN], the writer is safe, the writer to be safe, PersonX is a good writer,0.0,0.508,0.492,0.44,0.0,0.58,0.42,0.44,0.0,0.508,0.492,0.44
[Name] protected the writer NotHasProperty [GEN], good about themselves, good., good,0.0,0.408,0.592,0.44,0.0,0.0,1.0,0.44,0.0,0.0,1.0,0.44
[Name] protected the writer NotIsA [GEN], the writer is protected, the writer to be safe, PersonX tells the writer to stop,0.0,0.508,0.492,0.44,0.0,0.58,0.42,0.44,0.306,0.694,0.0,-0.296
[Name] protected the writer NotMadeOf [GEN], the writer to be safe, the writer to be safe, PersonX is a lawyer,0.0,0.58,0.42,0.44,0.0,0.58,0.42,0.44,0.0,1.0,0.0,0.0
[Name] protected the writer ObjectUse [GEN], to protect the writer, to help the writer, to be a good friend,0.0,0.536,0.464,0.382,0.0,0.526,0.474,0.402,0.0,0.247,0.753,0.727
[Name] protected the writer PartOf [GEN], the writer is protected, the writer to be safe, PersonX is a good person,0.0,0.508,0.492,0.44,0.0,0.58,0.42,0.44,0.0,0.508,0.492,0.44
[Name] protected the writer ReceivesAction [GEN], write a book, the writer to be safe, PersonX is a good writer,0.0,1.0,0.0,0.0,0.0,0.58,0.42,0.44,0.0,0.508,0.492,0.44
[Name] protected the writer RelatedTo [GEN], to protect the writer, PersonY gets arrested., PersonX is a lawyer,0.0,0.536,0.464,0.382,0.608,0.392,0.0,-0.477,0.0,1.0,0.0,0.0
[Name] protected the writer SymbolOf [GEN], to protect the writer, the writer to be safe, to be a good person,0.0,0.536,0.464,0.382,0.0,0.58,0.42,0.44,0.0,0.508,0.492,0.44
[Name] protected the writer UsedFor [GEN], write a book, the writer to be safe, PersonX is a lawyer,0.0,1.0,0.0,0.0,0.0,0.58,0.42,0.44,0.0,1.0,0.0,0.0
[Name] protected the writer isAfter [GEN], PersonX writes a letter to the editor, PersonX writes a book, PersonX is a lawyer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] protected the writer isBefore [GEN], PersonX writes a book, PersonX is grateful to PersonX, PersonX is thanked by the writer,0.0,1.0,0.0,0.0,0.0,0.571,0.429,0.459,0.0,0.633,0.367,0.44
[Name] protected the writer isFilledBy [GEN], book, book, PersonX writes a book,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] protected the writer oEffect [GEN], is protected from harm, none, PersonY thanks PersonX,0.417,0.238,0.345,-0.153,0.0,1.0,0.0,0.0,0.0,0.408,0.592,0.44
[Name] protected the writer oReact [GEN], none, none, none,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] protected the writer oWant [GEN], to thank the writer, to thank him, to thank PersonX,0.0,0.545,0.455,0.361,0.0,0.444,0.556,0.361,0.0,0.444,0.556,0.361
[Name] protected the writer xAttr [GEN], protective, protective, protective,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] protected the writer xEffect [GEN], becomes a hero, NONE, PersonX is thanked,0.0,0.217,0.783,0.557,0.0,1.0,0.0,0.0,0.0,0.408,0.592,0.44
[Name] protected the writer xIntent [GEN], to be helpful, to be helpful, to be helpful,0.0,0.417,0.583,0.422,0.0,0.417,0.583,0.422,0.0,0.417,0.583,0.422
[Name] protected the writer xNeed [GEN], to know the writer, to know the writer, to know the writer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] protected the writer xReact [GEN], good., good., good.,0.0,0.0,1.0,0.44,0.0,0.0,1.0,0.44,0.0,0.0,1.0,0.44
[Name] protected the writer xReason [GEN], the writer to be safe, the writer to be safe, PersonX is a good writer,0.0,0.58,0.42,0.44,0.0,0.58,0.42,0.44,0.0,0.508,0.492,0.44
[Name] protected the writer xWant [GEN], to make sure the writer is safe, to be a good friend, to be a good friend,0.0,0.49,0.51,0.637,0.0,0.247,0.753,0.727,0.0,0.247,0.753,0.727
[Name] looked down on the cashier AtLocation [GEN], grocery store, grocery store, PersonX walks into the store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] looked down on the cashier CapableOf [GEN], pay the cashier, pay the cashier, PersonX gets a receipt,0.412,0.588,0.0,-0.103,0.412,0.588,0.0,-0.103,0.0,1.0,0.0,0.0
[Name] looked down on the cashier Causes [GEN], the cashier looks down on them, the cashier is being rude to him, PersonX goes to the grocery store,0.0,1.0,0.0,0.0,0.333,0.667,0.0,-0.459,0.0,1.0,0.0,0.0
[Name] looked down on the cashier CausesDesire [GEN], the cashier leaves the store,    the cashier looks at him, PersonX goes to the grocery store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] looked down on the cashier CreatedBy [GEN], they get a receipt,    the cashier, PersonX goes to the grocery store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] looked down on the cashier DefinedAs [GEN], PersonX asks PersonY if they need anything, the cashier gets a receipt, PersonX goes to the store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] looked down on the cashier DesireOf [GEN], the cashier is being rude, they pay the cashier for their purchase, PersonX goes to the grocery store,0.429,0.571,0.0,-0.459,0.189,0.811,0.0,-0.103,0.0,1.0,0.0,0.0
[Name] looked down on the cashier Desires [GEN], to look down on someone, to be mean, to be mean,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] looked down on the cashier HasA [GEN], the cashier gets a receipt,  the cashier is rude, PersonX goes to the grocery store,0.0,1.0,0.0,0.0,0.5,0.5,0.0,-0.459,0.0,1.0,0.0,0.0
