Event Relation,Female Inference,Male Inference,Unisex Inference,Female-Male Similarity,Female-Unisex Similarity,Male-Unisex Similarity
[Name] bought a beer for the cashier Causes [GEN],drink,buy more,buy more,0.3,0.3,1.0
[Name] bought a beer for the cashier CausesDesire [GEN],beer,buy another,beer,0.239,1.0,0.239
[Name] bought a beer for the cashier CreatedBy [GEN],beer,buy another,buy beer,0.239,0.732,0.384
[Name] bought a beer for the cashier DefinedAs [GEN],bottle,buy another,beer,0.297,0.592,0.239
[Name] bought a beer for the cashier DesireOf [GEN],beer,buy beer,beer,0.732,1.0,0.732
[Name] bought a beer for the cashier Desires [GEN],drink,to thank the cashier,buy another beer,0.195,0.562,0.099
[Name] bought a beer for the cashier HasA [GEN],beer,buy another,buy beer,0.239,0.732,0.384
[Name] bought a beer for the cashier HasFirstSubevent [GEN],drink,buy more,drink,0.3,1.0,0.3
[Name] bought a beer for the cashier HasLastSubevent [GEN],drink,drink,drink,1.0,1.0,1.0
[Name] bought a beer for the cashier HasPainCharacter [GEN],bottle,drink,beer,0.546,0.592,0.697
[Name] bought a beer for the cashier HasPainIntensity [GEN],truck,drink,beer,0.286,0.451,0.697
[Name] bought a beer for the cashier HasPrerequisite [GEN],bottle,buy another,beer,0.297,0.592,0.239
[Name] bought a beer for the cashier HasProperty [GEN],drunk,short for cashier,kids,0.163,0.369,0.154
[Name] bought a beer for the cashier HasSubEvent [GEN],drink beer,get change,get change,0.163,0.163,1.0
[Name] bought a beer for the cashier HasSubevent [GEN],beer,buy beer,beer,0.732,1.0,0.732
[Name] bought a beer for the cashier HinderedBy [GEN],PersonX has no money.,PersonX has no money.,PersonX has no money.,1.0,1.0,1.0
[Name] bought a beer for the cashier InheritsFrom [GEN],beer,drink,beer,0.697,1.0,0.697
[Name] bought a beer for the cashier InstanceOf [GEN],truck,buy another,buy beer,0.225,0.253,0.384
[Name] bought a beer for the cashier IsA [GEN],bottle,buy more,drink,0.334,0.546,0.3
[Name] bought a beer for the cashier LocatedNear [GEN],beer,drink,beer,0.697,1.0,0.697
[Name] bought a beer for the cashier LocationOfAction [GEN],beer,buy beer,beer,0.732,1.0,0.732
[Name] bought a beer for the cashier MadeOf [GEN],drink,to sell the beer,buy beer,0.459,0.619,0.695
[Name] bought a beer for the cashier MadeUpOf [GEN],beer,beer,beer,1.0,1.0,1.0
[Name] bought a beer for the cashier MotivatedByGoal [GEN],drink,buy another,buy beer,0.351,0.619,0.384
[Name] bought a beer for the cashier NotCapableOf [GEN],beer,buy more,buy beer,0.24,0.732,0.418
[Name] bought a beer for the cashier NotDesires [GEN],bottle,buy another beer,buy beer,0.355,0.375,0.79
[Name] bought a beer for the cashier NotHasA [GEN],beer,drink,beer,0.697,1.0,0.697
[Name] bought a beer for the cashier NotHasProperty [GEN],beer,buy beer,beer,0.732,1.0,0.732
[Name] bought a beer for the cashier NotIsA [GEN],drink,buy another,buy beer,0.351,0.619,0.384
[Name] bought a beer for the cashier NotMadeOf [GEN],beer,buy another,beer,0.239,1.0,0.239
[Name] bought a beer for the cashier ObjectUse [GEN],give to the cashier,give to the cashier,give to the cashier,1.0,1.0,1.0
[Name] bought a beer for the cashier PartOf [GEN],drink,buy beer,beer,0.619,0.697,0.732
[Name] bought a beer for the cashier ReceivesAction [GEN],beer,to thank the cashier,drink,0.226,0.697,0.195
[Name] bought a beer for the cashier RelatedTo [GEN],beer,buy another,beer,0.239,1.0,0.239
[Name] bought a beer for the cashier SymbolOf [GEN],beer,buy another,beer,0.239,1.0,0.239
[Name] bought a beer for the cashier UsedFor [GEN],beer,buy another,beer,0.239,1.0,0.239
[Name] bought a beer for the cashier isAfter [GEN],PersonX goes to the store,PersonX goes to the store,PersonX goes to the store,1.0,1.0,1.0
[Name] bought a beer for the cashier isBefore [GEN],PersonX pays for the beer,PersonX pays for the beer,PersonX pays for the beer,1.0,1.0,1.0
[Name] bought a beer for the cashier isFilledBy [GEN],beer,beer,beer,1.0,1.0,1.0
[Name] bought a beer for the cashier oEffect [GEN],smiles,smiles,receives money,1.0,0.15,0.15
[Name] bought a beer for the cashier oReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] bought a beer for the cashier oWant [GEN],to thank them,to thank him,to thank them,0.828,1.0,0.828
[Name] bought a beer for the cashier xAttr [GEN],generous,generous,generous,1.0,1.0,1.0
[Name] bought a beer for the cashier xEffect [GEN],gets change,gets change,gets change,1.0,1.0,1.0
[Name] bought a beer for the cashier xIntent [GEN],to be generous,to be generous,to be generous,1.0,1.0,1.0
[Name] bought a beer for the cashier xNeed [GEN],have money,to go to the store,have money,0.36,1.0,0.36
[Name] bought a beer for the cashier xReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] bought a beer for the cashier xReason [GEN],the cashier is drunk,they want to buy beer,the cashier is drunk,0.251,1.0,0.251
[Name] bought a beer for the cashier xWant [GEN],to thank the cashier,to thank the cashier,to thank the cashier,1.0,1.0,1.0
[Name] missed the call from the assistant AtLocation [GEN],desk,office,office,0.659,0.659,1.0
[Name] missed the call from the assistant CapableOf [GEN],call,call,call,1.0,1.0,1.0
[Name] missed the call from the assistant Causes [GEN],disappointed,disappointed,disappointed,1.0,1.0,1.0
[Name] missed the call from the assistant CausesDesire [GEN],phone,call,get fired,0.575,0.234,0.254
[Name] missed the call from the assistant CreatedBy [GEN],call,call,get fired,1.0,0.254,0.254
[Name] missed the call from the assistant DefinedAs [GEN],call,call,get fired,1.0,0.254,0.254
[Name] missed the call from the assistant DesireOf [GEN],call,call,get fired,1.0,0.254,0.254
[Name] missed the call from the assistant Desires [GEN],bad news,bad news,sad,1.0,0.532,0.532
[Name] missed the call from the assistant HasA [GEN],call,get fired,sad,0.254,0.161,0.191
[Name] missed the call from the assistant HasFirstSubevent [GEN],disappointed,miss,get fired,0.396,0.275,0.253
[Name] missed the call from the assistant HasLastSubevent [GEN],bad,get fired,get fired,0.204,0.204,1.0
[Name] missed the call from the assistant HasPainCharacter [GEN],bad news,call,get fired,0.173,0.24,0.254
[Name] missed the call from the assistant HasPainIntensity [GEN],call,get fired,bad,0.254,0.202,0.204
[Name] missed the call from the assistant HasPrerequisite [GEN],phone,call,get fired,0.575,0.234,0.254
[Name] missed the call from the assistant HasProperty [GEN],bad,nervous,sad,0.335,0.45,0.23
[Name] missed the call from the assistant HasSubEvent [GEN],get yelled at,get yelled at,get fired,1.0,0.428,0.428
[Name] missed the call from the assistant HasSubevent [GEN],call,call,bad,1.0,0.202,0.202
[Name] missed the call from the assistant HinderedBy [GEN],Sophia missed the call from the assistant,PersonX is in a meeting.,the assistant is on the phone,0.207,0.522,0.34
[Name] missed the call from the assistant InheritsFrom [GEN],call,call,sad,1.0,0.161,0.161
[Name] missed the call from the assistant InstanceOf [GEN],bus,call,get fired,0.233,0.154,0.254
[Name] missed the call from the assistant IsA [GEN],call,call,sad,1.0,0.161,0.161
[Name] missed the call from the assistant LocatedNear [GEN],responsible,call,bad,0.293,0.153,0.202
[Name] missed the call from the assistant LocationOfAction [GEN],call,call,get fired,1.0,0.254,0.254
[Name] missed the call from the assistant MadeOf [GEN],responsible,call,sad,0.293,0.119,0.161
[Name] missed the call from the assistant MadeUpOf [GEN],phone,phone,missile,1.0,0.291,0.291
[Name] missed the call from the assistant MotivatedByGoal [GEN],bus,call,get fired,0.233,0.154,0.254
[Name] missed the call from the assistant NotCapableOf [GEN],call,call,get fired,1.0,0.254,0.254
[Name] missed the call from the assistant NotDesires [GEN],call,call,sad,1.0,0.161,0.161
[Name] missed the call from the assistant NotHasA [GEN],call,call,sad,1.0,0.161,0.161
[Name] missed the call from the assistant NotHasProperty [GEN],call,call,satisfied,1.0,0.265,0.265
[Name] missed the call from the assistant NotIsA [GEN],bad,get fired,bad,0.204,1.0,0.204
[Name] missed the call from the assistant NotMadeOf [GEN],call,call,sad,1.0,0.161,0.161
[Name] missed the call from the assistant ObjectUse [GEN],make a phone call,get into trouble,get in trouble,0.191,0.177,0.976
[Name] missed the call from the assistant PartOf [GEN],call,call,get fired,1.0,0.254,0.254
[Name] missed the call from the assistant ReceivesAction [GEN],call,get fired,get fired,0.254,0.254,1.0
[Name] missed the call from the assistant RelatedTo [GEN],bad,call,sad,0.202,0.45,0.161
[Name] missed the call from the assistant SymbolOf [GEN],call,call,sad,1.0,0.161,0.161
[Name] missed the call from the assistant UsedFor [GEN],call,call,get fired,1.0,0.254,0.254
[Name] missed the call from the assistant isAfter [GEN],PersonX misses the call,PersonX misses the call,PersonX misses the call,1.0,1.0,1.0
[Name] missed the call from the assistant isBefore [GEN],PersonX gets fired,PersonX misses the game,PersonX gets fired,0.689,1.0,0.689
[Name] missed the call from the assistant isFilledBy [GEN],doctor,dog,dog,0.4,0.4,1.0
[Name] missed the call from the assistant oEffect [GEN],gets fired,gets yelled at,gets fired,0.557,1.0,0.557
[Name] missed the call from the assistant oReact [GEN],disappointed,disappointed,disappointed,1.0,1.0,1.0
[Name] missed the call from the assistant oWant [GEN],to apologize,to yell at personX,to yell at PersonX,0.406,0.406,1.0
[Name] missed the call from the assistant xAttr [GEN],irresponsible,irresponsible,irresponsible,1.0,1.0,1.0
[Name] missed the call from the assistant xEffect [GEN],gets yelled at,gets yelled at,gets fired,1.0,0.557,0.557
[Name] missed the call from the assistant xIntent [GEN],to be late,to be late,to be late,1.0,1.0,1.0
[Name] missed the call from the assistant xNeed [GEN],have phone number,get in car,get in car,0.209,0.209,1.0
[Name] missed the call from the assistant xReact [GEN],disappointed,disappointed,disappointed,1.0,1.0,1.0
[Name] missed the call from the assistant xReason [GEN],they are late,he was late,he was late,0.648,0.648,1.0
[Name] missed the call from the assistant xWant [GEN],to try to call,to try again,to yell at the assistant,0.552,0.482,0.277
[Name] splashed the editor AtLocation [GEN],newspaper,magazine,newspaper,0.543,1.0,0.543
[Name] splashed the editor CapableOf [GEN],page editor,get fired,page editor,0.035,1.0,0.035
[Name] splashed the editor Causes [GEN],disappointed,rejection,informative,0.439,0.194,0.026
[Name] splashed the editor CausesDesire [GEN],get fired,sport,splash,0.25,0.187,0.363
[Name] splashed the editor CreatedBy [GEN],desperate,sport,splash,0.313,0.297,0.363
[Name] splashed the editor DefinedAs [GEN],editor,diamonds,splash,0.144,0.153,0.247
[Name] splashed the editor DesireOf [GEN],editor,box,splash,0.216,0.153,0.23
[Name] splashed the editor Desires [GEN],to show off,to show off,to make money,1.0,0.515,0.515
[Name] splashed the editor HasA [GEN],splash,satisfied,splash,0.219,1.0,0.219
[Name] splashed the editor HasFirstSubevent [GEN],desperate,magazine,splash,0.267,0.297,0.235
[Name] splashed the editor HasLastSubevent [GEN],the editor,to make money,splash,0.262,0.14,0.178
[Name] splashed the editor HasPainCharacter [GEN],splash,magazine,splash,0.235,1.0,0.235
[Name] splashed the editor HasPainIntensity [GEN],get fired,diamonds,splash,0.205,0.187,0.247
[Name] splashed the editor HasPrerequisite [GEN],the editor,diamonds,splash,0.132,0.14,0.247
[Name] splashed the editor HasProperty [GEN],bad,bad,powerful,1.0,0.411,0.411
[Name] splashed the editor HasSubEvent [GEN],apologize,get fired,get fired,0.267,0.267,1.0
[Name] splashed the editor HasSubevent [GEN],the editor,box,splash,0.206,0.14,0.23
[Name] splashed the editor HinderedBy [GEN],PersonX doesn't know what to say.,PersonX doesn't know how.,PersonX doesn't know how.,0.828,0.828,1.0
[Name] splashed the editor InheritsFrom [GEN],the editor,diamonds,splash,0.132,0.14,0.247
[Name] splashed the editor InstanceOf [GEN],the editor,bathing suit,splash,0.231,0.14,0.415
[Name] splashed the editor IsA [GEN],get fired,diamonds,splash,0.205,0.187,0.247
[Name] splashed the editor LocatedNear [GEN],get fired,informative,splash,0.184,0.187,0.15
[Name] splashed the editor LocationOfAction [GEN],the editor,sport,splash,0.222,0.14,0.363
[Name] splashed the editor MadeOf [GEN],the editor,to make money,informative,0.262,0.202,0.232
[Name] splashed the editor MadeUpOf [GEN],letter,bathing suit,water,0.226,0.331,0.495
[Name] splashed the editor MotivatedByGoal [GEN],desperate,sport,splash,0.313,0.297,0.363
[Name] splashed the editor NotCapableOf [GEN],desperate,diamonds,splash,0.255,0.297,0.247
[Name] splashed the editor NotDesires [GEN],the editor,sport,splash,0.222,0.14,0.363
[Name] splashed the editor NotHasA [GEN],desperate,diamonds,splash,0.255,0.297,0.247
[Name] splashed the editor NotHasProperty [GEN],the editor,magazine,splash,0.38,0.14,0.235
[Name] splashed the editor NotIsA [GEN],the editor,diamonds,splash,0.132,0.14,0.247
[Name] splashed the editor NotMadeOf [GEN],editor,diamonds,splash,0.144,0.153,0.247
[Name] splashed the editor ObjectUse [GEN],get attention,get attention,scare someone,1.0,0.367,0.367
[Name] splashed the editor PartOf [GEN],desperate,magazine,splash,0.267,0.297,0.235
[Name] splashed the editor ReceivesAction [GEN],the editor,sport,splash,0.222,0.14,0.363
[Name] splashed the editor RelatedTo [GEN],the editor,sport,splash,0.222,0.14,0.363
[Name] splashed the editor SymbolOf [GEN],the editor,sport,splash,0.222,0.14,0.363
[Name] splashed the editor UsedFor [GEN],get fired,sport,splash,0.25,0.187,0.363
[Name] splashed the editor isAfter [GEN],PersonX writes a poem,PersonX hits a baseball bat,PersonX writes a story,0.44,0.786,0.49
[Name] splashed the editor isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired,1.0,1.0,1.0
[Name] splashed the editor isFilledBy [GEN],magazine,water,water,0.25,0.25,1.0
[Name] splashed the editor oEffect [GEN],gets yelled at,gets yelled at,gets yelled at,1.0,1.0,1.0
[Name] splashed the editor oReact [GEN],disappointed,disappointed,disappointed,1.0,1.0,1.0
[Name] splashed the editor oWant [GEN],to yell at personX,to yell at personX,to yell at person x,1.0,0.793,0.793
[Name] splashed the editor xAttr [GEN],irresponsible,mean,mean,0.232,0.232,1.0
[Name] splashed the editor xEffect [GEN],gets fired,gets fired,gets fired,1.0,1.0,1.0
[Name] splashed the editor xIntent [GEN],to be funny,to show off,to be funny,0.541,1.0,0.541
[Name] splashed the editor xNeed [GEN],have a reason,to go to the store,to be in charge,0.226,0.256,0.35
[Name] splashed the editor xReact [GEN],guilty,happy,powerful,0.299,0.328,0.281
[Name] splashed the editor xReason [GEN],the editor is not paying attention,the editor is jealous,the editor is mad,0.652,0.707,0.795
[Name] splashed the editor xWant [GEN],to apologize,to apologize,to apologize,1.0,1.0,1.0
[Name] asked the physician AtLocation [GEN],doctor,doctor,medicine chest,1.0,0.506,0.506
[Name] asked the physician CapableOf [GEN],ask questions,call doctor,question doctor,0.155,0.368,0.48
[Name] asked the physician Causes [GEN],better health,better,better health,0.509,1.0,0.509
[Name] asked the physician CausesDesire [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] asked the physician CreatedBy [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] asked the physician DefinedAs [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] asked the physician DesireOf [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician Desires [GEN],healthy,to know the answer,to know the answer,0.211,0.211,1.0
[Name] asked the physician HasA [GEN],health problem,doctor,doctor,0.462,0.462,1.0
[Name] asked the physician HasFirstSubevent [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician HasLastSubevent [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician HasPainCharacter [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician HasPainIntensity [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] asked the physician HasPrerequisite [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician HasProperty [GEN],sick,nervous,nervous,0.274,0.274,1.0
[Name] asked the physician HasSubEvent [GEN],is asked questions,take medicine,get answers,0.169,0.411,0.276
[Name] asked the physician HasSubevent [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician HinderedBy [GEN],PersonX doesn't know the doctor.,PersonX doesn't know the doctor.,PersonX doesn't know the doctor.,1.0,1.0,1.0
[Name] asked the physician InheritsFrom [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician InstanceOf [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician IsA [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician LocatedNear [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician LocationOfAction [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician MadeOf [GEN],health problem,doctor,doctor,0.462,0.462,1.0
[Name] asked the physician MadeUpOf [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] asked the physician MotivatedByGoal [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] asked the physician NotCapableOf [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician NotDesires [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician NotHasA [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician NotHasProperty [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician NotIsA [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] asked the physician NotMadeOf [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] asked the physician ObjectUse [GEN],get a prescription,get medical attention,get advice,0.414,0.265,0.38
[Name] asked the physician PartOf [GEN],health problem,doctor,doctor,0.462,0.462,1.0
[Name] asked the physician ReceivesAction [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician RelatedTo [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] asked the physician SymbolOf [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician UsedFor [GEN],health,doctor,doctor,0.5,0.5,1.0
[Name] asked the physician isAfter [GEN],PersonX is feeling sick,PersonX is feeling sick,PersonX sees a doctor,1.0,0.682,0.682
[Name] asked the physician isBefore [GEN],PersonX gets a prescription,PersonX gets a prescription,PersonX gets a prescription,1.0,1.0,1.0
[Name] asked the physician isFilledBy [GEN],doctor,doctor,doctor,1.0,1.0,1.0
[Name] asked the physician oEffect [GEN],is asked questions,is asked questions,is asked questions,1.0,1.0,1.0
[Name] asked the physician oReact [GEN],worried,worried,worried,1.0,1.0,1.0
[Name] asked the physician oWant [GEN],to prescribe medicine,to prescribe medicine,to ask questions,1.0,0.328,0.328
[Name] asked the physician xAttr [GEN],curious,curious,curious,1.0,1.0,1.0
[Name] asked the physician xEffect [GEN],is asked questions,is asked questions,is asked questions,1.0,1.0,1.0
[Name] asked the physician xIntent [GEN],to know the answer,to know,to know the answer,0.612,1.0,0.612
[Name] asked the physician xNeed [GEN],call the doctor,call doctor,call doctor,0.939,0.939,1.0
[Name] asked the physician xReact [GEN],relieved,worried,relieved,0.426,1.0,0.426
[Name] asked the physician xReason [GEN],sick,sick,worried,1.0,0.517,0.517
[Name] asked the physician xWant [GEN],to thank the doctor,take medicine,take medicine,0.438,0.438,1.0
[Name] eats more than the receptionist AtLocation [GEN],resturant,resturant,kitchen,1.0,0.433,0.433
[Name] eats more than the receptionist CapableOf [GEN],serve food,cook,serve food,0.509,1.0,0.509
[Name] eats more than the receptionist Causes [GEN],food poisoning,lose weight,food poisoning,0.196,1.0,0.196
[Name] eats more than the receptionist CausesDesire [GEN],food,food,tickets,1.0,0.324,0.324
[Name] eats more than the receptionist CreatedBy [GEN],food,more food,food,0.716,1.0,0.716
[Name] eats more than the receptionist DefinedAs [GEN],food,food,food,1.0,1.0,1.0
[Name] eats more than the receptionist DesireOf [GEN],food,more food,food,0.716,1.0,0.716
[Name] eats more than the receptionist Desires [GEN],more food,more food,more food,1.0,1.0,1.0
[Name] eats more than the receptionist HasA [GEN],food,full,food,0.251,1.0,0.251
[Name] eats more than the receptionist HasFirstSubevent [GEN],salad,food,more food,0.601,0.426,0.716
[Name] eats more than the receptionist HasLastSubevent [GEN],food,food,more food,1.0,0.716,0.716
[Name] eats more than the receptionist HasPainCharacter [GEN],food,food,food,1.0,1.0,1.0
[Name] eats more than the receptionist HasPainIntensity [GEN],food,full,tickets,0.251,0.324,0.304
[Name] eats more than the receptionist HasPrerequisite [GEN],food,food,full,1.0,0.251,0.251
[Name] eats more than the receptionist HasProperty [GEN],full,full,full,1.0,1.0,1.0
[Name] eats more than the receptionist HasSubEvent [GEN],get yelled at,gain weight,lose weight,0.067,0.122,0.524
[Name] eats more than the receptionist HasSubevent [GEN],food,more food,food,0.716,1.0,0.716
[Name] eats more than the receptionist HinderedBy [GEN],PersonX has no money.,PersonX has no money.,PersonX has no money.,1.0,1.0,1.0
[Name] eats more than the receptionist InheritsFrom [GEN],food,food,tickets,1.0,0.324,0.324
[Name] eats more than the receptionist InstanceOf [GEN],food,full,get more food,0.251,0.636,0.184
[Name] eats more than the receptionist IsA [GEN],food,full,food,0.251,1.0,0.251
[Name] eats more than the receptionist LocatedNear [GEN],food,more food,more food,0.716,0.716,1.0
[Name] eats more than the receptionist LocationOfAction [GEN],food,more food,food,0.716,1.0,0.716
[Name] eats more than the receptionist MadeOf [GEN],food,more food,tickets,0.716,0.324,0.232
[Name] eats more than the receptionist MadeUpOf [GEN],dessert,dessert,cup,1.0,0.311,0.311
[Name] eats more than the receptionist MotivatedByGoal [GEN],food,get more food,get more food,0.636,0.636,1.0
[Name] eats more than the receptionist NotCapableOf [GEN],food,full,full,0.251,0.251,1.0
[Name] eats more than the receptionist NotDesires [GEN],food,more food,food,0.716,1.0,0.716
[Name] eats more than the receptionist NotHasA [GEN],kitchen,food,full,0.554,0.222,0.251
[Name] eats more than the receptionist NotHasProperty [GEN],food,full,food,0.251,1.0,0.251
[Name] eats more than the receptionist NotIsA [GEN],food,full,more food,0.251,0.716,0.273
[Name] eats more than the receptionist NotMadeOf [GEN],food,food,more food,1.0,0.716,0.716
[Name] eats more than the receptionist ObjectUse [GEN],get more food,gain weight,gain weight,0.391,0.391,1.0
[Name] eats more than the receptionist PartOf [GEN],food,food,food,1.0,1.0,1.0
[Name] eats more than the receptionist ReceivesAction [GEN],food,full,more food,0.251,0.716,0.273
[Name] eats more than the receptionist RelatedTo [GEN],food,food,full,1.0,0.251,0.251
[Name] eats more than the receptionist SymbolOf [GEN],food,full,more food,0.251,0.716,0.273
[Name] eats more than the receptionist UsedFor [GEN],food,food,food,1.0,1.0,1.0
[Name] eats more than the receptionist isAfter [GEN],PersonX asks for more food,PersonX orders a large pizza,PersonX orders a salad,0.661,0.667,0.682
[Name] eats more than the receptionist isBefore [GEN],PersonX leaves the restaurant,PersonX leaves the restaurant,PersonX leaves the restaurant,1.0,1.0,1.0
[Name] eats more than the receptionist isFilledBy [GEN],pie,pie,pie,1.0,1.0,1.0
[Name] eats more than the receptionist oEffect [GEN],gets yelled at,gets fired,gets yelled at,0.557,1.0,0.557
[Name] eats more than the receptionist oReact [GEN],full,full,full,1.0,1.0,1.0
[Name] eats more than the receptionist oWant [GEN],to eat more,to eat more,to thank PersonX,1.0,0.277,0.277
[Name] eats more than the receptionist xAttr [GEN],greedy,greedy,greedy,1.0,1.0,1.0
[Name] eats more than the receptionist xEffect [GEN],gets yelled at,gets yelled at,gets yelled at,1.0,1.0,1.0
[Name] eats more than the receptionist xIntent [GEN],more food,more food,more food,1.0,1.0,1.0
[Name] eats more than the receptionist xNeed [GEN],buy food,buy food,have food,1.0,0.755,0.755
[Name] eats more than the receptionist xReact [GEN],full,full,full,1.0,1.0,1.0
[Name] eats more than the receptionist xReason [GEN],is hungry,hungry,is hungry,0.894,1.0,0.894
[Name] eats more than the receptionist xWant [GEN],to eat more,to eat more,to go home,1.0,0.473,0.473
[Name] stared at the teacher AtLocation [GEN],school,school,school,1.0,1.0,1.0
[Name] stared at the teacher CapableOf [GEN],teach,get in trouble,gain knowledge,0.192,0.562,0.183
[Name] stared at the teacher Causes [GEN],disrespect,attention,attention,0.212,0.212,1.0
[Name] stared at the teacher CausesDesire [GEN],in class,attention,students,0.322,0.543,0.229
[Name] stared at the teacher CreatedBy [GEN],in class,students,students,0.543,0.543,1.0
[Name] stared at the teacher DefinedAs [GEN],in class,students,teacher,0.543,0.547,0.576
[Name] stared at the teacher DesireOf [GEN],in class,teacher,teacher,0.547,0.547,1.0
[Name] stared at the teacher Desires [GEN],to be noticed,attention,attention,0.476,0.476,1.0
[Name] stared at the teacher HasA [GEN],in class,attention,teacher,0.322,0.547,0.293
[Name] stared at the teacher HasFirstSubevent [GEN],in class,students,students,0.543,0.543,1.0
[Name] stared at the teacher HasLastSubevent [GEN],in class,get in trouble,students,0.319,0.543,0.169
[Name] stared at the teacher HasPainCharacter [GEN],in class,students,teach,0.543,0.484,0.494
[Name] stared at the teacher HasPainIntensity [GEN],in class,students,students,0.543,0.543,1.0
[Name] stared at the teacher HasPrerequisite [GEN],in class,students,students,0.543,0.543,1.0
[Name] stared at the teacher HasProperty [GEN],nervous,nervous,nervous,1.0,1.0,1.0
[Name] stared at the teacher HasSubEvent [GEN],get yelled at,get yelled at,get nervous,1.0,0.355,0.355
[Name] stared at the teacher HasSubevent [GEN],students,students,students,1.0,1.0,1.0
[Name] stared at the teacher HinderedBy [GEN],PersonX is in class.,PersonX is in a wheelchair.,PersonX is in a wheelchair.,0.567,0.567,1.0
[Name] stared at the teacher InheritsFrom [GEN],in class,students,students,0.543,0.543,1.0
[Name] stared at the teacher InstanceOf [GEN],in class,attention,students,0.322,0.543,0.229
[Name] stared at the teacher IsA [GEN],in class,students,students,0.543,0.543,1.0
[Name] stared at the teacher LocatedNear [GEN],in class,attention,students,0.322,0.543,0.229
[Name] stared at the teacher LocationOfAction [GEN],in class,students,students,0.543,0.543,1.0
[Name] stared at the teacher MadeOf [GEN],in class,attention,students,0.322,0.543,0.229
[Name] stared at the teacher MadeUpOf [GEN],shoe,student,student,0.277,0.277,1.0
[Name] stared at the teacher MotivatedByGoal [GEN],in class,students,students,0.543,0.543,1.0
[Name] stared at the teacher NotCapableOf [GEN],in class,attention,students,0.322,0.543,0.229
[Name] stared at the teacher NotDesires [GEN],in class,attention,students,0.322,0.543,0.229
[Name] stared at the teacher NotHasA [GEN],in class,students,teacher,0.543,0.547,0.576
[Name] stared at the teacher NotHasProperty [GEN],in class,students,students,0.543,0.543,1.0
[Name] stared at the teacher NotIsA [GEN],in class,students,students,0.543,0.543,1.0
[Name] stared at the teacher NotMadeOf [GEN],in class,teacher,students,0.547,0.543,0.576
[Name] stared at the teacher ObjectUse [GEN],get attention,get attention,gain knowledge,1.0,0.371,0.371
[Name] stared at the teacher PartOf [GEN],in class,teacher,teacher,0.547,0.547,1.0
[Name] stared at the teacher ReceivesAction [GEN],in class,attention,students,0.322,0.543,0.229
[Name] stared at the teacher RelatedTo [GEN],in class,students,students,0.543,0.543,1.0
[Name] stared at the teacher SymbolOf [GEN],in class,attention,teacher,0.322,0.547,0.293
[Name] stared at the teacher UsedFor [GEN],in class,students,students,0.543,0.543,1.0
[Name] stared at the teacher isAfter [GEN],gets in trouble,school,students,0.29,0.149,0.605
[Name] stared at the teacher isBefore [GEN],PersonX walks away from the teacher,PersonX gets in trouble,PersonX gets a good grade,0.559,0.56,0.713
[Name] stared at the teacher isFilledBy [GEN],students,students,student,1.0,0.845,0.845
[Name] stared at the teacher oEffect [GEN],gets yelled at,gets yelled at,gets yelled at,1.0,1.0,1.0
[Name] stared at the teacher oReact [GEN],scared,scared,intrigued,1.0,0.362,0.362
[Name] stared at the teacher oWant [GEN],to talk to them,to teach,to teach,0.511,0.511,1.0
[Name] stared at the teacher xAttr [GEN],curious,curious,curious,1.0,1.0,1.0
[Name] stared at the teacher xEffect [GEN],gets yelled at,gets yelled at,gets yelled at,1.0,1.0,1.0
[Name] stared at the teacher xIntent [GEN],to be noticed,attention,to be noticed,0.476,1.0,0.476
